#Mon Sep 20 22:02:05 2021
# This file defines the common-mode range for the online zero-suppression for the GEM DAQ. Copy its contents into (location TBD) to set these values for detector bb.gem
# format = crate     slot      mpd_id     adc_ch      commonmode min      commonmode max
          20          11           7           0         405         487
          20          11           7           1         423         593
          20          11           7           2         504         616
          20          11           7           3         479         655
          20          11           7           4         393         550
          20          11           7           5         198         341
          20          11           7           6         494         616
          20          11           7           7         438         518
          20          11           7           8         378         558
          20          11           7           9         468         634
          20          11           7          10         432         590
          20          11           7          11         455         598
          20          11           7          12         483         662
          20          11           7          13         404         570
          20          11           7          14         339         517
          20          11           8           0         226         415
          20          11           8           1         369         591
          20          11           8           2         411         613
          20          11           8           3         266         468
          20          11           8           4         313         545
          20          11           8           5         284         575
          20          11           8           6         388         679
          20          11           8           7         373         678
          20          11           8           8         346         594
          20          11           8           9         484         725
          20          11           8          10         232         428
          20          11           8          11         337         512
          20          11           8          12         417         588
          20          11           8          13         395         558
          20          11           8          14         353         522
          20          11           9           0         332         436
          20          11           9           1         512         625
          20          11           9           2         433         539
          20          11           9           3         377         447
          20          11           9           4         466         621
          20          11           9           5         402         556
          20          11           9           6         409         564
          20          11           9           7         404         612
          20          11           9           8         442         597
          20          11           9           9         273         423
          20          11           9          10         369         534
          20          11           9          11         461         649
          20          11           9          12         443         596
          20          11           9          13         463         633
          20          11           9          14         409         581
          20          11          10           0         206         399
          20          11          10           1         364         575
          20          11          10           2         245         442
          20          11          10           3           0           0
          20          11          10           4         154         392
          20          11          10           5         380         635
          20          11          10           6         204         470
          20          11          10           7         418         677
          20          11          10           8         414         570
          20          11          10           9         326         487
          20          11          10          10         445         657
          20          11          10          11         234         489
          20          11          10          12         428         589
          20          11          10          13         321         492
          20          11          10          14         382         567
          20          11          16           0           0           0
          20          11          16           1         378         566
          20          11          16           2         405         580
          20          11          16           3         423         590
          20          11          16           4         343         498
          20          11          17           4         485         634
          20          11          17           3         405         524
          20          11          17           2         416         538
          20          11          17           1         509         629
          20          11          18           0         343         490
          20          11          18           1         379         517
          20          11          18           2         460         613
          20          11          18           3         388         541
          20          11          18           4         418         595
          20          11          19           0         373         617
          20          11          19           1         327         495
          20          11          19           2         374         531
          20          11          19           3         318         495
          20          11          16           5         318         470
          20          11          16           6         349         481
          20          11          16           7         376         515
          20          11          16           8         388         525
          20          11          16           9         395         555
          20          11          17           9         387         562
          20          11          17           8         489         634
          20          11          17           7         430         569
          20          11          17           6         477         624
          20          11          18           5         403         582
          20          11          18           6         388         549
          20          11          18           7         387         550
          20          11          18           8         430         589
          20          11          18           9         328         521
          20          11          19           9         414         567
          20          11          19           8         510         643
          20          11          19           7         400         541
          20          11          19           6         412         584
          20          11          16          10         358         539
          20          11          16          11         474         617
          20          11          16          12         373         504
          20          11          16          13         246         381
          20          11          16          14         395         589
          20          11          17          10         330         452
          20          11          17          11         452         616
          20          11          17          12         527         686
          20          11          17          13         342         534
          20          11          18          10         381         557
          20          11          18          11         449         619
          20          11          18          12         450         593
          20          11          18          13         393         547
          20          11          18          14         433         627
          20          11          19          14         415         548
          20          11          19          13         384         531
          20          11          19          12         368         529
          20          11          19          11         441         633
          20          11          11           0         461         525
          20          11          11           1         520         626
          20          11          11           2         501         591
          20          11          11           3         482         597
          20          11          11           4         534         705
          20          11          11           5         517         637
          20          11          11           6         393         496
          20          11          11           7         365         489
          20          11          11           8         246         379
          20          11          11           9         433         576
          20          11          11          10         498         636
          20          11          11          11         307         445
          20          11          11          12         372         548
          20          11          11          13         283         460
          20          11          11          14         434         625
