#Tue Sep 21 10:39:14 2021
# This file defines the common-mode range for the online zero-suppression for the GEM DAQ. Copy its contents into (location TBD) to set these values for detector bb.gem
# format = crate     slot      mpd_id     adc_ch      commonmode min      commonmode max
          20          11           7           0         408         487
          20          11           7           1         429         589
          20          11           7           2         511         612
          20          11           7           3         492         646
          20          11           7           4         412         531
          20          11           7           5         203         336
          20          11           7           6         502         610
          20          11           7           7         445         515
          20          11           7           8         394         543
          20          11           7           9         477         628
          20          11           7          10         444         582
          20          11           7          11         465         590
          20          11           7          12         500         649
          20          11           7          13         415         561
          20          11           7          14         350         506
          20          11           8           0         239         402
          20          11           8           1         379         582
          20          11           8           2         422         605
          20          11           8           3         277         458
          20          11           8           4         333         526
          20          11           8           5         305         557
          20          11           8           6         410         657
          20          11           8           7         395         657
          20          11           8           8         367         577
          20          11           8           9         502         708
          20          11           8          10         246         413
          20          11           8          11         347         502
          20          11           8          12         427         579
          20          11           8          13         402         553
          20          11           8          14         360         518
          20          11           9           0         337         434
          20          11           9           1         517         622
          20          11           9           2         438         537
          20          11           9           3         379         447
          20          11           9           4         481         608
          20          11           9           5         409         550
          20          11           9           6         417         558
          20          11           9           7         426         594
          20          11           9           8         455         588
          20          11           9           9         282         416
          20          11           9          10         380         525
          20          11           9          11         475         636
          20          11           9          12         452         587
          20          11           9          13         474         624
          20          11           9          14         421         571
          20          11          10           0         220         388
          20          11          10           1         377         570
          20          11          10           2         255         432
          20          11          10           3         277         457
          20          11          10           4         165         379
          20          11          10           5         392         624
          20          11          10           6         219         456
          20          11          10           7         434         664
          20          11          10           8         419         567
          20          11          10           9         331         483
          20          11          10          10         457         646
          20          11          10          11         250         473
          20          11          10          12         440         580
          20          11          10          13         331         485
          20          11          10          14         394         558
          20          11          16           0           0           0
          20          11          16           1         388         564
          20          11          16           2         416         571
          20          11          16           3         431         581
          20          11          16           4         349         486
          20          11          17           4           0           0
          20          11          17           3           0           0
          20          11          17           2           0           0
          20          11          17           1           0           0
          20          11          18           0         348         482
          20          11          18           1         390         508
          20          11          18           2         471         603
          20          11          18           3         395         533
          20          11          18           4         420         587
          20          11          19           0         383         608
          20          11          19           1         338         486
          20          11          19           2         384         522
          20          11          19           3         326         487
          20          11          16           5         324         472
          20          11          16           6         355         477
          20          11          16           7         380         511
          20          11          16           8         394         517
          20          11          16           9         404         547
          20          11          17           9           0           0
          20          11          17           8           0           0
          20          11          17           7           0           0
          20          11          17           6           0           0
          20          11          18           5         420         563
          20          11          18           6         403         534
          20          11          18           7         402         538
          20          11          18           8         442         579
          20          11          18           9         335         514
          20          11          19           9         413         558
          20          11          19           8         513         633
          20          11          19           7         400         532
          20          11          19           6         409         574
          20          11          16          10         377         521
          20          11          16          11         486         604
          20          11          16          12         381         496
          20          11          16          13         256         373
          20          11          16          14         408         575
          20          11          17          10         343         443
          20          11          17          11         470         602
          20          11          17          12         539         675
          20          11          17          13         351         526
          20          11          18          10         396         532
          20          11          18          11         463         600
          20          11          18          12         463         575
          20          11          18          13         406         530
          20          11          18          14         451         608
          20          11          19          14         422         538
          20          11          19          13         398         516
          20          11          19          12         381         517
          20          11          19          11         449         625
          20          11          11           0         465         526
          20          11          11           1         523         627
          20          11          11           2         502         592
          20          11          11           3         484         597
          20          11          11           4         546         697
          20          11          11           5         517         639
          20          11          11           6         395         493
          20          11          11           7         367         486
          20          11          11           8         249         377
          20          11          11           9         434         578
          20          11          11          10         502         635
          20          11          11          11         310         442
          20          11          11          12         382         537
          20          11          11          13         294         449
          20          11          11          14         450         612
          20          11          12           0         402         644
          20          11          12           1         350         588
          20          11          12           2         404         612
          20          11          12           3        1188        1198
          20          11          12           4         304         559
          20          11          12           5         389         669
          20          11          12           6         399         671
          20          11          12           7         183         478
          20          11          12           8         350         531
          20          11          12           9         152         321
          20          11          12          10         282         438
          20          11          12          11         169         352
          20          11          12          12         339         521
          20          11          12          13         379         539
          20          11          12          14         425         623
          20          11          13           0         423         524
          20          11          13           1         454         557
          20          11          13           2         509         582
          20          11          13           3         441         515
          20          11          13           4         446         551
          20          11          13           5         448         555
          20          11          13           6         466         571
          20          11          13           7         399         532
          20          11          13           8         435         556
          20          11          13           9         521         643
          20          11          13          10         436         568
          20          11          13          11         411         554
          20          11          13          12         309         444
          20          11          13          13         421         576
          20          11          13          14         430         580
          20          11          14           0         390         576
          20          11          14           1         395         598
          20          11          14           2         376         551
          20          11          14           3         411         536
          20          11          14           4         384         588
          20          11          14           5         200         398
          20          11          14           6         388         599
          20          11          14           7         381         614
          20          11          14           8         384         514
          20          11          14           9         393         557
          20          11          14          10         359         580
          20          11          14          11         389         642
          20          11          14          12         292         479
          20          11          14          13         391         566
          20          11          14          14         369         555
          20          11          20           0         421         571
          20          11          20           1         371         489
          20          11          20           2         418         546
          20          11          20           3         355         492
          20          11          20           4         452         598
          20          11          21           4         391         529
          20          11          21           3         430         541
          20          11          21           2         418         532
          20          11          21           1         474         629
          20          11          22           0         406         565
          20          11          22           1         454         581
          20          11          22           2         407         525
          20          11          22           3         412         531
          20          11          22           4         366         526
          20          11          23           0         228         462
          20          11          23           1         409         567
          20          11          23           2         384         543
          20          11          23           3         306         483
          20          11          20           5         432         579
          20          11          20           6         466         603
          20          11          20           7         349         469
          20          11          20           8         285         430
          20          11          20           9         280         476
          20          11          21           5         333         478
          20          11          21           6         405         528
          20          11          21           7         459         587
          20          11          21           8         465         636
          20          11          22           5         342         477
          20          11          22           6         471         594
          20          11          22           7         354         491
          20          11          22           8         337         464
          20          11          22           9         379         538
          20          11          23           5         377         541
          20          11          23           6         439         574
          20          11          23           7         438         580
          20          11          23           8         389         580
          20          11          20          10         167         533
          20          11          20          11         290         641
          20          11          20          12         360         704
          20          11          20          13         287         591
          20          11          20          14         285         582
          20          11          21          10         245         622
          20          11          21          11         252         620
          20          11          21          12           0           0
          20          11          21          13           0           0
          20          11          22          10         306         595
          20          11          22          11         345         605
          20          11          22          12         317         611
          20          11          22          13         261         600
          20          11          22          14         176         545
          20          11          23          10         378         664
          20          11          23          11         373         698
          20          11          23          12         308         612
          20          11          23          13         288         564
          20          11           0           0         582         670
          20          11           0           1         687         753
          20          11           0           2         490         585
          20          11           0           3         599         678
          20          11           0           4         676         755
          20          11           0           5         496         578
          20          11           0           6         749         838
          20          11           0           7         753         829
          20          11           0           8         591         662
          20          11           0           9         550         649
          20          11           0          10         602         673
          20          11           0          11         741         831
          20          11           4          10         481         606
          20          11           4          11         446         551
          20          11           4          12         485         586
          20          11           4          13         478         554
          20          11           4          14         418         506
          20          11           5           0         498         580
          20          11           5           1         590         666
          20          11           5           2         551         627
          20          11           5           3         421         498
          20          11           5           4         578         659
          20          11           1           0         486         615
          20          11           1           1         687         766
          20          11           1           2         538         638
          20          11           1           3         487         563
          20          11           1           4         621         692
          20          11           1           5         643         719
          20          11           1           6         695         778
          20          11           1           7         650         726
          20          11           1           8         591         665
          20          11           1           9         636         708
          20          11           1          10         592         667
          20          11           1          11         172         188
          20          11           4           5         466         572
          20          11           4           6         481         560
          20          11           4           7         339         414
          20          11           4           8         493         575
          20          11           4           9         371         452
          20          11           5           5         501         618
          20          11           5           6         368         461
          20          11           5           7         494         589
          20          11           5           8         355         461
          20          11           5           9         620         717
          20          11           2           0         526         646
          20          11           2           1         527         604
          20          11           2           2         335         445
          20          11           2           3         415         493
          20          11           2           4         511         597
          20          11           2           5         535         621
          20          11           2           6         567         664
          20          11           2           7         434         507
          20          11           2           8         624         705
          20          11           2           9         719         801
          20          11           2          10         378         461
          20          11           2          11         603         714
          20          11           4           0         430         533
          20          11           4           1         511         605
          20          11           4           2         513         606
          20          11           4           3         549         646
          20          11           4           4         491         585
          20          11           5          10         446         555
          20          11           5          11         254         358
          20          11           5          12         249         340
          20          11           5          13         474         572
          20          11           5          14         479         582
          20          11           3           0         397         539
          20          11           3           1         410         483
          20          11           3           2         329         422
          20          11           3           3         358         441
          20          11           3           4         354         434
          20          11           3           5         465         547
          20          11           3           6         579         668
          20          11           3           7         503         585
          20          11           3           8         568         652
          20          11           3           9         518         597
          20          11           3          10         642         718
          20          11           3          11         554         661
          20          11           6           0         608         703
          20          11           6           1         693         781
          20          11           6           2         516         632
          20          11           6           3         687         787
          20          11           6           4         642         725
          20          11           6           8         453         538
          20          11           6           9         386         464
          20          11           6          10         407         503
          20          11           6          11         421         509
          20          11           6          12         448         542
