#Thu Sep 23 13:43:18 2021
# This file defines the common-mode range for the online zero-suppression for the GEM DAQ. Copy its contents into (location TBD) to set these values for detector bb.gem
# format = crate     slot      mpd_id     adc_ch      commonmode min      commonmode max
          20          11           7           0         407         487
          20          11           7           1         428         591
          20          11           7           2         506         615
          20          11           7           3         490         642
          20          11           7           4         403         537
          20          11           7           5         206         332
          20          11           7           6         498         612
          20          11           7           7         443         515
          20          11           7           8         377         556
          20          11           7           9         466         635
          20          11           7          10         426         594
          20          11           7          11         441         611
          20          11           7          12         470         678
          20          11           7          13         385         590
          20          11           7          14         314         542
          20          11           8           0         200         441
          20          11           8           1         338         622
          20          11           8           2         377         648
          20          11           8           3         232         503
          20          11           8           4         282         578
          20          11           8           5         247         611
          20          11           8           6         346         719
          20          11           8           7         328         721
          20          11           8           8         313         628
          20          11           8           9         454         756
          20          11           8          10         207         452
          20          11           8          11         316         531
          20          11           8          12         395         609
          20          11           8          13         369         584
          20          11           8          14         322         554
          20          11           9           0         335         435
          20          11           9           1         515         622
          20          11           9           2         436         537
          20          11           9           3         377         450
          20          11           9           4         473         613
          20          11           9           5         405         552
          20          11           9           6         408         567
          20          11           9           7         405         615
          20          11           9           8         440         601
          20          11           9           9         262         434
          20          11           9          10         360         547
          20          11           9          11         450         660
          20          11           9          12         426         612
          20          11           9          13         442         655
          20          11           9          14         383         607
          20          11          10           0         179         431
          20          11          10           1         337         608
          20          11          10           2         213         475
          20          11          10           3         231         504
          20          11          10           4         115         432
          20          11          10           5         337         679
          20          11          10           6         157         516
          20          11          10           7         373         722
          20          11          10           8         389         600
          20          11          10           9         301         512
          20          11          10          10         408         692
          20          11          10          11         189         531
          20          11          10          12         407         612
          20          11          10          13         297         517
          20          11          10          14         355         596
          20          11          16           0           0           0
          20          11          16           1         357         593
          20          11          16           2         384         601
          20          11          16           3         406         607
          20          11          16           4         332         501
          20          11          17           4         477         643
          20          11          17           3         400         532
          20          11          17           2         414         546
          20          11          17           1         505         640
          20          11          18           0         330         501
          20          11          18           1         367         529
          20          11          18           2         446         625
          20          11          18           3         375         554
          20          11          18           4         401         613
          20          11          19           0         369         629
          20          11          19           1         318         503
          20          11          19           2         367         541
          20          11          19           3         312         504
          20          11          16           5         317         475
          20          11          16           6         343         486
          20          11          16           7         366         526
          20          11          16           8         375         538
          20          11          16           9         383         565
          20          11          17           9         382         566
          20          11          17           8         485         640
          20          11          17           7         429         575
          20          11          17           6         474         631
          20          11          18           5         391         598
          20          11          18           6         376         563
          20          11          18           7         377         564
          20          11          18           8         419         603
          20          11          18           9         314         538
          20          11          19           9         415         578
          20          11          19           8         502         660
          20          11          19           7         391         561
          20          11          19           6         399         609
          20          11          16          10         355         543
          20          11          16          11         464         626
          20          11          16          12         359         515
          20          11          16          13         233         396
          20          11          16          14         381         604
          20          11          17          10         328         455
          20          11          17          11         448         622
          20          11          17          12         523         692
          20          11          17          13         336         541
          20          11          18          10         378         561
          20          11          18          11         443         629
          20          11          18          12         441         603
          20          11          18          13         385         558
          20          11          18          14         434         639
          20          11          19          14         412         547
          20          11          19          13         374         540
          20          11          19          12         357         540
          20          11          19          11         430         649
          20          11          11           0         461         530
          20          11          11           1         517         631
          20          11          11           2         493         600
          20          11          11           3         474         607
          20          11          11           4         507         730
          20          11          11           5         505         650
          20          11          11           6         386         502
          20          11          11           7         363         488
          20          11          11           8         218         407
          20          11          11           9         416         596
          20          11          11          10         483         652
          20          11          11          11         298         453
          20          11          11          12         339         579
          20          11          11          13         258         484
          20          11          11          14         415         643
          20          11          12           0         370         675
          20          11          12           1         313         624
          20          11          12           2         353         663
          20          11          12           3           0           0
          20          11          12           4         241         622
          20          11          12           5         314         748
          20          11          12           6         324         744
          20          11          12           7         107         555
          20          11          12           8         314         568
          20          11          12           9         116         359
          20          11          12          10         238         480
          20          11          12          11         125         396
          20          11          12          12         296         566
          20          11          12          13         332         586
          20          11          12          14         382         664
          20          11          13           0         423         513
          20          11          13           1         454         549
          20          11          13           2         505         580
          20          11          13           3         441         519
          20          11          13           4         442         550
          20          11          13           5         446         555
          20          11          13           6         458         580
          20          11          13           7         386         549
          20          11          13           8         423         564
          20          11          13           9         515         648
          20          11          13          10         423         580
          20          11          13          11         399         565
          20          11          13          12         283         468
          20          11          13          13         396         601
          20          11          13          14         402         608
          20          11          14           0         350         616
          20          11          14           1         358         634
          20          11          14           2         343         583
          20          11          14           3         390         556
          20          11          14           4         340         633
          20          11          14           5         157         439
          20          11          14           6         337         648
          20          11          14           7         329         665
          20          11          14           8         371         529
          20          11          14           9         366         585
          20          11          14          10         313         625
          20          11          14          11         328         702
          20          11          14          12         254         517
          20          11          14          13         361         592
          20          11          14          14         342         581
          20          11          20           0           0           0
          20          11          20           1           0           0
          20          11          20           2           0           0
          20          11          20           3           0           0
          20          11          20           4           0           0
          20          11          21           4           0           0
          20          11          21           3           0           0
          20          11          21           2           0           0
          20          11          21           1           0           0
          20          11          22           0           0           0
          20          11          22           1           0           0
          20          11          22           2           0           0
          20          11          22           3           0           0
          20          11          22           4           0           0
          20          11          23           0           0           0
          20          11          23           1           0           0
          20          11          23           2           0           0
          20          11          23           3           0           0
          20          11          20           5           0           0
          20          11          20           6           0           0
          20          11          20           7           0           0
          20          11          20           8           0           0
          20          11          20           9           0           0
          20          11          21           5           0           0
          20          11          21           6           0           0
          20          11          21           7           0           0
          20          11          21           8           0           0
          20          11          22           5           0           0
          20          11          22           6           0           0
          20          11          22           7           0           0
          20          11          22           8           0           0
          20          11          22           9           0           0
          20          11          23           5           0           0
          20          11          23           6           0           0
          20          11          23           7           0           0
          20          11          23           8           0           0
          20          11          20          10           0           0
          20          11          20          11           0           0
          20          11          20          12           0           0
          20          11          20          13           0           0
          20          11          20          14           0           0
          20          11          21          10           0           0
          20          11          21          11           0           0
          20          11          21          12           0           0
          20          11          21          13           0           0
          20          11          22          10           0           0
          20          11          22          11           0           0
          20          11          22          12           0           0
          20          11          22          13           0           0
          20          11          22          14           0           0
          20          11          23          10           0           0
          20          11          23          11           0           0
          20          11          23          12           0           0
          20          11          23          13           0           0
          20          11           0           0         579         665
          20          11           0           1         664         728
          20          11           0           2         511         605
          20          11           0           3         612         687
          20          11           0           4         700         766
          20          11           0           5         493         560
          20          11           0           6         758         838
          20          11           0           7         751         823
          20          11           0           8         588         657
          20          11           0           9         567         658
          20          11           0          10         633         699
          20          11           0          11         777         862
          20          11           4          10         480         609
          20          11           4          11         451         547
          20          11           4          12         490         582
          20          11           4          13         480         553
          20          11           4          14         420         506
          20          11           5           0         494         586
          20          11           5           1         586         669
          20          11           5           2         549         628
          20          11           5           3         416         504
          20          11           5           4         575         665
          20          11           1           0         482         630
          20          11           1           1         712         792
          20          11           1           2         519         620
          20          11           1           3         478         554
          20          11           1           4         606         677
          20          11           1           5         655         733
          20          11           1           6         693         773
          20          11           1           7         655         731
          20          11           1           8         595         672
          20          11           1           9         624         698
          20          11           1          10         565         641
          20          11           1          11         137         152
          20          11           4           5         463         575
          20          11           4           6         478         564
          20          11           4           7         337         416
          20          11           4           8         488         581
          20          11           4           9         368         455
          20          11           5           5         498         623
          20          11           5           6         369         460
          20          11           5           7         498         587
          20          11           5           8         350         466
          20          11           5           9         618         723
          20          11           2           0         392         544
          20          11           2           1         411         483
          20          11           2           2         331         421
          20          11           2           3         359         440
          20          11           2           4         356         433
          20          11           2           5         466         546
          20          11           2           6         579         666
          20          11           2           7         503         582
          20          11           2           8         569         651
          20          11           2           9         519         596
          20          11           2          10         643         715
          20          11           2          11         554         660
          20          11           4           0         426         537
          20          11           4           1         506         609
          20          11           4           2         509         611
          20          11           4           3         548         648
          20          11           4           4         490         587
          20          11           5          10         442         558
          20          11           5          11         255         355
          20          11           5          12         248         341
          20          11           5          13         476         569
          20          11           5          14         478         581
          20          11           3           0         526         646
          20          11           3           1         527         602
          20          11           3           2         337         443
          20          11           3           3         414         492
          20          11           3           4         508         597
          20          11           3           5         532         622
          20          11           3           6         565         664
          20          11           3           7         431         509
          20          11           3           8         621         706
          20          11           3           9         715         802
          20          11           3          10         376         463
          20          11           3          11         600         717
          20          11           6           0         590         718
          20          11           6           1         686         787
          20          11           6           2         478         672
          20          11           6           3         687         788
          20          11           6           4         643         723
          20          11           6           8         452         538
          20          11           6           9         386         462
          20          11           6          10         408         504
          20          11           6          11         421         509
          20          11           6          12         449         541
