#Sat Sep 25 00:33:14 2021
# This file defines the common-mode range for the online zero-suppression for the GEM DAQ. Copy its contents into (location TBD) to set these values for detector bb.gem
# format = crate     slot      mpd_id     adc_ch      commonmode min      commonmode max
          20          11           7           0         407         487
          20          11           7           1         427         591
          20          11           7           2         507         612
          20          11           7           3         489         641
          20          11           7           4         409         530
          20          11           7           5         205         334
          20          11           7           6         498         612
          20          11           7           7         443         517
          20          11           7           8         388         545
          20          11           7           9         473         629
          20          11           7          10         436         585
          20          11           7          11         455         599
          20          11           7          12         488         659
          20          11           7          13         402         573
          20          11           7          14         333         522
          20          11           8           0         225         417
          20          11           8           1         365         597
          20          11           8           2         405         621
          20          11           8           3         259         477
          20          11           8           4         313         545
          20          11           8           5         284         576
          20          11           8           6         386         681
          20          11           8           7         371         680
          20          11           8           8         346         597
          20          11           8           9         483         726
          20          11           8          10         231         427
          20          11           8          11         335         509
          20          11           8          12         417         587
          20          11           8          13         391         562
          20          11           8          14         346         530
          20          11           9           0         337         431
          20          11           9           1         518         618
          20          11           9           2         438         536
          20          11           9           3         380         448
          20          11           9           4         477         610
          20          11           9           5         411         548
          20          11           9           6         417         558
          20          11           9           7         423         597
          20          11           9           8         450         589
          20          11           9           9         277         419
          20          11           9          10         375         531
          20          11           9          11         469         642
          20          11           9          12         444         594
          20          11           9          13         464         634
          20          11           9          14         407         584
          20          11          10           0         204         406
          20          11          10           1         361         584
          20          11          10           2         239         448
          20          11          10           3         259         476
          20          11          10           4         147         399
          20          11          10           5         372         643
          20          11          10           6         195         478
          20          11          10           7         410         683
          20          11          10           8         410         577
          20          11          10           9         321         493
          20          11          10          10         437         664
          20          11          10          11         225         495
          20          11          10          12         426         591
          20          11          10          13         319         497
          20          11          10          14         378         572
          20          11          16           0         381         508
          20          11          16           1         390         564
          20          11          16           2         406         579
          20          11          16           3         415         593
          20          11          16           4         329         499
          20          11          17           4         478         649
          20          11          17           3         398         540
          20          11          17           2         410         551
          20          11          17           1         502         640
          20          11          18           0         332         498
          20          11          18           1         372         523
          20          11          18           2         453         620
          20          11          18           3         381         546
          20          11          18           4         407         604
          20          11          19           0         379         617
          20          11          19           1         322         500
          20          11          19           2         367         540
          20          11          19           3         311         507
          20          11          16           5         317         476
          20          11          16           6         343         487
          20          11          16           7         365         524
          20          11          16           8         378         536
          20          11          16           9         386         564
          20          11          17           9         388         574
          20          11          17           8         488         648
          20          11          17           7         430         585
          20          11          17           6         475         643
          20          11          18           5         401         595
          20          11          18           6         384         561
          20          11          18           7         383         563
          20          11          18           8         424         602
          20          11          18           9         321         536
          20          11          19           9         376         547
          20          11          19           8         469         628
          20          11          19           7         358         527
          20          11          19           6         366         572
          20          11          16          10         357         541
          20          11          16          11         463         622
          20          11          16          12         359         513
          20          11          16          13         235         393
          20          11          16          14         386         597
          20          11          17          10         324         456
          20          11          17          11         443         625
          20          11          17          12         518         693
          20          11          17          13         355         519
          20          11          18          10         382         566
          20          11          18          11         446         636
          20          11          18          12         446         612
          20          11          18          13         389         566
          20          11          18          14         438         644
          20          11          19          14         408         551
          20          11          19          13         374         542
          20          11          19          12         358         541
          20          11          19          11         430         649
          20          11          11           0         463         527
          20          11          11           1         521         625
          20          11          11           2         501         592
          20          11          11           3         482         597
          20          11          11           4         526         709
          20          11          11           5         515         638
          20          11          11           6         393         496
          20          11          11           7         368         485
          20          11          11           8         236         387
          20          11          11           9         428         583
          20          11          11          10         496         638
          20          11          11          11         311         441
          20          11          11          12         369         551
          20          11          11          13         286         456
          20          11          11          14         446         614
          20          11          12           0         420         624
          20          11          12           1         338         601
          20          11          12           2         394         617
          20          11          12           3         395         618
          20          11          12           4         295         570
          20          11          12           5         372         689
          20          11          12           6         380         689
          20          11          12           7         164         497
          20          11          12           8         345         538
          20          11          12           9         141         333
          20          11          12          10         267         452
          20          11          12          11         151         369
          20          11          12          12         333         528
          20          11          12          13         368         550
          20          11          12          14         425         622
          20          11          13           0         422         515
          20          11          13           1         450         551
          20          11          13           2         504         580
          20          11          13           3         441         519
          20          11          13           4         442         552
          20          11          13           5         445         555
          20          11          13           6         463         574
          20          11          13           7         395         539
          20          11          13           8         429         558
          20          11          13           9         517         645
          20          11          13          10         432         570
          20          11          13          11         405         559
          20          11          13          12         303         448
          20          11          13          13         415         582
          20          11          13          14         422         586
          20          11          14           0         379         590
          20          11          14           1         386         608
          20          11          14           2         368         558
          20          11          14           3         406         540
          20          11          14           4         370         604
          20          11          14           5         187         409
          20          11          14           6         371         613
          20          11          14           7         367         629
          20          11          14           8         382         517
          20          11          14           9         388         562
          20          11          14          10         350         589
          20          11          14          11         373         659
          20          11          14          12         280         490
          20          11          14          13         387         570
          20          11          14          14         361         563
          20          11          20           0           0           0
          20          11          20           1           0           0
          20          11          20           2           0           0
          20          11          20           3           0           0
          20          11          20           4           0           0
          20          11          21           4           0           0
          20          11          21           3           0           0
          20          11          21           2           0           0
          20          11          21           1           0           0
          20          11          22           0           0           0
          20          11          22           1           0           0
          20          11          22           2           0           0
          20          11          22           3           0           0
          20          11          22           4           0           0
          20          11          23           0           0           0
          20          11          23           1           0           0
          20          11          23           2           0           0
          20          11          23           3           0           0
          20          11          20           5           0           0
          20          11          20           6           0           0
          20          11          20           7           0           0
          20          11          20           8           0           0
          20          11          20           9           0           0
          20          11          21           5           0           0
          20          11          21           6           0           0
          20          11          21           7           0           0
          20          11          21           8           0           0
          20          11          22           5           0           0
          20          11          22           6           0           0
          20          11          22           7           0           0
          20          11          22           8           0           0
          20          11          22           9           0           0
          20          11          23           5           0           0
          20          11          23           6           0           0
          20          11          23           7           0           0
          20          11          23           8           0           0
          20          11          20          10           0           0
          20          11          20          11           0           0
          20          11          20          12           0           0
          20          11          20          13           0           0
          20          11          20          14           0           0
          20          11          21          10           0           0
          20          11          21          11           0           0
          20          11          21          12           0           0
          20          11          21          13           0           0
          20          11          22          10           0           0
          20          11          22          11           0           0
          20          11          22          12           0           0
          20          11          22          13           0           0
          20          11          22          14           0           0
          20          11          23          10           0           0
          20          11          23          11           0           0
          20          11          23          12           0           0
          20          11          23          13           0           0
          20          11           0           0         577         666
          20          11           0           1         662         726
          20          11           0           2         514         601
          20          11           0           3         611         686
          20          11           0           4         697         766
          20          11           0           5         491         561
          20          11           0           6         755         839
          20          11           0           7         750         821
          20          11           0           8         587         656
          20          11           0           9         565         658
          20          11           0          10         633         699
          20          11           0          11         775         860
          20          11           4          10         485         602
          20          11           4          11         452         545
          20          11           4          12         490         579
          20          11           4          13         478         553
          20          11           4          14         420         504
          20          11           5           0         499         580
          20          11           5           1         587         667
          20          11           5           2         549         628
          20          11           5           3         421         500
          20          11           5           4         577         661
          20          11           1           0         498         633
          20          11           1           1         672         752
          20          11           1           2         529         629
          20          11           1           3         491         565
          20          11           1           4         636         710
          20          11           1           5         654         733
          20          11           1           6         700         779
          20          11           1           7         652         729
          20          11           1           8         621         698
          20          11           1           9         618         691
          20          11           1          10         567         647
          20          11           1          11           0           0
          20          11           4           5         464         571
          20          11           4           6         478         561
          20          11           4           7         336         414
          20          11           4           8         487         577
          20          11           4           9         367         452
          20          11           5           5         498         618
          20          11           5           6         368         459
          20          11           5           7         500         584
          20          11           5           8         356         462
          20          11           5           9         620         720
          20          11           2           0         402         539
          20          11           2           1         414         485
          20          11           2           2         333         423
          20          11           2           3         361         441
          20          11           2           4         357         434
          20          11           2           5         467         547
          20          11           2           6         578         671
          20          11           2           7         504         587
          20          11           2           8         570         654
          20          11           2           9         519         599
          20          11           2          10         645         718
          20          11           2          11         556         661
          20          11           4           0         428         532
          20          11           4           1         506         606
          20          11           4           2         508         609
          20          11           4           3         547         646
          20          11           4           4         490         584
          20          11           5          10         442         553
          20          11           5          11         254         355
          20          11           5          12         249         339
          20          11           5          13         475         569
          20          11           5          14         478         577
          20          11           3           0         524         647
          20          11           3           1         527         602
          20          11           3           2         337         443
          20          11           3           3         413         493
          20          11           3           4         506         599
          20          11           3           5         532         622
          20          11           3           6         564         663
          20          11           3           7         430         508
          20          11           3           8         621         705
          20          11           3           9         715         802
          20          11           3          10         376         462
          20          11           3          11         601         717
          20          11           6           0         595         718
          20          11           6           1         691         788
          20          11           6           2         513         642
          20          11           6           3         674         805
          20          11           6           4         631         742
          20          11           6           8         453         542
          20          11           6           9         391         462
          20          11           6          10         409         508
          20          11           6          11         423         512
          20          11           6          12         452         541
