#Sat Sep 25 01:27:26 2021
# copy the contents of this file into (location TBD) to update CODA thresholds for detector bb.gem
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms (for average over time samples)
APV               20              11               7               0
               0         -0.4912           37.14
               1           0.627           32.93
               2          -2.068           31.16
               3          -3.044           30.39
               4         -0.9633           9.636
               5         -0.8987           7.735
               6          -2.435           9.503
               7         -0.9794           8.745
               8          0.2812           5.678
               9          -1.118           6.794
              10          -1.016           7.761
              11          0.7217           8.367
              12           1.245           6.459
              13         -0.5668           6.695
              14        -0.03671           7.897
              15         -0.2056           8.662
              16          0.6564            5.62
              17         0.07269           6.841
              18          0.6336           6.911
              19         -0.5977           7.027
              20          0.4222           5.762
              21         -0.3392           7.186
              22          0.3767           6.051
              23         0.04699           7.085
              24          0.5367           6.199
              25         -0.2048           7.982
              26          0.8443           6.128
              27          0.4993            7.86
              28          0.5169           5.507
              29         -0.7526           7.288
              30          0.2335           6.385
              31           1.201           8.176
              32           1.023           5.849
              33         -0.2203           7.046
              34          -1.131           7.465
              35         -0.6747           8.422
              36          0.1836           6.014
              37         -0.9699            6.63
              38          -1.305           7.743
              39          -0.221           8.628
              40         0.01762           6.136
              41          -0.649             7.1
              42         -0.3421           8.265
              43         -0.4236           8.928
              44         0.05727           6.057
              45           1.227           6.757
              46          -1.081           7.628
              47        -0.01836            9.55
              48          0.7577           5.718
              49         -0.4912           6.788
              50          -1.033           6.413
              51           0.826           6.907
              52          0.1931           5.613
              53         -0.2562           7.093
              54        0.004405           5.885
              55          0.7599           7.205
              56          -0.196           5.388
              57          -1.007           7.199
              58          0.2386           6.428
              59          0.4523           7.939
              60         -0.2885           6.373
              61          0.3436           7.683
              62           0.406           6.272
              63           1.593           6.852
              64         -0.9031           5.765
              65           -1.34           5.767
              66          0.3715           7.727
              67           1.493           7.065
              68         -0.5264           5.768
              69         -0.4772            5.69
              70          0.3267            7.79
              71           1.419           7.006
              72         -0.1204           5.945
              73          -1.314           6.239
              74         -0.2812           7.397
              75           1.893            7.34
              76         -0.2673           5.701
              77          0.5338           6.696
              78         -0.1674           7.122
              79           1.401           7.151
              80         -0.2893           5.702
              81         -0.9449             5.5
              82          0.5749           5.754
              83           1.694           7.874
              84           -1.04           5.843
              85          0.2739           5.201
              86          0.1579           5.604
              87           1.355           7.785
              88         -0.1652           5.526
              89          -1.264           5.701
              90          0.1131           5.776
              91           1.599           7.588
              92          -0.254           5.161
              93         -0.4743           5.886
              94         0.04258            5.99
              95            1.38           7.082
              96          -0.674           5.856
              97         -0.9325           5.544
              98         -0.9486            8.13
              99         -0.7291            8.84
             100         -0.4376           5.871
             101          -1.318            5.91
             102         -0.9721            7.63
             103           1.164           7.263
             104         -0.2783           6.328
             105          -2.068           7.385
             106          0.7085            7.75
             107           1.592           7.427
             108         -0.3385           5.668
             109          0.3113           7.858
             110           1.109           6.616
             111           1.068           7.759
             112          0.6094           5.496
             113         -0.2063           5.498
             114           1.031           5.717
             115           1.336           7.245
             116         -0.5565            5.36
             117         -0.7416           5.354
             118           1.039           5.385
             119           1.174           7.606
             120        -0.02056           5.486
             121         -0.6637            5.67
             122            1.53           6.017
             123           1.485           7.402
             124         -0.2658           5.113
             125          0.4332           5.882
             126           0.804            6.51
             127         -0.2144           10.13
APV               20              11               7               1
               0          -1.974           38.39
               1          0.4618           33.46
               2         -0.2269           31.53
               3          -2.203           30.84
               4          -2.033           10.58
               5         -0.6461           7.809
               6           -1.13           8.203
               7          0.3018           10.17
               8          -1.504           6.768
               9          -1.721           6.979
              10           1.782           7.498
              11          0.9354           13.51
              12         -0.3113           7.376
              13         -0.7731           6.456
              14          0.9523           7.173
              15           2.112           12.42
              16         -0.9405           6.631
              17         0.07122           6.406
              18         -0.4449           6.379
              19           1.584           6.484
              20          -1.139           6.408
              21          -1.052            6.37
              22        -0.06094           6.084
              23           1.319           6.514
              24          -1.123            6.21
              25          -1.468           6.518
              26           0.851           5.969
              27            1.83           9.753
              28         -0.2166           6.265
              29         -0.8407           6.656
              30           1.613           6.109
              31         -0.1872           10.78
              32          -1.193           6.538
              33         -0.6131           6.752
              34           0.837           6.619
              35           1.215           7.483
              36          -1.938           6.733
              37        -0.07709           6.367
              38          0.5609           6.779
              39           2.303           12.39
              40         -0.6101           6.842
              41         -0.3304            6.78
              42          0.7621           7.119
              43          -1.259           14.75
              44          -1.036           7.168
              45          -1.456           7.823
              46             1.8           7.042
              47           2.822           8.013
              48         -0.3157           6.542
              49         -0.3025           6.287
              50         -0.4405            6.54
              51           1.457           6.238
              52         -0.5132           6.488
              53          -1.155           6.399
              54           1.617           5.913
              55           1.261           9.352
              56          -1.642           6.437
              57         -0.1278           6.528
              58           1.601           6.153
              59           2.631           13.48
              60         -0.2849           6.192
              61          -1.321           6.299
              62          0.6725           9.334
              63           2.809           8.258
              64          -0.986           6.666
              65          -1.556           6.724
              66          0.1512           6.778
              67         -0.3987           7.525
              68           -1.48           6.202
              69         -0.3847           6.273
              70          0.7819           6.939
              71           1.969           10.28
              72          -1.267           6.828
              73         -0.2416           6.503
              74           1.909           7.967
              75           1.457           9.765
              76         -0.6087           6.762
              77         -0.2621           6.461
              78          0.6982            7.06
              79           2.839           7.762
              80         -0.1535           6.399
              81          -1.156           6.073
              82           0.801           6.079
              83          0.5242           6.215
              84          -2.008           6.279
              85          -1.893           6.121
              86          0.8098           5.563
              87           1.485           9.611
              88          -1.893           6.142
              89         -0.9302           6.104
              90           1.516           5.709
              91           1.435            7.59
              92          -1.268           5.948
              93         -0.2115           6.449
              94           1.694           5.667
              95           2.257           8.085
              96          -0.837           6.802
              97          -1.478           6.272
              98          0.6167           7.266
              99          -3.709           16.97
             100          -2.362           6.527
             101          -1.719           6.065
             102         0.04552           6.901
             103          0.1417            9.77
             104        -0.03157           7.017
             105           -1.64           7.683
             106           1.175           7.063
             107           1.673            9.38
             108         -0.9339           6.105
             109          -1.927           7.403
             110          0.6358           7.013
             111           2.963           8.012
             112         -0.1931           6.357
             113          -1.013           6.316
             114          -1.087           6.076
             115           1.559           6.376
             116          -0.851           6.023
             117           -1.35           5.858
             118          0.8979           5.632
             119           1.769           9.639
             120         -0.3715           6.117
             121          -1.134           6.013
             122          0.7753           9.229
             123          0.6645           11.55
             124         -0.5668            5.68
             125        -0.02423           6.006
             126            1.17            6.24
             127           2.301           8.184
APV               20              11               7               2
               0         -0.9192           35.37
               1            1.66            30.3
               2         -0.2203            27.8
               3          -1.469            26.9
               4          -1.778           9.997
               5          -1.359           7.185
               6         -0.5411           8.387
               7         -0.6417           7.535
               8          -1.546           6.957
               9          -1.909           6.386
              10           1.701           6.793
              11           1.961           7.372
              12          -1.456           7.404
              13         -0.2225           6.038
              14           1.338           6.745
              15           1.673           7.915
              16         -0.7504           6.606
              17         -0.9699           6.723
              18            0.21           7.327
              19           1.159            6.36
              20         -0.1865           6.932
              21         -0.8803            6.55
              22          0.2004           7.389
              23           1.288           6.632
              24         -0.2034           6.429
              25         -0.6938           6.697
              26            1.56           6.198
              27           2.498           6.589
              28         -0.9009            6.65
              29          -1.242           6.722
              30           1.349           6.173
              31            1.01           7.734
              32         -0.6725           6.768
              33          -2.265           6.578
              34          0.7063           6.394
              35         -0.3421           6.848
              36          -1.186           7.182
              37          -1.526           5.969
              38           1.004           7.164
              39           1.519           7.452
              40         0.05947           7.239
              41          -1.262           6.414
              42           0.312           7.294
              43          0.9068           7.596
              44         -0.4699           6.848
              45         -0.6557           7.396
              46           1.036           6.764
              47          0.9449           8.766
              48          -0.583           6.304
              49          -1.428           6.419
              50           0.221           6.671
              51         0.04699           6.096
              52           -1.08           6.513
              53         -0.7048            6.42
              54           2.487           6.941
              55          0.5727           6.218
              56          -1.484           6.488
              57         -0.6432           6.431
              58           1.234           6.103
              59           2.088           7.131
              60         -0.2761           6.157
              61          -1.234           6.421
              62           1.272           5.916
              63           2.073           8.315
              64         -0.2056           6.752
              65          -2.084           6.262
              66          0.7298           6.834
              67           1.469           6.559
              68         -0.9464           7.148
              69           -1.45           5.858
              70         -0.5455           6.587
              71          -0.663           7.019
              72          -1.532           6.905
              73         -0.8062           5.828
              74          0.2467           6.394
              75           1.199           7.523
              76          -1.433           6.363
              77          -1.129           6.426
              78          0.4853           6.231
              79            1.53           8.593
              80         -0.3759           6.748
              81         -0.8458           6.381
              82           1.137           8.665
              83           1.822           6.144
              84         -0.5162           6.548
              85         -0.3098           6.358
              86          0.4001           5.558
              87          0.9699           6.488
              88          -2.314            6.41
              89          -1.102           6.356
              90           1.371           5.598
              91           1.368           7.309
              92         -0.6402           5.944
              93         -0.3634           6.209
              94          0.7239           5.545
              95           1.319           8.393
              96         -0.5499            6.91
              97         -0.3407           5.892
              98          0.5044           6.679
              99          0.5117           7.409
             100          -1.511           6.952
             101          -1.518           5.868
             102          0.4068           6.378
             103           1.869           7.061
             104         -0.9112           7.289
             105          -1.399           6.978
             106          0.6667           6.407
             107            1.07           7.811
             108          -1.413           6.038
             109          0.2115           7.163
             110           1.272            6.51
             111           1.084           9.004
             112          -1.662            6.28
             113         -0.5852           5.907
             114           1.465           6.029
             115          0.2952           6.182
             116          -1.061           6.495
             117          -1.305           5.962
             118          0.8693           5.522
             119          0.9178           6.263
             120         -0.7577           6.583
             121           0.826           5.957
             122           1.501           5.575
             123           1.668           7.671
             124          -1.445           5.831
             125          0.6204           6.353
             126          0.6535           5.786
             127          0.9941           9.347
APV               20              11               7               3
               0          -2.079           35.76
               1          0.6373           31.25
               2          0.5888           29.33
               3          -1.673           28.55
               4         -0.8921           10.68
               5         -0.6755           8.006
               6           1.726           8.735
               7          0.6468           8.395
               8          -1.056           7.356
               9          -1.247           7.436
              10          0.2665           7.319
              11           0.243           8.435
              12          0.1703           8.111
              13          0.6145           6.525
              14           1.332           7.552
              15           1.938           8.694
              16         0.03377           7.284
              17         -0.7775           7.103
              18           2.067           7.853
              19           1.806           7.586
              20         -0.3576           7.552
              21         0.01395            7.26
              22            3.56           6.452
              23           1.496           6.879
              24         0.04185           7.117
              25         -0.4655           6.951
              26           1.825           6.278
              27           1.703           7.447
              28         -0.1946           7.026
              29         -0.1938           7.228
              30           1.415           6.406
              31          0.2592           8.109
              32          -1.108           7.301
              33          -0.793           7.228
              34            2.58            6.84
              35           2.372           8.239
              36         -0.5316           7.614
              37         -0.2702           6.581
              38           1.869           6.672
              39           1.954           8.724
              40         -0.9479             7.8
              41         -0.7577           6.774
              42          0.8546           7.717
              43            0.63           8.787
              44         -0.7115           7.504
              45          0.1674            8.42
              46           1.062           7.314
              47         0.09251           9.819
              48          -1.229           6.985
              49         -0.5808           7.082
              50         -0.4332           7.305
              51          0.8708           7.957
              52         -0.1586            7.19
              53         -0.3231           7.025
              54           1.688           6.454
              55          0.8987           6.779
              56         -0.7159           6.954
              57         -0.2335            6.98
              58           2.332           6.341
              59          0.8796           7.653
              60         -0.6733           6.852
              61         -0.2805           7.116
              62           1.763           6.489
              63           1.685           8.917
              64        -0.01322           7.186
              65          -1.962           6.951
              66         0.07269           7.095
              67        -0.09031           8.492
              68          -2.058           7.409
              69           -1.92           6.738
              70         -0.7915           7.363
              71          0.4941           8.211
              72          -1.564           7.574
              73          -1.977           6.513
              74          0.7952           6.827
              75          0.2217           8.433
              76          -1.673           7.069
              77          -1.094           7.284
              78          0.1116           6.906
              79          0.4325            9.71
              80          -1.208           6.779
              81          -1.399           6.705
              82          0.8774           6.723
              83         -0.2863           8.488
              84          -1.963           7.456
              85          -2.456           6.987
              86          0.2974           6.512
              87          0.5455           7.015
              88         -0.6505           6.748
              89         -0.4119           6.888
              90          0.6564           6.142
              91           1.683           7.864
              92          -0.895           6.636
              93         -0.2937           7.123
              94          0.2577           6.211
              95           1.128           9.273
              96          -1.242           7.281
              97         -0.7276           6.779
              98         -0.4354           7.662
              99          0.1564           8.771
             100          -1.936           7.617
             101          -1.999           6.771
             102          0.1439           7.293
             103          0.4596            8.24
             104         -0.4229           8.096
             105          -2.011           8.079
             106          0.7474           7.266
             107           0.638           9.001
             108          -1.104           6.856
             109          -2.725           8.116
             110           0.757           8.059
             111           1.576           10.18
             112         -0.6623           7.073
             113          -1.424           6.634
             114          0.3576           6.563
             115           2.115            10.8
             116          -1.306             7.3
             117          -1.382           6.469
             118         -0.4332           6.095
             119          0.8612           7.015
             120          -1.939           6.853
             121          -1.285           6.783
             122          0.4508           6.341
             123           1.097           7.951
             124          -2.015           6.371
             125           -1.48           6.956
             126           1.301           6.666
             127           1.209           10.24
APV               20              11               7               4
               0          -2.148           40.49
               1           1.348           35.26
               2         0.09985           33.06
               3          -2.624           32.78
               4          -1.419           10.73
               5         -0.6278           7.889
               6          -1.037           9.049
               7         -0.4082           7.549
               8         -0.8275           6.585
               9         -0.7665           6.225
              10         -0.5837           6.888
              11         -0.3443           7.567
              12          0.6204            7.08
              13         -0.1968           5.661
              14          0.8282            6.72
              15          0.9361           7.638
              16        -0.01175           6.412
              17         -0.5698           5.993
              18           2.263           9.187
              19           1.311           6.039
              20         -0.8957           6.761
              21         -0.1858           6.321
              22           2.152           6.813
              23           1.313           5.958
              24         -0.8157           6.349
              25         -0.2372           6.381
              26           1.449           6.156
              27          0.2614           6.556
              28         -0.7386           6.217
              29         -0.4023           6.602
              30           1.603           6.034
              31           1.002           7.371
              32        -0.06167           6.676
              33         -0.6204           6.677
              34           1.439           6.399
              35          0.9214           7.088
              36          -1.206           6.794
              37        -0.09985           6.146
              38            0.71            7.34
              39            1.25           7.374
              40         -0.9361           6.771
              41          0.2628           6.069
              42         -0.1175            7.48
              43         0.01762           7.824
              44          -0.246           6.981
              45          -1.006           7.028
              46          0.1579           6.968
              47          0.2335            8.33
              48         0.01982           6.408
              49          0.1814           6.079
              50           1.477           7.834
              51          0.7922           5.959
              52         -0.9082           6.526
              53         -0.9023           6.349
              54           1.529           6.263
              55          0.8752           5.747
              56         -0.3877           6.192
              57           1.541           6.304
              58           1.532           5.941
              59          0.2115           6.753
              60          0.4383           5.904
              61           2.131           7.019
              62          0.5345           5.762
              63          0.5396           7.853
              64         -0.9692           6.439
              65         -0.1762           6.268
              66           1.025           7.578
              67           0.141           7.443
              68          -1.032           6.741
              69          -1.259           5.751
              70         -0.3289           7.072
              71         0.03304           6.856
              72         -0.5507           6.564
              73           -1.83           5.738
              74        -0.05727           6.851
              75          0.2592            7.59
              76          0.4273           6.314
              77          0.6696           5.973
              78           0.793           6.412
              79          0.4604           8.238
              80          -1.161           6.435
              81         -0.9383           6.125
              82          0.3869           7.215
              83          0.5411           5.979
              84         -0.8069           6.427
