#Fri Sep 24 20:57:45 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           127.1           36.99
               1          -32.34           32.76
               2          -27.44           30.83
               3          -9.571           30.34
               4          -200.4           9.967
               5          -86.01           7.716
               6          -21.75           9.196
               7           30.13            8.21
               8          -66.12           5.932
               9          -12.46           6.815
              10         -0.8717           7.548
              11           51.91           8.061
              12          -38.22           6.618
              13          -16.03           6.375
              14           29.18           7.451
              15            68.3           8.117
              16          -47.49           6.148
              17          -54.33           6.612
              18           4.027           6.714
              19           45.94            6.67
              20          -79.95           6.163
              21          -27.69           6.783
              22            3.44           5.985
              23           45.88            6.61
              24           -50.1           5.783
              25          -15.62           7.476
              26           19.54           6.017
              27           56.24           7.292
              28          -31.69           5.701
              29          -8.052           6.817
              30            22.9           6.157
              31           85.64           7.726
              32          -38.46           6.386
              33          -39.68            6.87
              34          -8.322           7.247
              35           36.35           7.931
              36          -54.52           6.254
              37          -36.07           6.646
              38           7.672            7.58
              39           62.93           8.117
              40          -39.51           6.206
              41          -35.45           7.235
              42            19.7           7.911
              43           73.95           8.205
              44          -32.11           5.859
              45           11.89           6.485
              46           36.53           7.427
              47           75.83           8.712
              48          -64.42           6.175
              49          -38.87            6.52
              50          -9.359           6.331
              51           27.79           6.526
              52          -58.77           6.103
              53          -34.63            6.71
              54          0.1199           5.891
              55           56.54            6.81
              56           -49.7           5.566
              57           -6.22           6.908
              58           7.158           6.119
              59            82.9           7.362
              60          -31.02           6.238
              61           7.105           7.428
              62           27.99           6.049
              63           73.13           6.911
              64          -67.25           6.305
              65          -24.02            5.83
              66           12.73           7.751
              67           54.99            6.61
              68          -67.47           6.245
              69          -39.38           5.797
              70           6.638           7.355
              71           46.33           6.809
              72          -68.05           6.227
              73          -27.07           6.016
              74           8.871           6.944
              75            77.4           7.042
              76          -30.98            5.72
              77           7.604           6.429
              78              35           6.918
              79           80.91           7.046
              80          -41.09           6.346
              81          -30.56           5.916
              82           17.39            5.67
              83           33.15           7.411
              84          -52.65           6.261
              85          -47.18           5.653
              86          0.9067           5.457
              87           34.96            7.41
              88          -36.96           5.932
              89          -28.79           5.744
              90            16.7           5.628
              91           56.13           7.199
              92          -35.65           5.708
              93          -14.36           5.775
              94           36.55           5.794
              95           88.95           7.073
              96           -55.2           6.421
              97          -36.65           5.685
              98           15.02           7.556
              99           58.55           8.135
             100          -46.29             6.3
             101             -13           5.847
             102           15.87           7.322
             103           53.57           7.074
             104          -31.65           6.498
             105          -18.37            7.27
             106           11.16            7.03
             107           67.92            7.27
             108          -37.55           5.543
             109           0.862           7.393
             110           30.81           6.357
             111           79.63           7.665
             112          -37.59           6.124
             113          -50.17           5.728
             114             1.8            5.63
             115           36.37           6.742
             116          -64.11           6.013
             117          -19.74           5.516
             118           16.79           5.524
             119           60.82            7.22
             120          -49.51           5.787
             121          -18.19           5.745
             122           28.54           5.793
             123           78.07           7.202
             124          -33.94           5.485
             125          -5.109           5.656
             126           29.92           6.165
             127           123.7           9.237
APV               20              11               7               1
               0           145.3           38.24
               1          -27.28            33.5
               2          -17.61           31.45
               3           -24.5           30.88
               4          -200.7           11.03
               5          -80.46           7.718
               6           -17.6           8.443
               7           32.27           10.05
               8          -52.37           7.148
               9          -3.099           6.913
              10           24.81           7.526
              11           72.46           13.59
              12          -66.56           7.447
              13          -11.75           6.307
              14           42.41           7.167
              15            70.2           12.39
              16          -62.03           7.232
              17          -48.11           6.729
              18          -32.83           6.348
              19           41.89           6.741
              20          -76.13            7.29
              21          -18.03           6.685
              22          -4.844           5.996
              23           54.61           6.868
              24          -59.36           6.851
              25          -22.11           6.554
              26           9.911           6.093
              27           72.55           10.17
              28          -41.29           6.498
              29          -26.25           6.412
              30           16.28           6.225
              31           80.94           11.25
              32          -72.59           7.201
              33          -38.06           6.775
              34           4.967           6.714
              35           36.88           7.702
              36          -67.46           7.287
              37          -29.19           6.336
              38           18.93             6.9
              39           56.99           11.96
              40          -64.61           7.339
              41          -9.271           6.551
              42           23.78           7.478
              43           80.28           15.09
              44          -30.78           7.085
              45          -7.971           7.824
              46            10.3           7.251
              47           73.21            8.63
              48          -59.48           7.254
              49          -41.54           6.607
