#Mon Aug  1 15:24:32 2022
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           126.4           36.99
               1           -37.3           33.31
               2          -25.88           31.05
               3          -4.423           30.56
               4          -199.3           9.904
               5          -88.19            9.01
               6          -20.53           9.133
               7           35.76           8.449
               8          -67.39           6.009
               9          -14.93            12.3
              10         -0.8738           7.697
              11           57.28           8.278
              12          -41.33           6.653
              13          -18.78           6.425
              14           30.12           7.524
              15            70.5           8.559
              16          -46.95           6.098
              17          -56.67           6.074
              18           7.025           6.701
              19           50.54           6.955
              20          -79.88           6.295
              21          -29.64           6.325
              22           5.373           6.104
              23           51.75           6.925
              24          -51.06           5.485
              25          -17.76           6.869
              26           20.64            6.21
              27           60.81           7.515
              28          -34.75            6.06
              29          -10.37           6.347
              30           24.58           6.525
              31           87.44           8.108
              32          -38.61            6.35
              33          -42.25           6.199
              34          -7.991           7.316
              35            40.4           8.094
              36           -54.5           6.327
              37          -38.77           6.008
              38           8.219           7.614
              39           68.42           8.362
              40          -40.35           5.724
              41          -38.23           6.513
              42           20.64            8.13
              43           78.09           8.513
              44          -35.14           6.284
              45           9.247           6.896
              46           37.87           7.495
              47           72.05           6.213
              48          -64.87           6.325
              49          -41.32           6.244
              50          -7.652           6.213
              51           33.06           6.714
              52          -59.14           6.083
              53          -36.83           6.147
              54          0.8698           5.988
              55           62.77           6.936
              56          -51.74           5.772
              57          -8.383            6.37
              58           8.051           6.307
              59           81.58           6.315
              60           -34.6            6.55
              61           5.399           7.086
              62           30.55           6.118
              63           72.93           6.515
              64          -67.12           6.217
              65          -26.41           9.304
              66           11.55           7.688
              67           57.81           5.848
              68          -67.55           6.276
              69          -42.34           10.31
              70           6.222           7.347
              71           49.34           6.181
              72          -69.88           6.271
              73          -29.43           10.96
              74           9.925            7.09
              75           78.66           6.249
              76          -33.68           5.689
              77           5.549           6.551
              78           37.43           6.884
              79           80.73           6.481
              80          -40.86           6.322
              81          -32.99           5.987
              82           17.77           5.744
              83           35.98           7.141
              84          -52.68           6.317
              85          -49.57           5.666
              86           2.028           5.499
              87           38.26           6.813
              88           -38.8           6.031
              89          -30.96           5.796
              90           18.58           5.669
              91           57.37           6.608
              92          -38.59           5.726
              93          -15.67           5.745
              94            39.6           5.863
              95           89.18           6.463
              96          -55.25           6.314
              97          -39.08           5.743
              98           14.05           7.633
              99           60.36           6.223
             100          -46.82           6.396
             101          -15.34           6.114
             102           16.49           7.164
             103           55.92           6.446
             104          -32.96           6.456
             105           -20.9            11.8
             106           12.47           7.283
             107           68.49           6.437
             108          -40.14           5.612
             109         -0.1567           7.588
             110           33.44           7.405
             111            78.9           6.307
             112          -37.75           6.191
             113          -52.83           5.746
             114           1.694           5.627
             115            39.5            6.87
             116          -65.02           5.997
             117          -21.77           5.575
             118           18.36           5.562
             119           63.86           6.561
             120          -51.77           5.834
             121          -19.93           5.705
             122           31.16           5.844
             123           79.17           6.596
             124          -37.01           5.564
             125          -5.702           5.685
             126           32.99           6.324
             127           124.9             9.5
APV               20              11               7               1
               0           147.3           38.14
               1          -28.66           34.38
               2          -18.27           31.68
               3          -24.19           31.15
               4          -196.4            11.1
               5          -79.34           10.32
               6          -17.66           8.681
               7           32.94           9.439
               8          -49.01           7.329
               9          -1.634           13.78
              10           23.73           6.531
              11           73.32           13.63
              12          -64.75           7.601
              13          -10.23           7.391
              14           41.62           7.483
              15           69.76           12.06
              16          -59.58           7.229
              17          -46.96           6.579
              18          -33.98           6.553
              19           41.67           7.105
              20           -72.8           7.249
              21          -16.22           6.662
              22          -4.878           6.342
              23           54.96           7.216
              24           -56.7           6.798
              25          -20.07           6.464
              26           8.975             6.4
              27           72.13           9.885
              28          -39.74           6.576
              29          -23.82            6.34
              30           14.81           6.591
              31           80.72           10.74
              32          -69.42           7.295
              33          -36.83           7.062
              34           3.678           6.903
              35           36.68           7.924
              36          -63.82           7.438
              37          -28.06           6.534
              38           18.33           7.104
              39           56.87           12.32
              40          -61.56           7.487
              41          -7.303           6.988
              42           22.76           7.703
              43           80.99           15.37
              44          -28.81           7.049
              45          -6.348           9.131
              46            9.64           7.611
              47           74.17            7.62
              48          -56.51           7.209
              49          -40.58           6.555
              50          -3.721           6.439
              51           47.56           6.905
              52          -68.91           6.831
              53          -21.46            6.41
              54           19.89           6.249
              55           52.68           9.059
              56          -46.99           6.758
              57          -14.81            6.38
