#Mon Sep 27 00:47:55 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           129.3           36.96
               1          -32.68           32.79
               2          -27.12           30.81
               3          -9.038           30.49
               4          -199.8           9.812
               5          -86.25           8.065
               6          -21.17           9.589
               7              31           8.755
               8          -65.42           5.883
               9           -12.5           6.994
              10         -0.6071           7.919
              11           52.63           8.493
              12          -38.06           6.669
              13          -16.11           6.839
              14            29.4           7.849
              15           68.92           8.429
              16          -47.04           6.005
              17          -54.61           7.081
              18           4.573           6.917
              19           45.87            6.79
              20          -79.48           5.946
              21          -27.95           7.343
              22            3.59           6.054
              23           46.37           6.959
              24           -49.8           6.271
              25          -15.92           7.996
              26           19.49           6.148
              27           56.87           7.539
              28          -31.16           5.694
              29          -8.168           7.328
              30           23.01           6.305
              31           86.26           8.184
              32          -37.92           6.181
              33          -39.76           7.195
              34          -8.149           7.575
              35           36.87           8.504
              36          -54.11           6.089
              37          -36.15           7.065
              38           7.939            7.86
              39           63.18           8.466
              40          -39.02           6.429
              41          -35.42           7.651
              42           20.12           8.338
              43           74.87           8.657
              44          -31.89            5.95
              45            11.5           7.036
              46            36.8           7.769
              47           76.47           9.125
              48          -63.49           5.973
              49          -38.92           7.005
              50          -9.356           6.444
              51           27.94           6.714
              52          -58.41           5.886
              53          -35.01           7.224
              54         0.01133           5.913
              55           56.92           6.915
              56          -49.36           5.509
              57          -6.399           7.392
              58           7.147           6.222
              59           82.97           7.638
              60          -31.03           6.739
              61           6.843           8.073
              62           28.36           6.094
              63           73.98           7.269
              64          -66.77           6.072
              65          -24.58           5.731
              66           11.83           8.018
              67           54.51           7.133
              68          -67.55           5.983
              69          -40.11           5.487
              70           5.788            7.69
              71           46.65           7.403
              72          -68.67           6.149
              73          -27.54           5.728
              74           8.053           7.291
              75           77.94           7.623
              76          -31.38           5.801
              77           7.024           6.385
              78           34.29           7.212
              79            81.7           7.516
              80          -40.51           6.037
              81          -31.16           5.791
              82           16.84           5.785
              83           33.11           7.988
              84          -52.66           5.954
              85          -47.78           5.525
              86         0.06813           5.539
              87           35.21           7.942
              88          -37.47           5.737
              89          -29.63           5.751
              90            15.9           5.768
              91           56.77           7.828
              92          -36.02           5.571
              93          -15.02           5.828
              94           35.98           5.999
              95           89.71           7.534
              96          -54.81           6.051
              97          -37.03           5.696
              98           14.39           7.879
              99           57.95           8.502
             100          -46.69           6.079
             101          -13.69           5.743
             102           15.31            7.64
             103           53.92           7.638
             104          -31.66           6.523
             105          -19.18           7.015
