#Thu Sep 30 12:39:18 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           127.2           36.93
               1          -32.91            33.2
               2          -27.88           31.04
               3          -9.532           30.58
               4          -201.2           9.758
               5          -86.23           8.657
               6          -21.57           10.38
               7           31.16           9.289
               8          -65.95           5.682
               9          -12.35           7.547
              10         -0.8964           8.309
              11           52.61           8.937
              12          -38.71           6.413
              13          -16.04           7.504
              14           29.61           8.304
              15            68.5           8.879
              16          -48.16           5.741
              17          -54.75               8
              18           4.309           7.155
              19           46.21           6.862
              20          -80.09           5.925
              21           -27.7           8.381
              22           3.725            6.19
              23           46.46           7.139
              24          -50.08           7.087
              25          -15.77           9.244
              26           19.97           6.222
              27           56.81           7.795
              28          -32.08           5.733
              29          -8.126           8.464
              30           23.04           6.463
              31           85.87           8.484
              32          -39.33           5.968
              33          -40.01           8.002
              34          -8.506           8.065
              35              37           8.947
              36          -55.07            6.02
              37          -36.28           7.734
              38           7.781           8.263
              39           63.43           8.921
              40          -39.46           7.265
              41          -35.44           8.325
              42           20.15           8.847
              43            74.4           9.165
              44          -32.76           5.925
              45           11.82           7.365
              46            37.2           8.153
              47           75.99           9.551
              48          -64.75           5.904
              49          -39.12           7.942
              50          -9.283           6.608
              51           28.33           6.865
              52          -58.72           5.772
              53          -34.74           8.263
              54          0.1551           6.067
              55           57.44           7.135
              56           -49.9           5.487
              57          -6.316            8.51
              58           7.235           6.293
              59           82.59           7.885
              60          -31.35           7.633
              61           7.247           9.387
              62           28.78           6.223
              63           73.22           8.006
              64           -67.9           5.842
              65           -24.3           5.556
              66           12.79           8.951
              67           55.14           7.886
              68          -67.84           5.751
              69          -39.56           5.675
              70           6.478           8.448
              71           46.35           8.087
              72          -69.11           5.796
              73          -27.14           5.968
              74           8.987            7.94
              75           77.38           8.494
              76          -31.54           5.514
              77           7.576           6.709
              78            35.3           7.655
              79           80.99           8.291
              80          -41.63           5.826
              81           -30.9           5.632
              82           17.44           5.683
              83           33.48           9.042
              84          -53.01           5.754
              85          -47.48           5.342
              86          0.8256           5.494
              87           35.13           9.036
              88           -37.4           5.604
              89          -28.95           5.505
              90           17.08           5.851
              91           56.04           8.746
              92          -36.31           5.353
              93          -14.45           5.633
              94           37.09             6.2
              95           89.02           8.392
              96          -55.98           5.788
              97          -36.66           5.721
              98           15.35           8.788
              99            58.9           9.087
             100          -46.71           5.838
             101          -12.75            6.06
             102           16.17           8.338
             103           53.73           8.422
             104           -31.9           6.226
             105          -18.18           7.529
             106           11.81           8.101
             107           67.68           8.609
             108          -38.12           5.396
             109           1.373           7.983
             110           31.11           7.473
             111            79.4           8.995
             112          -38.05           5.755
             113          -50.53           5.392
             114           1.686           5.585
             115           36.96           8.366
             116          -64.47           5.619
             117          -19.66           5.264
             118           16.91           5.669
             119           60.77           8.804
             120          -49.89           5.539
             121          -18.06           5.519
             122           29.01           6.069
             123           77.99           8.706
             124          -34.44           5.226
             125          -5.102           5.764
             126           29.82            6.57
             127             124           10.32
APV               20              11               7               1
               0           145.6           38.14
               1          -27.75           33.41
               2          -18.48            31.5
               3          -24.54           30.81
               4          -200.8            10.7
               5          -80.47            7.63
               6          -17.28           8.362
               7           33.22           10.02
               8          -52.12           6.716
               9          -3.427           6.582
              10           25.48           8.019
              11           72.29           13.22
              12          -66.76           7.247
              13          -12.39           6.397
              14           42.72           7.002
              15           69.57           12.09
              16           -62.5           6.835
              17          -48.72           6.453
              18          -33.58           6.682
              19           41.99           6.529
              20          -76.28           6.727
              21          -18.36           6.513
              22          -5.266            6.15
              23            54.5           6.555
              24          -59.62           6.551
              25          -22.62            6.52
              26           9.808           5.939
              27           72.18           10.07
              28          -41.53           6.326
              29          -27.48           6.356
              30           16.41           6.086
              31           81.49           10.71
              32          -73.35           6.719
              33          -38.13           6.647
              34            4.78           6.556
              35           37.08           7.524
              36          -67.59           6.886
              37          -29.34           6.284
              38           18.74           6.703
              39           58.13           12.09
              40          -64.45            6.86
              41          -9.648           6.452
              42           24.22           7.338
              43           80.33           15.02
              44          -31.09           6.964
              45          -8.493           7.772
              46           10.46           6.976
              47           73.13           9.812
              48          -59.91           6.576
              49           -42.1           6.318
              50          -3.269           6.628
              51           48.26           6.356
              52          -71.83           6.488
              53          -23.54           6.227
              54           20.37           6.005
              55           52.86           9.709
              56          -49.24           6.417
              57          -17.94           6.408
              58           27.91           6.206
              59           75.32           13.15
              60          -31.41           6.174
              61          -23.36           6.444
              62            18.3           9.454
              63           73.38           10.07
              64          -72.59           6.638
              65          -29.35           6.332
              66           6.266           6.701
              67           58.77           7.603
              68          -60.55           6.515
              69          -20.75            6.09
              70           6.652           7.099
              71           61.14           9.849
              72          -37.42           6.773
              73         -0.5308           6.239
              74           8.306           8.263
              75           78.95           9.588
              76          -47.26           6.398
              77          -29.05           6.577
              78           27.96           6.763
              79           90.45            9.57
              80          -69.51            6.47
              81          -42.21           6.212
              82           3.126           6.066
              83           41.66           6.349
              84          -44.03           6.631
              85           -22.6           5.991
              86           12.87             5.8
              87           65.13           9.685
              88          -48.29           6.198
              89          -18.22           6.185
              90           24.65           5.802
              91            58.7           7.564
              92          -43.34           5.953
              93          -10.78           6.239
              94           16.44           5.723
              95           99.84           9.944
              96          -59.41           6.791
              97          -28.35           6.149
              98           9.253            7.14
              99           50.51           16.38
             100          -48.17           6.643
             101          -41.03           6.032
             102           17.16           7.061
             103           65.39           9.587
             104          -44.05           7.035
             105          -20.97           7.289
             106           41.06           6.973
             107           75.47            9.33
             108          -60.71           6.054
             109             -12           7.548
             110           20.12           7.134
             111           82.37            9.83
             112          -49.27           6.453
             113          -17.34           6.118
             114          -8.691           5.962
             115           46.27            6.24
             116          -57.11           6.356
             117          -19.03           5.754
             118           10.99           5.691
             119           65.44           9.741
             120          -55.39           6.173
             121          -19.93           5.956
             122           25.47           9.523
             123           77.28           11.66
             124          -47.61            5.78
             125          -26.81           6.126
             126           57.47           6.317
             127           152.9              10
APV               20              11               7               2
               0           142.7           35.01
               1           4.717           30.22
               2          -1.008           27.82
               3          -19.46           26.91
               4          -149.3           10.29
               5           -50.7           7.277
               6          -16.19           8.722
               7          -16.58           7.599
               8          -23.32           7.005
