#Wed Oct  6 13:31:17 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           127.1           36.78
               1          -34.75           33.58
               2          -26.87           31.01
               3           -8.76           30.72
               4          -200.6           9.707
               5           -86.4           9.239
               6           -21.3           10.12
               7           31.41           9.254
               8          -66.16           5.711
               9          -12.78           8.734
              10         -0.5012           8.346
              11           52.87           9.043
              12          -38.96            6.42
              13           -16.1           8.171
              14            29.6           8.309
              15           68.58           9.056
              16          -48.05           5.694
              17          -54.98           8.346
              18           4.707            7.44
              19            46.6            7.33
              20          -79.94           5.811
              21          -28.07           8.755
              22           3.867           6.643
              23           46.69           7.431
              24          -50.41           7.498
              25          -15.86            9.52
              26              20           6.545
              27           56.99           8.161
              28          -32.18            5.73
              29          -8.274           8.725
              30           23.33             6.8
              31           86.32           8.727
              32           -38.8           5.914
              33          -40.34           8.265
              34          -8.312           8.074
              35           37.01           8.896
              36          -54.84           5.835
              37          -36.49           8.211
              38            8.04           8.379
              39           63.69           9.024
              40          -39.66           7.625
              41          -35.61           8.791
              42            20.1           8.863
              43            74.5           9.255
              44          -32.91           6.129
              45           11.69           8.274
              46           37.17           8.142
              47           76.28           9.723
              48          -64.87           5.613
              49          -39.31           8.275
              50          -9.072           7.055
              51           28.54           7.194
              52          -59.16           5.597
              53          -35.03           8.606
              54          0.2903           6.511
              55           57.75           7.434
              56          -50.23           5.386
              57          -6.517           8.826
              58            7.56           6.825
              59           83.23           8.241
              60          -31.38           7.939
              61           7.051           9.464
              62           29.08           6.671
              63           73.32           8.497
              64          -68.02           5.837
              65          -24.68           6.191
              66           12.65           8.495
              67           55.44           8.506
              68          -67.82           5.688
              69          -40.22           6.293
              70           6.407           8.126
              71           46.65           8.632
              72          -68.89           5.989
              73          -27.17           6.911
              74           9.121           7.738
              75           77.57           8.919
              76          -31.93           5.694
              77           7.518           6.927
              78           35.43            7.74
              79           81.01            8.62
              80          -41.23            5.72
              81          -31.33           5.649
              82           17.75           6.146
              83           33.58           9.323
              84          -53.07           5.693
              85          -47.75           5.564
              86           1.105           5.925
              87           35.37            9.22
              88          -37.61           5.698
              89          -29.12           5.879
              90           16.71           6.237
              91           56.15            8.93
              92          -36.43           5.396
              93          -14.66            6.03
              94           37.17           6.361
              95           89.14           8.684
              96          -55.92           5.774
              97          -37.32           5.836
              98           15.08           8.426
              99           59.19           9.236
             100          -46.74           5.908
             101           -13.2           6.159
             102           16.17           8.196
             103           53.94           8.894
             104           -32.3           6.415
             105          -18.64           8.004
             106           11.81           8.032
             107           68.13           9.013
             108           -38.4           5.557
             109           1.002           7.918
             110           30.92           8.072
             111           79.68           9.513
             112          -38.03           5.549
             113          -50.71           5.565
             114           1.796           6.166
             115           36.71           8.562
             116          -64.78           5.456
             117          -20.09           5.522
             118            17.2           6.082
             119           61.15           9.193
             120          -50.16            5.55
             121          -18.38           5.943
             122           28.77           6.459
             123           77.97           8.908
             124          -34.71           5.397
             125           -5.25           6.078
             126            30.1           7.074
             127             124           10.61
APV               20              11               7               1
               0           146.4           38.06
               1          -29.46           33.73
               2          -17.92           31.43
               3           -24.5           30.94
               4          -200.3           10.66
               5          -80.48           8.054
               6          -17.64            8.35
               7           32.73           11.25
               8           -51.6           6.823
               9          -3.461             7.7
              10           24.75           8.777
              11           72.11           13.46
              12          -66.65           7.364
              13           -12.1           6.587
              14           42.36           7.091
              15           69.26            12.9
              16          -62.16           6.659
