#Thu Oct 21 16:47:40 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0             125           37.23
               1          -32.26           33.25
               2          -27.85           31.06
               3          -9.375            30.5
               4          -199.8           9.822
               5           -85.7           10.15
               6          -22.41           9.309
               7           30.71           8.488
               8           -65.8           5.906
               9          -11.67           13.19
              10          -1.594           7.856
              11           52.31           8.394
              12          -38.73           6.551
              13          -16.06           8.078
              14           28.94           7.729
              15           68.02           8.216
              16          -47.28           6.098
              17          -54.79           7.688
              18           4.009           7.097
              19           46.06           7.096
              20          -79.56           6.201
              21           -27.8           7.978
              22           3.065           6.418
              23           46.34           7.025
              24          -50.08           6.908
              25          -15.92           8.772
              26           18.97           6.463
              27           56.42           7.567
              28          -32.23           5.683
              29           -8.48           7.843
              30           22.25           6.731
              31           85.43           8.079
              32          -38.29           6.363
              33           -39.9           7.847
              34          -9.203           7.481
              35           36.66           8.141
              36          -54.32           6.264
              37          -36.19           7.701
              38           6.777           7.709
              39           63.23           8.322
              40          -39.41            7.29
              41          -35.47           8.397
              42           19.61           8.282
              43           74.06           8.417
              44          -32.48           5.902
              45           11.88            8.38
              46           36.66           7.633
              47           75.85           8.984
              48          -64.32           6.061
              49          -39.34           7.745
              50          -9.787           6.758
              51           28.15           6.949
              52          -58.37           5.981
              53          -35.06           7.797
              54         -0.6932           6.391
              55              57           7.058
              56          -49.81           5.642
              57          -6.485           8.003
              58           6.849           6.648
              59           82.76           7.708
              60           -31.6           7.449
              61           6.991           8.712
              62           27.91           6.461
              63           73.62           8.116
              64          -67.26           6.206
              65          -23.72           9.209
              66           12.06           7.807
              67           55.39           7.735
              68          -67.37           6.279
              69          -38.55           10.29
              70           5.981           7.407
              71           47.09           8.017
              72          -68.47           6.386
              73          -26.18           11.04
              74           8.667           7.278
              75           77.81           8.147
              76          -31.42           5.808
              77           7.784           6.776
              78           34.96           7.155
              79           81.14           8.112
              80          -40.69           6.274
              81          -30.62           6.231
              82           17.27           6.103
              83           33.76           8.472
              84          -52.36           6.314
              85           -47.2           5.808
              86          0.6167           5.812
              87           35.68           8.532
              88          -37.08            6.17
              89          -28.95           6.052
              90           16.49           6.112
              91           56.45           8.302
              92          -36.09           5.828
              93          -14.32           6.098
              94           36.83           6.318
              95           89.09           8.116
              96          -55.17           6.354
              97          -36.49           6.012
              98           14.42           7.644
              99           58.89           8.501
             100          -46.06           6.422
             101          -12.58           6.447
             102           15.65           7.468
             103           54.34           8.144
             104          -31.51           6.587
             105          -17.64           11.84
             106           10.96           7.372
             107           68.14           8.312
             108          -37.69           5.729
             109           1.126           7.772
             110           31.08           7.665
             111           79.89           8.999
             112          -37.22           6.258
             113          -50.44           6.032
             114           0.971           5.953
             115           37.06           7.758
             116          -64.22            6.08
             117          -19.68           5.852
             118           16.67            5.95
             119           61.42           8.294
             120          -49.69           5.914
             121          -17.99           6.167
             122           28.58           6.212
             123           78.39           8.255
             124          -34.19           5.758
             125          -5.122           5.976
             126           29.69           6.766
             127           123.9           9.641
APV               20              11               7               1
               0           143.7           38.52
               1          -26.48           33.92
               2          -18.45           31.47
               3          -24.73           31.04
               4          -199.2           11.03
               5          -79.46           10.25
               6          -18.31           8.497
               7           32.92           11.16
               8          -51.59           7.122
               9          -2.323           13.89
              10            24.5           8.335
              11            73.1           13.68
              12          -66.38           7.537
              13          -12.03           7.401
              14           41.64           7.296
              15           69.33            13.1
              16           -61.5           7.192
              17           -48.1           6.806
              18           -34.1           6.399
              19           42.05           7.018
              20           -75.1           7.293
              21           -17.8           6.915
              22          -5.624           6.138
              23           54.91           7.039
              24          -58.61           6.909
              25          -22.09            6.89
              26           8.746           6.241
              27           72.18           10.44
              28          -41.15           6.626
              29          -26.72           6.737
              30            15.4           6.402
              31           81.34           11.32
              32          -72.13           7.124
              33          -37.95           7.101
              34            3.48           6.565
              35           36.87           7.809
              36          -66.49           7.216
              37          -29.11           6.628
              38           17.93           6.954
              39           57.33           12.62
              40          -63.94           7.282
              41          -9.548            7.03
              42           22.97           7.549
              43           81.03           15.07
              44          -30.14           7.212
              45          -7.605           9.199
              46           9.866           7.324
              47           73.48           8.839
              48          -58.75           7.166
              49           -41.4           6.756
              50          -4.176           6.311
              51           47.98           6.754
              52          -70.66           6.876
              53          -23.21           6.725
              54           19.19           6.013
              55           52.44           10.12
              56           -48.8           6.824
              57          -17.07            6.82
              58            26.9           6.445
              59           75.69           13.58
              60          -31.17           6.475
              61          -22.42           6.778
              62           17.28           9.973
              63           73.62           9.054
              64          -71.41           7.114
              65          -29.21           10.37
              66            5.74           6.556
              67           59.15           7.612
              68          -60.25           6.891
              69           -20.3           11.95
              70           6.016           6.837
              71           61.12           10.77
              72          -37.75           7.274
              73          -0.544            12.1
              74           6.968           8.957
              75           79.28            10.8
              76          -47.75           6.749
              77          -29.32             6.6
              78            27.5           6.784
              79           90.54           8.636
              80           -68.4           7.107
              81          -42.61           6.579
              82           2.859           6.124
              83           42.01           6.625
              84          -43.68            7.09
              85          -22.81           6.425
              86           12.28           5.946
              87           65.44           9.904
              88           -48.4           6.594
              89          -18.56           6.572
              90           24.31            5.86
              91           59.47           7.973
              92          -43.83           6.293
              93          -10.93           6.395
              94           16.21           5.831
              95           99.84            8.95
              96          -58.57           7.429
              97          -28.41           6.513
              98           8.723           7.085
              99           49.47           17.07
             100          -48.35           7.225
             101          -41.09           6.455
             102           16.34           6.844
             103           64.87           10.57
             104          -44.37            7.46
             105          -20.55           12.43
             106           40.51           6.875
             107           76.23            9.69
             108          -61.08           6.352
             109          -12.38           7.474
             110           19.96           7.252
             111           82.56           8.944
             112          -48.99           7.085
             113          -17.45           6.566
             114          -8.774            6.02
             115            46.5           6.506
             116          -57.22           6.898
             117          -19.15           6.176
             118           11.03           5.822
             119           65.86           10.03
             120          -55.49           6.657
             121          -20.32           6.312
             122           23.67           10.09
             123           77.17           12.09
             124           -48.2           6.144
             125          -27.05            6.08
             126           57.59            6.49
             127           152.9           8.917
APV               20              11               7               2
               0           139.5           35.36
               1           4.092           30.66
               2         -0.3281            27.7
               3          -18.55           26.87
               4          -149.2           10.24
               5          -51.53           8.776
               6          -15.68           8.025
               7          -15.41           7.274
               8          -23.89           6.997
               9          -25.83           7.843
              10           14.91            6.82
              11            8.98           7.415
              12          -38.17           7.463
              13          -29.22           6.797
              14           39.57           6.654
              15            15.9           7.834
              16          -25.17            7.14
              17          -22.35           6.575
              18          -15.59           6.802
              19           28.51           6.531
              20          -32.31            7.14
              21          -25.95           6.397
              22         -0.7539           7.576
              23           14.61           6.498
              24          -9.804           6.666
              25           -15.4            6.53
              26           22.63           6.146
              27           33.24           7.357
              28          -21.21           6.364
              29          -18.55           6.319
              30           10.63           6.262
              31           25.34           7.702
              32          -53.03           7.166
              33          -18.67           6.601
              34           7.747           6.429
              35         -0.4873           6.503
              36          -34.65           7.416
              37           -30.1           5.889
              38           10.96           6.751
              39           21.51             7.3
              40          -4.848           7.393
              41          -12.38           6.371
              42           29.37           7.144
              43           15.94           7.805
              44           -9.96           6.616
              45          -3.215           8.363
              46           17.86           6.818
              47           34.14           8.699
              48          -31.26           6.847
              49          -9.936           6.418
              50           1.607            6.33
              51          0.6583           6.249
              52          -25.25           6.842
              53          -23.82           6.172
              54           3.275            7.09
              55           7.547           6.491
              56          -23.26           6.519
              57          -9.954           6.223
              58           33.09           6.299
              59           31.33            7.19
              60          -2.362           6.113
              61           -28.9           6.051
              62           16.48           6.071
