#Fri Nov 12 16:03:49 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0             125           37.11
               1          -32.87           33.41
               2           -27.9           31.22
               3          -8.069           30.56
               4          -200.8            9.93
               5          -86.74           9.804
               6          -22.19           9.294
               7            32.1           8.325
               8          -66.74           5.957
               9          -12.95           13.46
              10          -1.257           7.648
              11           53.62           8.171
              12          -40.09           6.563
              13          -16.59           7.181
              14           29.05           7.475
              15           69.54           8.355
              16          -48.24            6.13
              17          -55.13           6.862
              18           4.047           6.862
              19           46.94           6.836
              20          -80.72           6.197
              21          -28.01            7.06
              22           3.071           6.152
              23           47.86           6.834
              24          -50.14           6.013
              25          -15.95           7.702
              26           19.19           6.163
              27           57.47           7.377
              28          -33.41            5.81
              29          -8.587           7.001
              30           22.96           6.472
              31           86.85           7.902
              32          -39.04           6.414
              33          -40.39           6.978
              34          -9.239           7.435
              35           37.57           7.957
              36          -55.14            6.38
              37          -36.74            6.68
              38           7.121           7.555
              39           64.52           8.176
              40          -39.98           6.333
              41          -35.93            7.31
              42           19.71           8.128
              43            75.6            8.34
              44          -33.72           5.874
              45           11.58            7.58
              46           36.91           7.557
              47           77.07           8.711
              48          -64.97           6.105
              49          -39.55           6.762
              50             -10           6.567
              51           28.85           6.638
              52          -59.52           6.001
              53          -35.14           7.032
              54          -0.463           6.075
              55           58.53           6.801
              56          -50.85           5.707
              57          -6.675           7.108
              58           7.114           6.308
              59           83.98           7.501
              60          -31.89           6.509
              61           7.018            7.64
              62           28.73           6.276
              63           74.54           7.129
              64             -68           6.279
              65          -24.94           9.861
              66           11.99           7.675
              67           56.49           6.803
              68          -68.02             6.2
              69          -40.32           10.92
              70           5.887           7.309
              71           48.04           6.977
              72          -69.73            6.23
              73          -27.55            11.8
              74           9.168           6.984
              75           78.74           7.204
              76          -32.39           5.755
              77           7.219           6.575
              78            35.5           6.887
              79           82.32           7.258
              80          -41.39            6.33
              81          -31.37           6.068
              82           16.93           5.764
              83            34.7           7.675
              84          -52.86           6.297
              85          -48.01           5.678
              86          0.9051           5.556
              87           36.97           7.662
              88           -37.9           6.051
              89           -29.5            5.86
              90           17.03           5.659
              91           57.46           7.445
              92          -37.03           5.798
              93          -14.98           5.816
              94           37.46           5.924
              95              90           7.211
              96          -55.79           6.365
              97          -37.41           5.832
              98           14.42            7.48
              99           59.98           8.225
             100          -46.75           6.362
             101          -13.41           6.288
             102           15.94           7.284
             103           55.47            7.26
             104          -32.31           6.628
             105          -18.89           12.41
             106           11.82           7.198
             107           69.26            7.32
             108          -38.77           5.605
             109          0.9209           7.496
             110           31.91           6.731
             111           80.79            7.94
             112          -37.93           6.182
             113          -51.17           5.848
             114           1.174            5.73
             115           38.27           6.957
             116          -65.02           6.021
             117          -20.31           5.672
             118           16.97           5.538
             119           62.94           7.435
             120          -50.63            5.89
             121          -18.59           5.807
             122           29.03           5.902
             123           79.36           7.354
             124          -35.03           5.705
             125          -5.421           5.734
             126           30.73             6.4
             127             125           9.426
APV               20              11               7               1
               0           144.9           38.34
               1          -27.24           34.23
               2          -19.12           31.76
               3          -24.31           31.08
               4            -199           11.01
               5          -81.35           10.73
               6           -18.7           8.448
               7           34.08           10.29
               8          -51.24            7.25
               9          -4.583           14.83
              10           25.34           7.673
              11           71.83           9.107
              12          -67.08           7.391
              13          -13.54           7.571
              14           41.33           7.364
              15           67.89           12.41
              16          -62.16           7.284
              17          -49.43           6.762
              18          -34.65           6.477
              19           41.98           7.076
              20           -75.1           7.322
              21          -18.92           6.749
              22          -6.164             6.3
              23           54.99           7.049
              24           -59.1           6.905
              25          -23.36           6.755
              26           8.387           6.217
              27           72.61           10.44
              28          -42.08           6.539
              29          -28.27           6.562
              30           15.02           6.488
              31           79.66           11.13
              32          -72.36           7.192
              33          -39.08           7.059
              34           3.062           6.654
              35           36.94           7.815
              36          -66.35           7.296
              37          -30.28           6.583
              38           17.55           7.037
              39           58.76           12.33
              40          -64.07           7.302
              41          -10.55           7.083
              42           22.82           7.572
              43           80.13            13.9
              44          -31.34           7.096
              45          -9.982           9.192
              46           9.457           7.296
              47           74.61           8.579
              48           -59.1           7.181
              49          -42.96           6.694
              50          -4.311            6.38
              51           47.86           6.704
              52          -71.27           6.906
              53          -24.43           6.564
              54           18.86           6.082
              55            53.6           9.739
              56          -49.27           6.753
              57          -18.84           6.644
              58           26.19            6.54
              59           74.32           12.65
              60          -32.03           6.473
              61          -24.14           6.552
              62           17.94           9.565
              63           74.72           8.832
              64          -71.19            7.32
              65          -29.19           11.02
              66            5.99            6.52
              67           59.68           7.646
              68          -59.73            7.07
              69          -20.99           13.02
              70           6.441             6.9
              71           62.26           10.17
              72           -37.1           7.303
              73          -1.115           13.18
              74           7.958           8.333
              75           78.51           9.314
              76          -47.04           6.926
              77           -29.7           6.664
              78           28.73           6.806
              79           98.39           10.19
              80          -67.48           6.901
              81          -42.52           6.529
              82           3.286            6.05
              83           42.02           6.537
              84          -43.63           7.122
              85          -22.89           6.392
              86            12.7           5.986
              87           65.99           9.887
              88          -48.03           6.648
              89          -18.48           6.464
              90           25.05           5.831
              91           59.63           8.033
              92          -43.54           6.245
              93          -11.13           6.404
              94           16.84           5.892
              95           101.1           8.623
              96          -58.31           7.514
              97          -28.01           6.623
              98           9.308           6.938
              99           50.18           16.98
             100           -47.2           7.347
             101          -41.24            6.67
             102           17.57           6.855
             103           65.42           9.965
             104          -43.99           7.425
             105          -21.75            13.2
             106           41.78           6.878
             107           76.58            9.25
             108          -60.56           6.474
             109          -12.61           7.501
             110           20.66           7.343
             111           83.48           8.666
             112          -48.34           7.143
             113          -17.37           6.494
             114          -8.711           5.971
             115           46.64           6.507
             116          -57.01            6.79
             117          -19.33           6.226
             118           11.43           5.832
             119           67.17           9.993
             120           -55.2           6.702
             121           -20.4           6.288
             122           24.77           9.676
             123           78.49           11.39
             124           -47.9           6.076
             125          -27.02           6.113
             126           58.01           6.555
             127           154.4           8.718
APV               20              11               7               2
               0           140.5           35.35
               1            4.35           30.78
               2          -1.063           27.99
               3          -18.33           26.94
               4          -149.3           10.32
               5          -51.62           9.137
               6          -16.65            7.99
               7          -15.45           7.289
               8          -23.23           7.151
               9             -26           8.108
              10            14.2           6.783
              11           8.921           7.495
              12          -37.68           7.501
              13          -29.43           6.794
              14           39.77           6.698
              15           15.95           7.926
              16          -25.06           7.194
              17          -22.02           6.697
              18          -16.93           6.843
              19            28.9           6.711
              20          -32.61           7.143
              21          -25.57           6.381
              22          -1.695           7.695
              23           14.64           6.612
              24          -9.051           6.657
              25          -15.34           6.498
              26           22.19           6.194
              27            33.2           7.278
              28          -20.56           6.406
              29          -18.77           6.276
              30           10.93           6.355
              31           25.39           7.757
              32          -53.18           7.309
              33          -18.04           6.673
              34            6.89            6.52
              35         -0.6743           6.564
              36          -34.48           7.433
              37          -30.18           6.002
              38           10.04           6.719
              39           21.65           7.443
              40          -4.213           7.403
              41          -12.68            6.36
              42           29.04           7.146
              43           15.92           7.875
              44          -9.309           6.769
              45          -3.688           8.569
              46           17.91           6.694
              47           34.52           8.794
              48          -31.28            6.79
              49          -9.614           6.376
              50           1.554           6.205
              51          0.7021            6.35
              52          -25.05           6.813
              53          -24.01           6.191
              54           2.708           7.276
              55           7.478           6.569
              56          -23.07           6.606
              57          -10.13           6.139
              58           32.99           6.285
              59           31.34           7.248
              60          -1.967           6.097
              61          -29.07            5.98
              62           16.33           6.167
              63           41.46           8.464
              64          -10.95           7.151
              65          -18.63           9.842
              66           26.81           6.554
              67           17.38           6.279
              68          -17.73           7.336
              69          -16.46           8.462
              70              26            6.45
              71          -9.065           6.752
              72          -30.05           7.267
              73          -19.18           7.387
              74           12.94             6.2
              75            21.8           7.385
              76          -20.92           6.447
              77          -39.13           6.442
              78           2.814           5.952
              79           34.22           8.323
              80          -38.68           6.913
              81          -18.82           6.294
              82          -3.051            8.51
              83           36.77            6.19
              84          -26.02           7.101
              85          -4.524           6.344
              86           32.81           5.688
              87           29.86           6.391
              88          -22.94            6.47
              89             -25            6.17
              90           12.48           5.614
              91           27.74           7.256
              92          -30.74           6.189
              93             -11            6.15
              94           24.98           5.708
              95           32.87           8.262
              96          -24.99           7.139
              97          -4.242           6.065
              98           2.389           6.629
              99           39.28           7.055
             100          -39.08            7.31
             101          -14.68            6.09
             102            16.5           6.219
             103           21.92           6.962
             104          -31.16           7.256
             105          -8.718           10.34
             106           22.96           6.133
             107           16.27           7.671
             108          -10.08            6.17
             109           4.432           7.432
             110           40.04            6.03
             111           69.21           9.079
             112          -23.71           6.692
             113           -12.9           6.174
             114           18.08           5.832
             115           17.91           6.011
             116          -33.86           6.758
             117          -7.275           6.086
             118           22.15           5.552
             119           26.13            6.32
             120          -8.074           6.628
             121          0.2641            5.94
             122           41.95           5.752
             123           37.89           7.533
             124          -9.983           6.004
             125          -3.221           5.965
             126           28.85           6.077
             127           66.95           9.322
APV               20              11               7               3
               0           125.9           35.75
               1          -42.62           31.76
               2          -4.133           29.48
               3         -0.1994           28.51
               4          -211.1           10.82
               5          -83.41           10.37
               6           5.175           8.276
               7           37.65             8.6
               8          -67.91           7.651
               9           -50.2           14.19
              10           19.52           7.258
              11              53           8.397
              12           -47.1           8.126
              13          -27.61           7.753
              14           56.21           7.505
              15           73.94           8.826
              16           -18.5           7.903
              17          -35.12           7.224
              18          -3.108           7.205
              19           50.29           7.983
              20           -90.3           7.866
              21          -33.56           7.052
              22           14.89           6.488
              23           67.59           7.142
              24          -62.77           7.268
              25          -35.01           7.128
              26           32.96            6.51
              27           59.68           7.551
              28          -51.18           7.088
              29          -41.55           6.841
              30           45.21           6.528
              31           66.42           8.352
              32          -68.86           7.726
              33          -48.04           6.996
              34           7.616           6.738
              35           53.92           8.227
              36          -61.14           7.814
              37          -52.92           6.673
              38           25.71            6.75
              39            66.7           8.594
              40          -50.71           7.956
              41          -45.18           7.048
              42           33.15           7.552
              43           58.85           8.993
              44          -52.57           7.328
              45          -27.34           9.693
              46           39.97           7.438
              47           82.28           9.765
              48          -49.58           7.462
              49          -49.14           6.923
              50          -14.11           7.053
              51           33.04           7.829
              52           -79.9           7.628
              53           -45.1           6.989
              54           27.92           6.485
              55           59.57           6.951
              56          -64.81           7.167
              57          -39.02           6.836
              58           30.89           6.698
              59           66.87           7.807
              60          -30.21           6.867
              61          -22.11           6.697
              62           43.87           6.477
              63           49.14            9.18
              64          -59.96           7.646
              65          -29.29           11.03
              66           5.481           6.734
              67           66.26           8.159
              68          -66.93           7.695
              69          -33.12           10.79
              70           10.15           6.956
              71           53.88           8.191
              72          -43.05           7.826
              73          -40.02           12.75
              74           38.78           6.987
              75           49.61           8.499
              76          -34.01           7.133
              77         -0.5392           7.416
              78           46.93           7.232
              79           77.96           9.768
              80          -56.78           7.498
              81          -26.03           7.046
              82            11.7           6.593
              83           61.94           8.589
              84             -49           7.761
              85          -31.08           6.919
              86           12.45           6.217
              87           62.02           7.017
              88          -66.31           7.081
              89          -34.54           6.874
              90            37.2           6.181
              91           55.77           7.833
              92          -38.75           6.858
              93          -13.11           6.955
              94           72.51           6.338
              95           87.63           9.385
              96          -39.54           7.714
              97          -32.02           6.745
              98           2.257           7.415
              99           56.29           8.487
             100          -56.29            7.74
             101          -34.66            6.88
             102           37.85           7.175
             103           43.37           8.244
             104          -44.29           7.947
             105          -23.43           13.05
             106            34.8           7.184
             107            55.1           8.849
             108          -56.25           6.779
             109          -25.12           8.148
             110           68.59           7.984
             111           82.79            10.5
             112          -64.68           7.248
             113           -24.4           6.888
             114           16.04           6.411
             115           53.47           11.46
             116          -65.07           7.533
             117          -33.71           6.718
             118            34.4           6.027
             119           64.97            6.99
             120          -62.03           7.153
             121          -29.18           6.726
             122           48.01           6.088
             123           71.94           8.193
             124          -47.26           6.636
             125          -13.68           6.701
             126           67.34           6.794
             127           96.88           10.43
APV               20              11               7               4
               0           175.5           40.73
               1          -4.329           35.61
               2          -11.13           33.24
               3          -48.26           32.79
               4          -187.6           10.93
               5          -51.23           9.584
               6          -5.401           8.425
               7           1.736           7.215
               8           -39.2           6.657
               9          -11.03           7.842
              10          -12.03           6.579
              11           43.35           7.255
              12          -47.97           7.133
              13          -12.31           6.499
              14           11.71           6.462
              15           46.22           7.454
              16          -17.64           6.912
              17          -29.67            6.13
              18            13.2           7.979
              19           11.71           6.305
              20          -49.73           6.905
              21          -15.13           6.168
              22           7.277           6.335
              23            12.3            6.04
              24          -50.38           6.434
              25          -8.312           6.222
              26           20.74           6.066
              27           34.37           6.634
              28           -49.1           6.084
              29          -15.22           6.174
              30           13.98           6.121
              31           49.54           7.155
              32          -35.16           6.945
              33          -9.864           6.574
              34            10.1           6.321
              35           24.64             6.8
              36          -55.09           6.912
              37          -8.453           6.113
              38           6.048           6.729
              39           24.07           7.104
              40           -46.8           6.786
              41          -13.24           6.294
              42           16.29           7.118
              43           42.67           7.625
              44          -38.13            6.69
              45          -5.401           8.047
              46           38.23           6.587
              47           58.42           8.172
              48          -43.54           6.617
              49          -20.31           6.007
              50          -12.23           7.041
              51           21.27            6.02
              52          -40.02           6.541
              53          -6.376           6.074
              54           18.41           6.104
              55           20.67           5.951
              56          -43.16            6.21
              57           2.858           6.087
              58           16.06           5.983
              59           57.11           6.721
              60          -23.64           5.943
              61           2.549            6.35
              62           18.17           5.835
              63           69.86           7.732
              64          -42.72           6.578
              65          -12.35            9.65
              66           14.48           7.109
              67            24.1           6.684
              68          -58.99           6.709
              69          -4.934           8.391
              70           2.023           6.718
              71           30.38           6.782
              72          -37.12           6.682
              73          -11.67           7.182
              74           27.69           6.512
              75           52.94           7.244
              76          -29.36           6.293
              77          0.4772           6.079
              78           17.84            6.12
              79           66.97            8.11
              80          -30.91           6.676
              81           -27.4           6.161
              82           9.929           6.597
              83              36           5.965
              84          -42.51           6.711
              85          -6.071           6.184
              86           18.68           5.865
              87           17.63           6.152
              88          -37.42           6.171
              89          -15.15           6.137
              90           8.043           5.853
              91           45.25           6.818
              92          -6.933           6.086
              93          -15.81           6.714
              94           13.78           5.672
              95           75.17           7.915
              96          -58.73           6.699
              97          -32.62           5.933
              98           4.821           7.166
              99           23.59           7.375
             100          -45.06            6.75
             101          -11.12           5.961
             102           2.894           6.568
             103           33.62           7.015
             104          -42.27           6.921
             105          -8.942           9.915
             106           13.33           6.719
             107           42.93           7.628
             108          -21.48           6.278
             109           7.536           6.938
             110           26.71           6.565
             111           72.05           8.719
             112          -22.22           6.562
             113          -11.43           6.057
             114           16.83           6.311
             115            26.9            5.83
             116           -50.8           9.212
             117          -12.53            5.78
             118          -5.389            5.58
             119            44.9           6.142
             120          -34.75            6.03
             121          -32.81           5.895
             122           28.91           5.698
             123           46.89            7.04
             124          -25.02           5.771
             125          -13.97           6.792
             126           17.48           5.932
             127           106.1            8.71
APV               20              11               7               5
               0             194           43.52
               1          -68.67           37.61
               2          -25.42           34.94
               3          -23.06           34.99
               4          -202.5           12.31
               5          -131.7           9.746
               6          0.9154           9.061
               7           12.56           7.483
               8          -70.15           8.117
               9          -30.08           8.897
              10           35.91           7.014
              11           22.89           7.331
              12          -85.27           7.112
              13          -16.02           6.348
              14           45.94           6.664
              15           71.84           7.792
              16          -20.23           7.159
              17          -73.52           7.587
              18           20.42           8.506
              19           33.72           6.454
              20          -83.52           7.268
              21          -53.23            6.48
              22           42.97           6.329
              23            34.9            6.12
              24          -51.07           7.731
              25          -36.15           6.306
              26           49.89           5.981
              27            32.5            6.62
              28          -50.24           7.266
              29          -17.55           6.216
              30           51.18           6.085
              31           68.99           7.392
              32          -53.05           8.359
              33          -91.69           7.569
              34           25.01           6.336
              35              45           7.072
              36          -53.61           8.354
              37          -46.96           6.424
              38           54.72           6.859
              39            44.9           7.443
              40           -57.3           8.374
              41          -23.18           6.273
              42           40.22           7.277
              43           48.68           7.785
              44             -72           7.942
              45          -6.978           7.908
              46           53.13           6.787
              47           63.21           8.432
              48          -39.01           7.935
              49          -73.56           7.669
              50           13.04           7.572
              51           36.62           6.065
              52          -59.96           7.993
              53          -51.65           6.642
              54           39.37           6.195
              55           38.55           5.966
              56          -47.89           7.574
              57          -26.08           6.125
              58           35.23           6.235
              59           61.26           6.831
              60           -36.9           6.728
              61          -14.76           6.474
              62           52.84           6.048
              63           90.41           8.252
              64          -50.18           8.191
              65           -76.1           8.363
              66           28.89           7.478
              67           38.58               7
              68          -79.01           7.758
              69          -72.47           8.593
              70           45.48           7.068
              71           29.98           6.917
              72          -51.42           8.242
              73          -13.43           8.214
              74           63.99           6.563
              75            57.8           7.477
              76           -54.9            7.85
              77         -0.5967            6.14
