#Tue May 14 13:54:04 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           127.4           37.11
               1           -33.5           33.01
               2          -26.08           31.08
               3          -4.425           30.31
               4          -198.8            9.91
               5          -87.32           8.539
               6          -20.71            9.08
               7           35.35           8.356
               8          -67.89           5.973
               9          -13.85           10.99
              10        -0.06981           7.633
              11           57.51           8.053
              12          -42.57           6.513
              13          -18.15           6.279
              14           30.47           7.481
              15           65.55           6.176
              16           -46.9           6.249
              17          -55.77           6.396
              18           5.475           6.617
              19           49.52           6.741
              20          -79.78           6.148
              21          -28.81           6.307
              22           4.198           6.009
              23           51.04           6.776
              24          -50.41           5.496
              25          -16.97           7.002
              26           20.06           6.163
              27           60.75           7.336
              28          -36.28           5.889
              29          -10.63           6.421
              30           23.99           6.318
              31           87.94           7.998
              32          -37.68           6.356
              33          -41.04           6.317
              34          -7.819            7.28
              35           40.84           7.869
              36          -54.48           6.333
              37          -37.91           6.034
              38           8.187           7.586
              39           68.47           8.065
              40          -39.95           5.824
              41          -37.32           6.588
              42           20.73           8.054
              43           78.18           8.322
              44          -36.28           6.066
              45           9.986           6.578
              46           38.35           7.408
              47           73.07           6.268
              48          -64.43           6.243
              49           -40.4           6.335
              50          -8.775           6.235
              51           32.11           6.548
              52          -59.66           6.035
              53          -36.52           6.201
              54          0.2781           5.925
              55           62.39           6.778
              56          -52.93           5.748
              57          -7.958           6.395
              58           7.484           6.138
              59           81.95           6.438
              60          -33.55           6.592
              61           5.645           7.192
              62           30.29           6.084
              63           74.15           6.529
              64          -65.84           6.205
              65          -25.91           8.519
              66           10.78            7.67
              67            58.7           7.576
              68          -66.74           6.231
              69          -42.42           9.392
              70           5.451           7.432
              71           50.11           6.184
              72          -69.22           6.296
              73          -29.77           9.783
              74           9.183           7.022
              75           79.41           6.406
              76          -33.69           5.723
              77           5.018           6.631
              78           36.24            6.93
              79           81.73            6.55
              80          -39.97           6.304
              81          -33.21           5.863
              82           16.04           5.692
              83           35.95           6.647
              84          -51.99           6.264
              85          -50.49           5.616
              86          0.3627           5.469
              87           38.61             6.9
              88          -38.18           5.991
              89          -31.73           5.691
              90           16.98           5.677
              91           58.02           6.672
              92          -38.33            5.75
              93          -16.85           5.721
              94           38.37           5.885
              95           90.45           6.464
              96          -54.42           6.323
              97          -39.24           5.685
              98           13.55           7.631
              99           61.83           8.048
             100          -46.05           6.306
             101          -15.48           6.143
             102           15.65           7.293
             103           56.95           6.461
             104          -33.02           6.497
             105          -21.23           10.74
             106           11.61           7.187
             107           69.48           6.706
             108          -39.68           5.619
             109          -1.184           7.653
             110           32.95           5.902
             111           80.56           6.853
             112           -36.5           6.184
             113          -53.11           5.734
             114          0.3291           5.584
             115           39.75           6.248
             116          -64.21           6.055
             117           -22.8           5.564
             118           16.46           5.551
             119            64.1           6.635
             120           -51.5           5.791
             121           -21.2           5.637
             122           29.23           5.801
             123           80.11           6.543
             124          -36.94           5.573
             125          -7.449           5.688
             126           32.15           6.122
             127           127.4           12.69
APV               20              11               7               1
               0             149           38.36
               1           -24.6           34.09
               2          -18.97           31.69
               3          -25.22           30.88
               4          -194.7           11.06
               5          -78.06           9.867
               6          -18.44           8.573
               7           32.25           9.552
               8          -48.08           7.224
               9         -0.3031           12.56
              10           23.32           6.744
              11           71.91           13.56
              12          -63.82           7.571
              13          -9.412           7.467
              14           40.04           7.451
              15           67.19            12.2
              16          -58.36           7.173
              17          -46.61           6.643
              18          -35.04           6.485
              19           39.92           7.084
              20          -72.11           7.137
              21          -16.37           6.722
              22          -6.875           6.402
              23           53.07           7.253
              24          -55.77           6.843
              25          -20.02           6.679
              26           6.606             6.4
              27           71.13           9.762
              28          -39.17           6.604
              29          -23.74           6.527
              30           12.27           6.556
              31           79.13           10.62
              32          -68.25           7.201
              33          -36.27           7.057
              34             2.3           6.911
              35            34.9           7.978
              36          -62.67           7.285
              37           -27.5           6.617
              38           16.46           7.053
              39           56.76           12.25
              40          -60.71           7.392
              41          -6.857           7.089
              42           21.35           7.637
              43           79.44           15.22
              44          -28.83           7.119
              45          -5.664            8.96
              46           7.825           7.448
              47           75.46           7.763
              48          -55.18           7.264
              49          -40.24           6.551
              50          -5.248           6.425
              51           45.93           6.936
              52          -67.61           6.742
              53          -21.05           6.441
              54           17.68           6.274
              55           52.38           8.799
              56          -46.26           6.663
              57           -14.6           6.533
              58           24.36             6.7
              59           74.51           13.91
              60          -29.55           6.443
              61          -19.85           6.383
              62           16.22           8.693
              63           75.85           8.015
              64          -68.42           7.352
              65          -28.52           9.516
              66           3.706           6.498
              67           57.48           7.644
              68          -58.27           7.054
              69          -20.85            10.9
              70           4.556           6.992
              71           56.79           8.301
              72          -36.32           7.177
              73         -0.3982           11.01
              74           4.905           7.207
              75           74.61           8.069
              76          -47.12           6.862
              77          -30.11           6.631
              78            24.7           6.873
              79           98.53           8.787
              80          -64.89            6.95
              81          -42.73           6.416
              82           1.034           6.021
              83           39.52           6.809
              84          -42.21           7.154
              85          -23.51           6.399
              86           9.852           6.001
              87           64.34           9.512
              88          -47.21           6.583
              89          -19.61           6.348
              90           20.74           5.995
              91           54.59           8.263
              92          -43.68           6.234
              93          -12.41            6.37
              94           12.82           6.014
              95             102           7.897
              96          -55.92           7.496
              97          -28.18           6.463
              98           7.079           7.006
              99           49.79           15.87
             100          -45.92           7.214
             101          -41.14           6.414
             102           14.67           6.961
             103           63.25           9.204
             104          -43.09           7.422
             105           -21.7            11.3
             106              38           6.977
             107            73.6           7.941
             108          -60.88           6.641
             109          -13.62           7.376
             110           16.75           7.228
             111           84.23           7.899
             112          -46.14           7.058
             113          -17.81            6.41
             114           -11.3           6.014
             115           44.96           6.787
             116          -55.76           6.727
             117          -20.23           6.099
             118           7.702           5.853
             119           68.64            7.34
             120          -55.03           6.551
             121          -21.42           6.179
             122           22.54           8.622
             123           75.94            10.2
             124          -48.59           6.119
             125          -28.74           6.135
             126           54.37           6.796
             127           155.1           7.977
APV               20              11               7               2
               0           142.9           35.24
               1           5.417           30.56
