#Wed Nov 17 17:38:46 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           125.3           37.19
               1          -32.88           32.81
               2          -26.14           30.94
               3          -7.516           30.41
               4            -200           9.835
               5          -85.59           7.193
               6          -21.13           8.888
               7           33.12           8.074
               8          -66.28           6.028
               9          -11.79           6.658
              10         -0.1406           7.357
              11           54.52           7.928
              12          -39.17           6.571
              13          -15.65           5.679
              14           30.35           7.255
              15           69.34           7.868
              16          -48.58           6.102
              17          -54.32           5.835
              18           5.434           6.459
              19           48.22           6.604
              20          -80.12           6.052
              21          -27.08           6.096
              22           4.056           5.846
              23           48.52            6.55
              24          -49.67           5.199
              25          -15.23             6.6
              26            20.6           5.909
              27           57.98           7.133
              28          -32.78           5.776
              29          -7.859           5.983
              30           23.58           6.151
              31           86.41           7.596
              32          -39.65           6.258
              33          -39.74           6.128
              34           -8.38            7.04
              35           38.43           7.662
              36          -55.24            6.19
              37          -35.87           5.784
              38           8.038           7.391
              39           65.57            7.97
              40          -39.11           5.574
              41          -35.02            6.33
              42           20.92            7.72
              43              76           8.084
              44          -32.47            5.93
              45           12.42           5.803
              46           37.95           7.263
              47           76.76            8.45
              48          -65.26           6.072
              49          -38.88           5.791
              50          -8.639           6.089
              51           30.13           6.474
              52          -59.04           6.106
              53          -34.27           5.939
              54          0.4712            5.75
              55           59.24            6.58
              56           -50.3            5.69
              57          -5.732           6.009
              58           7.824           5.963
              59           84.01           7.095
              60          -31.29           5.574
              61           7.748           6.562
              62           29.53           5.995
              63           74.32           6.049
              64          -68.14           6.204
              65          -25.48           6.024
              66           10.62           7.391
              67           56.56           5.796
              68          -68.42           6.241
              69          -40.84           6.096
              70           5.077           7.081
              71           48.37           6.067
              72          -70.23           6.221
              73          -28.06           6.409
              74           8.229            6.71
              75           78.66           6.174
              76          -33.16           5.672
              77            6.42           6.422
              78           34.37           6.712
              79           81.91           6.186
              80          -42.03           6.189
              81          -32.42           5.904
              82           15.99           5.529
              83           34.62           6.883
              84          -53.56           6.188
              85          -48.96           5.487
              86         -0.1296           5.374
              87           37.05           6.602
              88          -38.78           5.919
              89          -30.15           5.616
              90           15.82           5.407
              91           57.27           6.369
              92          -38.25           5.631
              93          -15.54           5.617
              94           36.15            5.64
              95           89.99           6.203
              96          -56.27           6.256
              97          -38.37           5.519
              98           13.23           7.382
              99           59.27           6.041
             100          -47.57           6.276
             101          -14.05            5.72
             102           14.95           6.921
             103           55.34           6.316
             104          -33.26           6.316
             105          -19.72           7.525
             106           10.78           6.896
             107           69.22            6.27
             108          -39.41           5.569
             109        -0.01747           7.317
             110           31.66           5.686
             111           80.39           6.699
             112          -38.78           6.141
             113          -52.17           5.613
             114         0.05454           5.434
             115           38.19           6.318
             116          -65.78           5.923
             117          -21.29            5.49
             118           15.93           5.306
             119           62.66           6.324
             120          -51.81           5.813
             121          -19.44           5.556
             122              28           5.624
             123            79.4           6.274
             124          -36.32           5.542
             125          -6.052           5.477
             126           29.19           6.056
             127           124.4           8.997
APV               20              11               7               1
               0           144.8           38.42
               1             -27           33.61
               2          -16.81           31.65
               3           -23.3           30.98
               4          -198.5              11
               5          -79.26           7.976
               6          -16.42           8.725
               7           33.96           9.987
               8          -51.61            7.23
               9          -2.719           7.458
              10           24.79           7.208
              11           73.09           14.64
              12          -66.15           7.656
              13          -12.26           6.419
              14           43.29           7.332
              15           67.86           12.42
              16          -62.12            7.11
              17          -47.84           6.491
              18          -32.66           6.596
              19           43.55           6.984
              20          -74.86           7.084
              21          -17.31           6.549
              22          -4.194           6.435
              23           56.01           7.039
              24          -58.63            6.84
              25          -21.85           6.513
              26           10.16           6.358
              27           72.59           9.972
              28          -41.46           6.463
              29          -27.02           6.308
              30           16.62           6.533
              31           79.71           10.67
              32          -72.28           7.056
              33          -37.55           6.772
              34           5.144           7.042
              35           38.35           7.756
              36          -66.41           7.188
              37          -28.93           6.355
              38           19.56           7.199
              39            58.4           12.28
              40          -63.82            7.28
              41          -9.022           6.611
              42           24.51           7.542
              43           79.59           15.39
              44          -30.48           7.019
              45          -8.653            7.97
              46           11.16           7.475
              47           73.89           7.905
              48          -59.04           7.147
              49          -41.42           6.512
              50          -2.316           6.476
              51           49.39           6.693
              52          -71.21           6.783
              53          -22.75           6.293
              54           20.94           6.355
              55           53.06           9.177
              56          -48.93           6.609
              57          -17.45           6.338
              58           28.22           6.663
              59           74.94           13.83
              60           -30.9           6.289
              61          -22.98           6.207
              62            18.1           9.088
              63           74.02           8.129
              64          -71.47           7.287
              65          -29.45           7.107
              66           4.933           6.482
              67           58.35           7.539
              68           -60.2           7.088
              69          -21.45           6.887
              70           5.196           6.757
              71           60.76           9.819
              72          -38.17           7.335
              73          -1.853           6.937
              74           7.005           7.749
              75           77.28           8.775
              76          -48.17           6.824
              77          -30.99           6.473
              78           27.39           6.621
              79           97.31           9.429
              80          -68.26            6.91
              81          -42.89           6.415
              82            1.92           5.975
              83           41.03           6.471
              84           -44.3           7.003
              85          -23.75           6.275
              86           11.19           5.838
              87           65.94           9.571
              88          -48.88           6.495
              89          -19.71           6.332
              90           23.69           5.776
              91           58.94           7.718
              92          -44.56           6.212
              93          -12.33           6.302
              94            15.5           5.838
              95           100.3           8.005
              96          -58.75           7.452
              97          -28.87            6.33
              98           8.151           6.923
              99           50.34           16.86
             100          -48.02           7.167
             101          -41.79           6.107
             102           16.11           6.814
             103           64.69           9.532
             104          -44.82           7.474
             105          -22.72           7.749
             106           40.41           6.886
             107           75.95           9.009
             108          -61.52           6.375
             109          -13.91           7.344
             110           19.29           7.096
             111           82.63           7.944
             112          -49.22           7.078
             113          -18.37           6.479
             114          -9.992           5.912
             115           45.66           6.489
             116          -57.92           6.614
             117          -20.45           5.981
             118           10.09           5.718
             119           65.75           9.723
             120          -56.39           6.492
             121          -21.27           6.082
             122           24.96           9.207
             123           78.41           10.81
             124          -48.71           5.941
             125          -28.33           5.978
             126           56.61           6.378
             127           153.5           8.081
APV               20              11               7               2
               0           140.1           35.38
               1           4.236           30.32
               2          0.1286           27.81
               3          -17.54           26.84
               4            -149           10.26
               5          -50.82           7.323
               6          -15.76           8.073
               7          -14.49           7.257
               8          -23.39           7.044
               9          -25.28           6.463
              10           15.23           6.687
              11           9.576           7.392
              12          -37.41           7.479
              13          -28.17           6.293
              14           40.69           6.685
              15           16.76           7.793
              16          -25.59           7.117
              17          -21.84           6.482
              18           -15.6           6.844
              19           29.81           6.534
              20          -32.99           7.088
              21           -25.2           6.335
              22         -0.3478           7.542
              23           15.62           6.547
              24          -9.365           6.642
              25          -14.75           6.329
              26           23.84           6.146
              27           33.01           8.123
              28          -20.47           6.375
              29          -17.41           6.281
              30           11.91           6.343
              31           25.75           7.747
              32           -53.4           7.286
              33          -17.59           6.572
              34            7.74           6.473
