#Thu Nov 18 12:16:04 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           125.7           37.12
               1          -33.65           33.23
               2          -27.34           30.92
               3          -7.542           30.38
               4          -199.9           9.832
               5          -86.04           9.362
               6          -21.57           8.954
               7           32.77           8.222
               8          -66.22           6.033
               9          -12.65           13.08
              10          -0.244           7.487
              11           53.93           8.084
              12          -39.53           6.505
              13          -15.91           6.385
              14           30.14           7.376
              15           69.36           8.034
              16          -48.14           6.135
              17          -54.43           6.109
              18           5.041            6.55
              19           47.85           6.735
              20          -80.41           6.198
              21          -27.01            6.31
              22           4.171           5.881
              23           48.26           6.656
              24          -49.73           5.407
              25          -15.26           6.885
              26           20.45           5.989
              27           57.71            7.24
              28          -32.98           5.778
              29          -7.804           6.289
              30           23.57           6.241
              31           86.57           7.763
              32          -39.01           6.289
              33          -39.72           6.167
              34          -8.859           7.125
              35           37.87           7.746
              36          -54.86           6.199
              37          -36.08           5.908
              38           7.831           7.384
              39           65.38           7.994
              40          -39.25            5.74
              41          -35.12             6.5
              42           20.67           7.911
              43           75.68           8.226
              44          -32.59           5.915
              45           11.87           6.918
              46           37.78           7.337
              47           77.04           8.655
              48          -65.05           6.084
              49          -38.76           6.047
              50          -8.824           6.141
              51            29.8           6.519
              52             -59           6.224
              53          -34.28           6.209
              54          0.3393           5.805
              55           58.96           6.719
              56          -50.38            5.69
              57          -5.895           6.261
              58           8.123           6.109
              59           84.24           7.259
              60          -31.42           5.807
              61           7.876           6.781
              62           29.33           6.076
              63           74.57           6.261
              64           -67.9           6.232
              65          -25.68            10.1
              66           10.55           7.489
              67           56.73           5.881
              68          -68.58           6.216
              69          -41.36           11.09
              70           4.922           7.242
              71           48.52           6.177
              72          -70.07           6.295
              73          -28.71           11.83
              74           8.093           6.811
              75           78.88           6.238
              76           -33.1           5.752
              77           6.522           6.572
              78              35           6.767
              79           82.14           6.332
              80          -41.85            6.26
              81          -32.05            5.96
              82           16.32           5.652
              83           34.93           7.059
              84          -53.52           6.248
              85          -48.84           5.609
              86          -0.267           5.422
              87           37.19           6.843
              88          -38.94           5.976
              89          -30.12            5.71
              90           15.93           5.448
              91           57.57           6.604
              92          -38.19           5.723
              93          -15.44           5.743
              94           36.56           5.674
              95           90.29           6.364
              96          -55.95           6.278
              97          -38.16           5.597
              98           13.45           7.457
              99            59.3           6.234
             100          -47.42           6.338
             101          -14.29           6.112
             102           14.85           7.047
             103           55.53           6.428
             104           -33.1           6.435
             105           -20.3           12.62
             106           10.86           7.044
             107           69.36           6.403
             108          -39.28           5.579
             109         -0.1472           7.341
             110           31.64           6.006
             111           80.98           6.988
             112          -38.43           6.187
             113           -51.7           5.696
             114          0.1575           5.487
             115            38.4           6.479
             116          -65.67           6.024
             117          -21.02           5.518
             118           16.26           5.406
             119           62.93           6.497
             120          -51.45           5.811
             121          -19.33           5.653
             122           28.29           5.646
             123            79.7           6.498
             124          -36.19            5.66
             125          -5.921           5.598
             126           29.54           6.216
             127             125           9.236
APV               20              11               7               1
               0           145.6           38.27
               1          -28.37           34.34
               2             -18           31.67
               3          -22.97           31.02
               4          -198.2              11
               5          -80.68           10.87
               6          -17.27           8.662
               7           34.31           9.915
               8          -51.16           7.253
               9          -3.743           14.88
              10           24.86            7.03
              11           72.73           14.47
              12          -66.16           7.634
              13           -12.9           7.595
              14           42.89           7.475
              15            67.8           12.48
              16          -61.75            7.19
              17          -48.05           6.565
              18          -33.04           6.584
              19           43.69           7.121
              20           -74.6           7.136
              21          -17.69           6.613
              22          -4.216           6.494
              23           56.12           7.132
              24          -58.86           6.846
              25          -22.59           6.503
              26           9.764           6.472
              27           72.46           10.01
              28          -41.54            6.49
              29          -27.31           6.332
              30            16.5           6.614
              31           79.98           10.88
              32          -72.03           7.104
              33             -38           7.031
              34           4.626           6.955
              35           38.25           7.949
              36          -66.02           7.155
              37          -29.77           6.548
              38           18.95           7.208
              39           58.54           12.31
              40          -63.64           7.381
              41          -9.612           7.021
              42           24.37           7.712
              43           80.69           15.37
              44          -30.86           7.028
              45          -9.033           9.302
              46           10.97           7.533
              47           74.25           7.942
              48          -58.85           7.126
              49          -41.98           6.594
              50          -2.801           6.555
              51           49.23           6.842
              52          -70.76           6.804
              53          -23.12           6.401
              54           20.43           6.345
              55           53.22           9.204
              56          -48.76           6.651
              57          -17.57           6.376
              58            27.9           6.748
              59           74.92           13.91
              60          -31.32           6.361
              61          -22.88            6.25
              62           18.19           9.065
              63            74.2           8.202
              64          -71.27           7.341
              65          -30.24           11.25
              66            4.87           6.422
