#Thu Aug 25 15:59:08 2022
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           130.5           36.77
               1          -34.89           33.19
               2          -25.53           30.86
               3           -4.89            30.4
               4          -198.5           9.871
               5          -89.35           9.666
               6          -19.71           9.321
               7           34.99           8.615
               8          -67.17           6.078
               9          -16.08           12.47
              10          0.1152           7.878
              11           56.96           8.498
              12          -41.21           6.752
              13          -19.58           7.387
              14           30.57           7.781
              15           70.53           8.777
              16          -46.23           6.083
              17          -57.23            6.99
              18             7.2           6.884
              19           50.12           7.104
              20          -79.18           6.153
              21          -30.76            7.29
              22           5.532           6.289
              23           50.88           7.092
              24          -51.77           6.407
              25          -18.84           7.995
              26           20.96           6.367
              27           60.85           7.599
              28           -35.1           6.247
              29          -11.02           7.313
              30           24.58           6.559
              31           87.83           8.318
              32           -37.5           6.366
              33          -42.67           7.087
              34          -7.224           7.584
              35           39.98           8.466
              36          -54.47           6.249
              37          -39.48           6.946
              38           8.639           7.851
              39           67.37           8.545
              40          -40.77           6.604
              41           -38.6           7.519
              42              21           8.287
              43           77.64           8.653
              44          -35.19           6.656
              45           8.223           7.715
              46           37.66           7.759
              47           71.99           7.252
              48          -64.07           6.339
              49          -41.99           7.259
              50          -7.095           6.439
              51           32.55           6.834
              52          -58.79           6.094
              53          -37.78           7.111
              54           1.425           6.167
              55           61.78           7.152
              56          -52.04           5.946
              57          -9.492           7.374
              58           8.158           6.559
              59            81.2           7.365
              60          -34.97             7.7
              61           4.611           8.192
              62           30.44           6.293
              63           73.08           7.598
              64          -65.75           6.232
              65          -26.63           9.264
              66           11.84           7.946
              67           58.79           8.068
              68          -66.79           6.394
              69          -42.52           10.22
              70           6.489           7.718
              71           48.63           7.054
              72          -69.53           6.369
              73          -29.82           10.77
              74           10.07           7.298
              75           78.17           7.365
              76          -33.55           5.837
              77           5.709            6.72
              78           37.51           7.089
              79           80.94           7.465
              80          -39.97           6.303
              81          -33.27           6.076
              82           17.91           5.933
              83            35.4           7.774
              84          -52.43             6.3
              85          -49.88           5.868
              86           2.139           5.741
              87           37.41           7.779
              88          -38.61           6.049
              89          -31.22           5.992
              90           18.57           6.024
              91           57.43           7.584
              92          -38.45           5.783
              93          -15.25           5.946
              94           39.73           6.112
              95            89.5           7.473
              96          -54.37           6.412
              97          -39.44           5.909
              98           14.41             7.8
              99           59.32            7.23
             100          -46.75           6.395
             101          -16.02           6.174
             102           16.59           7.362
             103           55.36           7.424
             104          -32.86           6.489
             105          -21.32           11.58
             106           12.71           7.549
             107           68.41            7.42
             108          -39.96           5.745
             109         -0.2573           7.674
             110           33.87           7.638
             111           79.31           7.284
             112          -37.25            6.21
             113          -53.15           5.901
             114            2.09           5.839
             115           38.49           7.904
             116          -64.54           6.063
             117          -22.45           5.714
             118           18.51           5.825
             119           63.05           7.596
             120          -51.23           5.917
             121          -19.78           5.925
