#Wed Dec  1 12:43:28 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0             124           36.82
               1          -26.48           32.38
               2          -24.18           30.85
               3          -6.365           30.14
               4          -197.9           9.787
               5          -86.13           7.228
               6          -22.13           8.619
               7           32.29           7.941
               8          -65.95            5.84
               9          -13.04           6.505
              10         -0.5016           7.057
              11           53.71           7.737
              12          -39.41           6.424
              13          -16.55           5.883
              14            29.7           7.186
              15           68.23           7.683
              16          -47.31           5.891
              17          -54.73           5.978
              18           5.125            6.41
              19           47.54           6.523
              20           -79.2           6.041
              21          -27.94           6.204
              22           3.598            5.72
              23           47.89           6.526
              24          -50.11           5.339
              25          -16.13           6.789
              26           19.91           5.823
              27           57.19           6.921
              28          -33.02           5.685
              29          -8.318           6.199
              30           23.77           5.987
              31           85.28           7.415
              32          -38.39           6.173
              33          -40.05           6.243
              34           -8.54           6.917
              35           37.91            7.47
              36          -54.16           6.114
              37          -36.57               6
              38           7.057           7.013
              39           64.75           7.625
              40           -39.3           5.722
              41          -35.63           6.498
              42           20.19           7.553
              43           74.78           7.885
              44          -32.57           5.938
              45           10.95            5.98
              46           37.69           7.091
              47           75.91           8.305
              48          -64.03           6.022
              49          -39.24           5.952
              50          -9.083           6.072
              51           29.91           6.335
              52           -58.6           5.816
              53          -35.11           6.025
              54        -0.08321           5.732
              55           58.24           6.398
              56          -50.66           5.601
              57          -6.798           6.169
              58           7.802           5.918
              59           83.32           6.976
              60          -31.83           5.688
              61           6.873           6.763
              62           29.63            5.88
              63           73.12           6.202
              64          -66.56           6.105
              65          -25.12           6.011
              66           11.28           7.168
              67           55.97           5.901
              68          -67.41           6.048
              69          -40.87           5.776
              70           5.152           6.901
              71           47.66           6.285
              72          -69.12           6.119
              73          -28.13           6.025
              74           8.088           6.564
              75           77.67           6.373
              76          -32.29           5.585
              77            6.47           6.251
              78           34.82           6.475
              79           80.93           6.379
              80             -41           6.057
              81          -31.48           5.689
              82           16.56           5.538
              83           34.37           5.953
              84          -52.86           6.099
              85          -48.05           5.527
              86          0.2046           5.278
              87           36.31           6.726
              88          -38.34           5.825
              89          -29.38           5.653
              90           16.05           5.322
              91           56.64           6.652
              92          -37.13           5.398
              93          -15.03            5.61
              94           36.83           5.581
              95           88.87           6.343
              96          -55.19           6.243
              97          -37.84           5.526
              98           13.55           7.192
              99           59.05           7.659
             100          -46.42           6.062
             101          -14.03           5.812
             102           14.89             6.9
             103           54.94           6.516
             104          -32.43           6.463
             105          -19.55           7.117
             106           10.82           6.823
             107           68.15           6.542
             108          -38.84           5.405
             109         0.08908           7.216
             110           31.27           5.808
             111           79.38           6.948
             112          -38.03           5.957
             113          -51.12           5.519
             114          0.4423           5.441
             115           37.79           6.198
             116          -64.97           5.754
             117          -20.63           5.334
             118           16.18           5.293
             119           61.95           6.556
             120          -50.83           5.667
             121          -18.63           5.592
             122           28.08           5.542
             123            78.3           6.451
             124          -35.46           5.389
             125          -5.516           5.531
             126           30.14           5.878
             127           122.9            8.84
APV               20              11               7               1
               0           143.3           38.03
               1          -20.27           33.34
               2          -14.74            31.4
               3          -22.27           30.78
               4          -196.7           10.84
               5          -79.29           7.938
               6          -16.95           8.576
               7              33           9.814
               8          -51.24           7.142
               9          -3.791           7.085
              10           24.82           6.958
              11           71.36           12.74
              12          -65.51           7.369
              13          -12.61           6.467
              14           42.53           7.334
              15           66.78           12.19
              16          -61.47           6.955
              17          -47.83             6.5
              18          -32.61           6.613
              19           42.66           7.054
              20          -74.07            7.04
              21          -17.32            6.58
              22          -4.592           6.433
              23           54.72            7.09
              24          -58.45           6.697
              25          -21.73           6.458
              26           9.395           6.335
              27            71.5           10.05
              28          -40.97           6.393
              29          -26.09           6.369
              30           16.34           6.469
              31           79.91           10.86
              32          -71.27           7.057
              33          -37.61           6.805
              34           4.297           7.018
              35            37.2           7.819
              36          -65.95           7.097
              37          -28.91           6.242
              38           18.72           7.166
              39           56.52           11.98
              40          -62.95           7.083
              41          -9.184           6.711
              42           24.04            7.64
              43           79.47           14.71
              44           -30.2            7.09
              45          -8.963           7.785
              46           10.95           7.467
              47           73.51           7.551
              48          -58.42           7.028
              49          -41.18            6.52
              50          -2.853           6.522
              51           47.88           6.734
              52          -70.68           6.603
              53          -22.84           6.322
              54           20.23           6.354
              55           52.31           9.518
              56           -48.4            6.61
              57          -16.95            6.28
              58           27.45           6.586
              59           73.58           13.28
              60          -30.91           6.296
              61          -22.33           6.215
              62           17.97           9.139
              63           73.68            7.78
              64          -70.35           7.266
              65          -29.89           6.888
              66           5.024           6.331
              67           57.85           7.568
              68          -59.87           6.858
              69          -22.09           6.551
              70           5.632           6.834
              71           59.57           9.693
              72          -37.83           7.285
              73          -2.512           6.626
              74           7.463           7.549
              75           76.74           8.477
              76          -47.57           6.788
              77          -30.36           6.358
              78           27.19           6.681
              79           96.96            9.24
              80          -67.14           6.857
              81          -42.97           6.266
              82           2.225           5.792
              83           40.13           6.425
              84          -44.13           7.032
              85          -23.65           6.235
              86           11.85           5.824
              87           64.93           9.828
              88          -48.48           6.517
              89          -19.42           6.315
              90           23.91           5.652
              91           58.68           7.813
              92          -43.96           6.062
              93          -12.09           6.107
              94           15.54            5.81
              95           99.72           7.639
              96          -58.05            7.36
              97          -28.86           6.311
              98           8.098           6.815
              99           49.91           16.36
             100          -47.97           7.036
             101          -41.86           6.043
             102           16.33           6.748
             103           63.76           9.358
             104          -44.08           7.385
             105          -22.78           7.247
             106           40.39           6.812
             107           75.63            9.19
             108          -60.43           6.261
             109          -13.43           7.299
             110           19.33           6.987
             111           82.29           7.576
             112          -48.81           6.929
             113          -17.96           6.308
             114          -9.113           5.838
             115           44.98           6.336
             116          -57.33           6.606
             117          -20.08           5.993
             118           10.65           5.641
             119           65.15           9.816
             120          -55.53           6.397
             121             -21           6.028
             122           24.35           9.206
             123           77.12           10.77
             124          -48.17           5.945
