#Tue Dec  7 22:59:55 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           127.2           36.98
               1          -33.92           32.88
               2          -28.81           30.89
               3           -8.21           30.16
               4          -199.7           9.809
               5          -86.86            7.12
               6          -22.13           8.752
               7           32.52           8.017
               8             -66           5.853
               9          -12.92           6.194
              10         -0.6051           7.217
              11           53.65           7.806
              12          -39.81           6.449
              13          -16.42            5.78
              14           30.18           7.147
              15           68.52           7.732
              16          -47.75           5.998
              17          -55.05           5.955
              18           3.846           6.452
              19           47.53           6.488
              20          -79.47           6.134
              21          -27.96           6.152
              22           3.499           5.797
              23           48.22           6.479
              24          -50.09           5.226
              25          -16.02           6.787
              26           20.13           5.932
              27           57.05           6.921
              28          -33.62           5.585
              29          -8.633           6.138
              30           23.67           6.044
              31           85.72           7.354
              32          -38.52            6.31
              33           -40.2           6.246
              34          -9.353           6.895
              35            38.2           7.503
              36          -54.28           6.159
              37          -36.65           5.966
              38           7.222           7.223
              39           65.07           7.823
              40          -39.67           5.656
              41          -35.73           6.414
              42            20.6            7.66
              43           75.12           7.928
              44          -33.66           5.836
              45           11.17           5.786
              46           37.88           7.093
              47           76.04           8.331
              48          -64.38           6.047
              49          -39.39           5.919
              50          -10.03           6.083
              51           29.58           6.368
              52          -58.76           5.909
              53          -35.27           5.991
              54         -0.2071           5.771
              55           58.26           6.462
              56          -50.72           5.535
              57          -6.776           6.147
              58           7.769           5.903
              59           83.13           6.953
              60          -32.05           5.614
              61           6.844           6.733
              62           29.68           5.855
              63           73.41           6.144
              64          -66.93           6.175
              65          -24.52           5.831
              66           11.61           7.281
              67           56.75           5.817
              68          -67.17           6.166
              69          -40.13           5.581
              70           5.648           6.917
              71           47.92           6.229
              72          -69.09            6.11
              73          -27.45            5.85
              74           8.522           6.617
              75           77.91           6.324
              76          -32.46           5.665
              77           7.143           6.323
              78           35.48           6.574
              79            81.1            6.37
              80             -41           6.156
              81           -31.5           5.764
              82           16.64           5.461
              83           34.72           5.904
              84          -52.76           6.101
              85          -47.77           5.479
              86          0.1335           5.348
              87           36.66           6.731
              88          -38.13           5.916
              89          -29.33           5.637
              90           16.34           5.342
              91           56.54            6.55
              92           -37.2           5.511
              93          -14.85           5.598
              94           37.14           5.647
              95           88.94           6.334
              96          -55.18           6.249
              97          -37.31           5.535
              98           14.09           7.322
              99           59.69           7.727
             100          -46.13           6.138
             101          -13.22           5.817
             102           15.87           6.966
             103            55.1           6.371
             104          -32.24           6.409
             105          -19.17           7.047
             106            11.2           6.768
             107           68.33           6.519
             108          -38.56           5.456
             109           0.517           7.132
             110           31.63           5.804
             111            79.6            6.85
             112          -37.62           5.997
             113           -50.9            5.53
             114          0.6288           5.402
             115           38.02           6.262
             116           -64.7           5.863
             117          -20.33           5.398
             118           16.35           5.283
             119           62.11            6.51
             120          -50.55           5.648
             121          -18.58           5.539
             122           28.34           5.517
             123           78.55           6.466
             124          -35.44           5.485
             125          -5.544           5.565
             126           30.64           5.899
             127           123.7           8.901
APV               20              11               7               1
               0           146.6           38.17
               1          -28.14           33.64
               2          -18.87           31.48
               3          -24.63           30.85
               4          -198.2           10.87
               5           -80.9           7.755
               6          -17.58           8.287
               7           33.16           9.832
               8          -50.64           7.106
               9          -4.196           6.729
              10           24.87           6.961
              11           70.94           11.45
              12          -65.73           7.404
              13          -13.25           6.305
              14           42.78           7.183
              15           67.26           12.19
              16          -61.43           7.028
              17          -48.27           6.477
              18          -33.02           6.225
              19           42.78           6.771
              20          -73.93           7.047
              21          -18.17           6.545
              22          -4.855           6.122
              23           55.26           6.923
              24          -58.31           6.729
              25          -22.77           6.473
              26            9.28           6.068
              27           71.79           9.706
              28          -41.26           6.343
              29          -27.49           6.333
              30           16.47           6.274
              31           79.12           10.73
              32          -71.55           7.073
              33          -38.29           6.756
              34           4.424           6.625
              35           37.61           7.595
              36          -65.47           7.085
              37          -29.95           6.173
              38           18.63           6.902
              39           56.94           12.07
              40          -63.15           7.053
              41          -10.25           6.502
              42              24           7.381
              43            79.8           14.34
              44          -30.25           7.084
              45          -9.575           7.716
              46           11.21           7.267
              47           73.22           7.647
              48           -58.6            7.07
              49          -42.12           6.425
              50          -2.993           6.194
              51            48.4           6.449
              52          -70.34           6.708
              53          -23.83           6.314
              54           19.76           6.007
              55           52.54            9.36
              56          -48.17           6.552
              57          -18.02           6.265
              58           27.54            6.32
              59           73.85           12.98
              60             -31           6.198
              61          -23.12           6.214
              62           18.22           8.993
              63           73.36           7.876
              64          -70.47            7.18
              65          -29.71           6.649
              66           5.431            6.32
              67            58.9           7.441
              68          -59.55           6.836
              69          -21.39           6.338
              70           5.975           6.712
              71           60.45            9.64
              72          -37.39           7.287
              73          -1.662           6.437
              74           7.349           7.519
              75           76.76           8.443
              76           -47.2           6.716
              77          -30.23           6.459
              78           28.23           6.584
              79           96.68           8.933
              80          -67.16           6.861
              81          -42.59           6.295
              82           2.543           5.822
              83           40.97           6.325
              84          -43.77           7.034
              85          -23.23           6.259
              86           12.17           5.708
              87           65.53            9.49
              88          -47.98           6.401
              89          -18.92           6.238
              90           24.33           5.654
              91            58.6           7.719
              92          -43.56           6.044
              93          -11.69           6.143
              94           16.52           5.685
              95            99.6           7.724
              96           -58.1           7.308
              97          -28.58           6.242
              98           8.562           6.795
              99           50.52           16.18
             100          -47.18           7.063
             101          -41.77           6.047
             102           16.86            6.71
             103           64.01           9.344
             104          -43.74           7.291
             105          -22.35           7.163
             106           41.32           6.718
             107           75.48           9.043
             108          -60.48           6.329
             109          -13.26           7.314
             110           20.04           6.915
             111           82.11           7.693
             112          -48.32           6.929
             113          -17.79           6.333
             114          -9.109           5.718
             115           45.52           6.319
             116           -56.9           6.638
             117          -19.51           6.017
             118           11.04           5.639
             119           65.88           9.592
             120          -55.21           6.453
             121          -20.88           6.022
             122           25.11           9.019
             123           77.33            10.7
             124          -47.73            5.98
             125          -27.52           5.894
             126           57.19           6.346
             127           152.3           7.764
APV               20              11               7               2
               0           141.2           35.14
               1           2.971            30.2
               2          -1.299           27.73
               3          -18.46           26.63
               4          -149.5            10.2
               5          -51.77           7.259
               6          -15.81           7.835
               7          -14.42           7.152
               8          -23.91           6.925
               9          -25.65           6.296
