#Thu Dec 16 11:15:34 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           128.5           36.68
               1          -34.61           32.44
               2          -27.77           30.61
               3          -7.363            30.1
               4          -198.5           9.772
               5           -86.8           7.142
               6          -21.82           8.581
               7           32.69           7.907
               8          -66.12           5.781
               9          -13.42           5.958
              10         -0.1418           7.201
              11           53.95           7.682
              12          -39.97           6.392
              13          -16.91            5.78
              14           29.95           7.006
              15           68.84           7.783
              16          -46.76           5.893
              17          -55.03           6.028
              18           4.543           6.408
              19           47.57           6.464
              20          -78.69           5.971
              21           -28.5           6.159
              22           3.409           5.762
              23            48.1           6.488
              24          -50.04           5.398
              25          -16.52           6.748
              26           19.86           5.842
              27           57.31           6.913
              28          -33.71           5.553
              29          -8.934           6.155
              30           23.88               6
              31           85.81           7.369
              32          -37.44           6.178
              33          -40.41           6.249
              34          -8.677           6.857
              35            38.4           7.511
              36           -53.9           6.056
              37          -36.97           5.962
              38           7.441           7.115
              39            64.7           7.701
              40          -39.42           5.672
              41          -36.03           6.446
              42           20.51           7.569
              43           74.98           7.829
              44          -33.63           5.816
              45           10.61           5.941
              46           37.83           7.011
              47           76.22           8.234
              48          -63.35           5.967
              49          -39.74           5.896
              50          -9.501           6.012
              51           29.87           6.382
              52          -58.74           5.897
              53          -35.63           6.054
              54          -0.198           5.671
              55           58.56             6.4
              56          -50.97           5.467
              57          -7.301           6.192
              58           7.872           5.851
              59           83.42            6.94
              60          -32.01            5.69
              61            6.28           6.699
              62           29.77           5.868
              63           73.83           6.288
              64          -65.45           6.089
              65          -25.44           5.644
              66           11.25           7.178
              67           56.08           5.835
              68          -66.13           6.118
              69          -41.16           5.507
              70           5.765           6.937
              71           47.87           6.207
              72          -68.16           6.134
              73          -28.51           5.763
              74           8.817           6.579
              75           77.92           6.348
              76          -32.24           5.617
              77           6.165           6.184
              78           34.94           6.524
              79           81.45           6.419
              80          -39.93           6.064
              81          -32.11           5.698
              82           16.37           5.467
              83           34.22           5.918
              84          -52.01           6.179
              85          -48.77           5.533
              86          0.4517           5.302
              87           36.75           6.748
              88          -38.06           5.824
              89          -29.82           5.542
              90           16.22           5.322
              91           56.97           6.608
              92          -37.32           5.634
              93          -15.12           5.618
              94           36.69           5.597
              95            89.3           6.435
              96          -53.93           6.173
              97           -38.2           5.588
              98           13.83           7.213
              99           59.13           7.658
             100          -45.54           6.055
             101          -14.44           5.702
             102           15.45            6.85
             103           55.02           6.408
             104             -32           6.462
             105          -19.84           6.801
             106           11.17            6.71
             107           68.59           6.583
             108          -38.73           5.416
             109        -0.08628           7.225
             110           31.32           5.838
             111           79.89           7.002
             112          -36.53           5.968
             113          -51.52           5.567
             114          0.6972           5.407
             115           37.86           6.235
             116          -63.99           5.769
             117          -21.48            5.36
             118           16.05            5.25
             119           62.07           6.529
             120           -50.4           5.686
             121          -19.23           5.548
             122           28.19           5.506
             123            78.9           6.549
             124          -35.76           5.396
             125          -6.102           5.424
             126           29.92           5.906
             127           123.4           8.756
APV               20              11               7               1
               0           147.1           37.84
               1          -29.11            33.2
               2          -19.02            31.1
               3          -23.73           30.56
               4          -197.1           10.84
               5          -80.57           7.551
               6          -17.46           8.237
               7           32.82           9.737
               8          -51.05           6.936
               9           -3.68            6.43
              10           24.59           6.765
              11           70.97           11.43
              12          -65.34           7.171
              13          -12.04           6.255
              14           42.34           7.003
              15           67.61           11.95
              16          -60.41           6.921
              17          -48.37           6.468
              18          -32.37           6.171
              19           42.62           6.648
              20          -73.76           6.914
              21          -18.13           6.527
              22          -4.909           5.935
