#Fri Jan  7 12:54:20 2022
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           124.1            36.9
               1          -35.25           33.07
               2           -28.1           30.69
               3          -5.086           30.28
               4          -201.1           9.797
               5          -88.03           8.933
               6           -21.5           8.749
               7           35.65           7.994
               8          -68.06           6.004
               9          -14.29           11.37
              10         -0.1326           7.101
              11           55.94           7.648
              12           -41.9           6.498
              13          -17.56           6.676
              14           30.71           7.158
              15           70.65           7.987
              16          -49.74           5.939
              17          -56.07           6.319
              18            4.08           6.559
              19           49.66           6.656
              20          -82.01           6.019
              21          -29.06           6.625
              22           3.176           5.776
              23            50.9           6.463
              24          -51.18           5.856
              25             -17           7.281
              26           19.94           5.841
              27           59.28           6.927
              28          -35.59           5.817
              29          -9.708            6.68
              30           24.47           6.003
              31           87.84           7.454
              32          -40.56           6.265
              33          -41.52           6.535
              34          -9.047           6.786
              35           40.75           7.785
              36          -56.37           6.153
              37          -37.71           6.271
              38           7.665           7.109
              39           67.86           7.705
              40             -41           5.998
              41          -36.77           6.741
              42           20.53           7.613
              43            77.4           7.979
              44          -35.56            6.12
              45           10.07           6.917
              46           38.79           7.041
              47           78.08           8.353
              48          -66.53           5.965
              49          -40.33           6.354
              50          -10.01           6.171
              51           32.09           6.336
              52          -60.85           5.936
              53          -35.99           6.579
              54         -0.2818           5.729
              55           61.46           6.369
              56             -53           5.644
              57          -7.779           6.697
              58           7.832            5.99
              59           85.53           7.054
              60          -32.98           6.025
              61            6.09            7.18
              62           30.87           5.976
              63           75.27           6.714
              64          -68.98           6.213
              65          -26.67            8.78
              66           11.08            7.21
              67            59.1           7.279
              68          -68.28           6.128
              69          -42.01           9.445
              70           5.911            7.04
              71           52.19            7.44
              72          -70.01           6.173
              73          -29.36           10.05
              74           9.121           6.656
              75            79.9           6.755
              76          -33.59           5.837
              77            5.99           6.234
              78           36.92           6.399
              79           83.04           6.845
              80          -42.64           6.172
              81          -33.02           5.761
              82           15.97           5.727
              83           37.68           6.014
              84          -53.95           6.165
              85           -49.3           5.631
              86          0.1966           5.404
              87            39.2           6.781
              88          -39.04            5.97
              89          -30.76           5.672
              90           16.84           5.464
              91           58.57           7.129
              92          -38.23            5.58
              93          -16.01           5.773
              94           38.81           5.614
              95           90.91           6.857
              96          -56.93           6.168
              97          -39.08           5.698
              98           13.85           7.329
              99           63.13           7.753
             100          -47.08           6.291
             101           -14.4           5.931
             102           15.99            6.91
             103           57.66           6.845
             104          -33.61           6.564
             105          -20.85           10.67
             106           11.85           6.752
             107           70.16           7.014
             108          -39.85           5.517
             109         -0.9594           7.164
             110           33.09           6.889
             111           81.38           6.736
             112          -38.97           6.029
             113          -52.48            5.66
             114         0.02814           5.481
             115           40.71           6.993
             116          -65.78           5.928
             117          -21.82           5.457
             118            16.8             5.4
             119           64.62           7.111
             120          -51.51           5.721
             121          -20.08           5.584
             122           29.39           5.577
             123           80.44           7.002
             124          -36.33           5.499
             125          -6.892           5.649
             126           32.99           5.882
             127             126           9.009
APV               20              11               7               1
               0             145            38.2
               1          -28.56           33.96
               2          -17.34           31.48
               3          -23.51           30.93
               4          -196.9           10.92
               5          -80.88           9.945
               6          -16.43           8.646
               7           33.43           9.464
               8          -50.21           7.316
               9          -4.378            12.5
              10           25.45           6.269
              11           70.66            12.8
              12          -65.67           7.518
              13          -12.39           7.288
              14           42.22           7.425
              15           63.98           12.11
              16          -62.01           6.975
              17          -49.83           6.594
              18          -32.57            6.66
              19           42.14           7.067
              20          -74.07           7.064
              21          -18.89           6.665
              22           -4.36           6.478
              23           54.94           7.176
              24          -58.29           6.854
              25          -23.07           6.487
              26           8.838           6.501
              27           70.57           9.988
              28          -41.85           6.552
              29          -27.05           6.485
              30            15.1           6.557
              31           77.12           10.97
              32          -71.23           7.204
              33          -38.94           7.108
              34           4.977           7.032
              35           37.55           7.937
              36          -64.78           7.144
              37          -30.04            6.66
              38           18.97           7.219
              39           57.92           12.11
              40           -62.6           7.397
              41          -9.339           7.121
              42           23.72           7.763
              43           77.72           14.78
              44           -31.1           7.146
              45          -9.102           8.734
              46            10.4             7.5
              47            73.9           7.242
              48          -58.65           7.158
              49          -43.22           6.588
              50          -2.632           6.596
              51           48.07           6.835
              52          -69.83            6.79
              53          -24.19           6.532
              54           19.82           6.351
              55           52.81           9.406
              56          -49.02           6.563
              57          -17.91           6.392
              58           26.88           6.579
              59           72.63           13.27
              60          -32.19           6.437
              61          -22.69           6.362
              62           18.29           9.011
              63           73.92           7.382
              64           -70.1           7.387
              65          -28.65           10.05
              66           6.259           6.416
              67           58.88           7.553
              68          -58.66           7.124
              69          -20.87           11.18
              70           6.727           6.801
              71           59.37           15.15
              72          -36.67           7.405
              73         -0.6257           11.35
              74           7.613           6.917
              75           74.43           7.804
              76          -46.78           6.881
              77           -28.8            6.45
              78           27.84           6.695
              79           97.72           8.254
              80          -66.85           6.969
              81          -42.17           6.398
              82            3.29           5.979
              83           40.94           6.568
              84          -43.12           7.052
              85          -22.36           6.366
              86            12.1           5.776
              87              65           9.875
              88             -48           6.501
              89          -18.12           6.193
              90           23.77           5.767
              91           54.66           7.906
              92          -43.56           6.228
