#Sun Jan  9 21:41:20 2022
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0             126           36.82
               1          -34.96           32.87
               2          -27.62            30.7
               3           -5.23           30.18
               4            -201            9.79
               5          -87.04           7.932
               6          -20.77           8.673
               7           35.33           7.924
               8          -68.04           5.906
               9          -13.35           7.018
              10          0.6508           7.116
              11           56.33           7.682
              12          -41.32           6.626
              13          -16.89           6.782
              14           31.43             7.2
              15           70.14           7.867
              16           -49.7           5.951
              17          -55.84           6.854
              18           4.545           6.582
              19           49.56           6.786
              20          -81.71           6.019
              21          -28.82           7.161
              22           4.199           5.832
              23           50.65           6.417
              24          -51.27           6.337
              25          -16.85           7.784
              26           20.94           5.955
              27           59.29           6.999
              28          -35.11            5.87
              29          -9.282           7.178
              30           24.84           6.052
              31           87.31           7.367
              32          -40.67           6.234
              33          -41.14           7.054
              34          -8.502           6.951
              35           40.76           7.763
              36          -56.32           6.144
              37          -37.12            6.91
              38           8.616           7.107
              39           67.77             7.8
              40          -40.96           6.526
              41          -36.17            7.47
              42           21.47           7.625
              43           77.18           7.862
              44          -35.16           6.222
              45           10.98           6.846
              46           39.13           7.127
              47           77.75           8.352
              48          -66.42           6.006
              49          -40.13           6.842
              50          -9.197           6.235
              51           31.95            6.35
              52          -60.87           5.935
              53          -35.95            7.03
              54          0.1884           5.717
              55           60.93           6.408
              56          -52.54           5.783
              57          -7.349           7.261
              58           8.438           5.936
              59           85.14           7.099
              60          -32.83           6.552
              61           6.382           7.804
              62           31.02           5.874
              63           75.27           7.299
              64          -68.97           6.181
              65          -26.97           5.926
              66           10.92           7.305
              67           58.62           7.381
              68          -69.74           6.107
              69          -42.25           5.754
              70           6.017           7.037
              71           51.89           7.611
              72           -70.9           6.169
              73          -29.02           6.206
              74            9.77           6.831
              75           80.37            7.43
              76          -34.23           5.755
              77           5.757           6.307
              78           36.88           6.556
              79           82.99           7.441
              80          -43.19           6.134
              81          -33.66           5.854
              82           15.91           5.737
              83           37.22           6.061
              84          -54.88           6.197
              85          -49.97           5.646
              86          0.3121             5.5
              87           39.54           7.291
              88          -40.12           5.901
              89          -31.11           5.687
              90           16.92           5.559
              91           58.88            7.65
              92          -39.09            5.66
              93          -16.29           5.791
              94           38.61           5.675
              95           91.17            7.43
              96          -57.05           6.293
              97          -39.44           5.676
              98           13.97           7.317
              99           62.39           7.825
             100          -48.59           6.241
             101          -15.01           5.844
             102           15.88           7.034
             103           57.88           7.468
             104          -34.63           6.531
             105          -20.38           7.098
             106            12.2            6.78
             107           70.79           7.625
             108           -40.4           5.635
             109          -1.093           7.195
             110           32.89           7.006
             111            81.3           7.261
             112           -40.1           5.986
             113          -53.06           5.757
             114        0.002667           5.532
             115            40.7           7.556
             116          -66.85           5.876
             117          -22.32           5.565
             118           16.84           5.502
             119           64.74           7.658
             120          -52.51           5.714
             121           -20.3           5.782
             122           29.31           5.742
             123           80.92           7.619
             124          -37.28           5.465
             125          -7.127           5.654
             126           32.38           5.932
             127           124.9           8.894
APV               20              11               7               1
               0           147.3           38.08
               1          -28.24           33.67
               2          -16.46           31.57
               3          -23.24           30.92
