#Tue Jan 11 11:11:21 2022
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           126.1              37
               1          -33.98           32.96
               2          -27.06           30.69
               3          -5.329           30.18
               4          -200.7           9.804
               5          -87.45           9.228
               6          -21.63           8.628
               7           35.25           7.823
               8          -68.46            5.87
               9           -13.8           12.38
              10          0.1312           7.071
              11           55.88           7.601
              12          -42.36           6.457
              13          -17.23             6.5
              14           30.97           7.051
              15           70.01           7.781
              16          -49.57           5.939
              17          -55.49           6.232
              18           4.269           6.605
              19           49.64           6.458
              20          -81.72           6.067
              21          -28.79            6.39
              22           3.455           5.738
              23           50.71           6.411
              24          -51.75           5.595
              25          -16.88           7.043
              26           20.15           5.763
              27           58.84           6.894
              28          -36.38           5.678
              29          -9.333           6.511
              30           24.65           5.997
              31           86.85           7.324
              32          -40.58           6.226
              33           -40.9           6.383
              34          -9.032           6.769
              35           40.84           7.693
              36          -56.15           6.106
              37          -37.44           6.074
              38           7.458           7.054
              39            67.6           7.679
              40          -41.15            5.81
              41          -36.49           6.623
              42           21.21           7.481
              43           76.81           7.846
              44          -36.36            5.77
              45           10.44           6.888
              46           39.06           6.873
              47           77.73           8.276
              48          -66.18           5.952
              49          -39.97           6.207
              50          -9.566           6.104
              51           31.89           6.224
              52          -61.28           5.911
              53          -36.12            6.36
              54         -0.2199            5.59
              55           60.97           6.329
              56          -53.38            5.61
              57           -7.56           6.507
              58           8.186           5.864
              59            84.9           6.959
              60          -33.17           5.853
              61           6.428           7.027
              62           31.01           5.798
              63           75.26           6.483
              64          -68.29           6.147
              65          -26.54           9.334
              66           10.98           7.113
              67           58.87           7.166
              68          -68.55           6.053
              69          -42.45           10.28
              70           6.115           6.863
              71           52.11           7.259
              72          -69.78           6.021
              73           -29.2           10.92
              74           9.946           6.696
              75           80.11           6.543
              76           -33.7           5.798
              77           5.683           6.262
              78           37.28           6.488
              79           82.97           6.621
              80          -42.19           6.224
              81          -33.34            5.76
              82           16.08           5.653
