#Sat Jan 22 16:53:13 2022
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0         -0.4667           35.16
               1           11.97           32.85
               2          -1.813           31.51
               3          -8.467            36.7
               4            -0.6           10.03
               5           3.693            11.1
               6          -4.693           9.129
               7           -6.64           20.94
               8          0.1467           6.978
               9           4.707           17.23
              10          -4.387           7.306
              11           2.133           11.82
              12           4.947           8.048
              13            3.12           7.406
              14          -1.853           24.79
              15          -1.093           7.821
              16         -0.3733           7.079
              17         -0.7867           7.226
              18          -6.027           11.95
              19           -6.92           19.19
              20            1.96            5.62
              21           1.747            7.07
              22           -2.04           6.233
              23          -5.627           22.15
              24          0.2933             6.4
              25           1.493           8.239
              26            -7.8           18.06
              27            3.48           13.55
              28           2.107           8.134
              29            1.32           7.506
              30          -5.387           19.21
              31          -2.653           7.567
              32            0.64           7.757
              33           1.627           6.793
              34          -5.213           8.183
              35          -7.587            19.1
              36          0.4267           6.625
              37            1.08           6.703
              38            -1.4           7.897
              39           7.533           26.92
              40           2.147           6.731
              41           1.107           7.174
              42           -7.56           18.77
              43           -0.28           8.446
              44          0.8133           7.813
              45            3.28           8.004
              46           -5.52           20.41
              47           -1.84            8.45
              48          0.2267           7.128
              49          0.7867           7.008
              50          -3.147           7.271
              51           -5.96              20
              52         -0.2667             6.4
              53           1.187           7.545
              54          -3.013            6.07
              55           10.76           36.42
              56           2.973           7.285
              57          0.5733           7.513
              58           -4.52           18.82
              59          -1.467           6.684
              60          0.7467           7.281
              61          0.7733           7.868
              62          -6.773           21.78
              63           2.613           6.945
              64            0.88           7.078
              65           2.667           12.38
              66            1.64              21
              67           1.253           7.568
              68         -0.5333            7.24
              69           4.173           13.93
              70           -1.72           7.438
              71          -3.333           8.139
              72           -0.76           7.595
              73           3.173           14.74
              74         -0.4133           6.371
              75            2.92           7.611
              76          -1.467            6.81
              77           1.613           7.415
              78          -2.973            7.59
              79           1.667           7.938
              80         -0.3867           7.037
              81            -2.4            6.38
              82           1.747           14.74
              83          -2.067           6.788
              84          -2.173           6.887
              85          -1.867           6.515
              86            -0.6            6.54
              87           1.573           7.563
              88            0.72           6.859
              89           -1.36           6.613
              90          -2.013           5.642
              91           1.707           8.219
              92          0.7867           6.366
              93            -1.4           7.698
              94         -0.6533           6.535
              95           1.413           7.724
              96          0.4133           6.772
              97              -1           6.325
              98            2.28           8.623
              99          -2.213           8.718
             100             0.2           7.306
             101          -1.667           7.052
             102           -1.52           7.266
             103            1.92           7.672
             104           -0.04           7.204
             105         -0.1733           18.67
             106          -1.573           6.845
             107           2.027           7.671
             108         -0.6533           6.732
             109          0.3733           9.143
             110          -3.893           6.634
             111           1.147           7.767
             112         -0.7733             7.1
             113          -1.787            6.53
             114          0.2933           7.016
             115            1.84           7.988
             116           1.493           6.947
             117           -1.52           6.739
             118          0.9733           6.238
             119           1.907           7.582
             120          0.8267           6.594
             121          -1.547           6.903
             122          -1.547           7.621
             123           2.707           8.028
             124           -2.28           6.436
             125           1.973           13.52
             126         -0.5733           6.424
             127           -1.16           9.224
APV               20              11               7               1
               0          -8.152           41.17
               1           14.82           33.69
               2           11.17           36.53
               3           0.655           40.54
               4           4.971            14.5
               5           2.035           13.39
               6           14.06           41.11
               7          -12.83           22.53
               8           1.673           9.946
               9           8.772           18.61
              10          -8.339           14.13
              11         -0.9474           13.32
              12           3.275           16.55
              13           3.649           10.51
              14         0.09357           29.07
              15          -5.942           18.52
              16          -2.444           15.49
              17          0.5029            9.06
              18           11.38            23.3
              19           2.222           26.75
              20           1.696           10.48
              21           1.287           9.902
              22           29.05           73.49
              23           4.655            19.5
