#Sun Jan 30 14:00:51 2022
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           128.8           36.64
               1          -34.45           32.73
               2          -28.15           30.63
               3            -6.5           30.11
               4          -199.3           9.758
               5          -86.95           7.921
               6          -21.66           8.663
               7           34.52           7.964
               8           -66.6           6.004
               9          -13.65           6.932
              10          0.1642           7.158
              11           55.27           7.801
              12          -40.89           6.815
              13          -16.83           6.943
              14           30.62            7.12
              15           69.02            7.85
              16          -48.36           5.925
              17          -55.45           6.949
              18           4.153           6.562
              19           48.84           6.809
              20          -79.86            6.08
              21          -28.78           7.225
              22           3.589            5.87
              23           50.02           6.501
              24           -51.1           6.546
              25          -16.54           7.907
              26           20.14           5.957
              27           58.33           7.009
              28           -34.9           6.581
              29           -9.11           7.352
              30           24.26           6.166
              31           85.55           7.444
              32          -39.08           6.209
              33          -40.87           7.019
              34          -8.556           6.942
              35            40.2           7.825
              36          -54.88           6.143
              37          -36.93           7.001
              38           7.777           7.158
              39           66.82           7.735
              40          -40.52           6.691
              41          -35.92           7.517
              42           20.89           7.608
              43           76.25           7.829
              44          -34.83           7.035
              45           10.71           7.041
              46           38.59           7.028
              47           76.53           8.355
              48          -64.87           5.911
              49          -40.02           6.857
              50          -9.519           6.157
              51           31.45           6.459
              52          -59.69           5.906
              53          -35.71           7.181
              54         -0.5094           5.787
              55           60.23           6.455
              56          -51.83           6.077
              57          -7.373            7.39
              58           7.987           6.019
              59           83.99           7.087
              60          -32.82           6.633
              61           6.397            7.81
              62           30.54           5.992
              63           74.93           7.416
              64          -67.22           6.095
              65          -27.07           5.978
              66           11.48           7.374
              67           58.36           7.421
              68          -68.15           6.108
              69          -42.17           5.696
              70           6.568           7.105
              71           51.15           7.664
              72          -69.88           6.182
              73          -29.13           6.136
              74           9.881           6.823
              75           79.85           7.489
              76          -34.23           5.783
              77           5.751            6.34
              78           37.24           6.584
              79           82.54           7.577
              80          -41.64           6.049
              81          -33.45           5.807
              82           16.34           5.738
              83           36.75           6.261
              84          -53.96           6.204
              85          -49.57           5.728
              86          0.8112           5.679
              87           39.27           7.315
              88          -39.81           5.829
              89          -30.72           5.799
              90            17.2            5.71
              91           58.61           7.689
              92          -38.91           5.615
              93          -15.72            5.87
              94            38.6           5.874
              95           90.56           7.483
              96          -55.93            6.15
              97          -39.45           5.751
              98           13.99           7.305
              99           61.82           7.935
             100           -47.6           6.204
             101          -15.35           5.989
             102           16.46           7.004
             103           57.79           7.495
             104          -34.17           6.437
             105          -20.27           6.897
             106            12.6            6.82
             107           70.37           7.748
             108          -40.24            5.62
             109         -0.4528           7.334
             110           32.94           7.039
             111           80.88           7.353
             112          -38.56           6.022
             113          -52.65           5.723
             114          0.6819           5.765
             115            40.8           7.569
             116          -65.73           5.836
             117          -22.31           5.542
             118           16.99           5.577
             119           64.39           7.729
             120          -52.13           5.671
             121          -19.81           5.793
             122           29.58           5.855
             123           80.42           7.667
             124          -37.18           5.476
             125          -6.603           5.811
             126           32.52           6.035
             127           123.6           8.887
APV               20              11               7               1
               0           149.4           38.03
               1          -27.66           33.53
               2          -17.33           31.72
               3          -24.23              31
               4          -195.5           11.32
               5          -80.36           8.877
               6          -16.73           10.09
               7           32.11           9.561
               8          -49.15           8.227
               9          -3.897            7.82
              10           24.13           6.648
              11           71.06           8.669
              12           -64.1           8.395
              13          -11.93           7.586
              14            41.8            8.69
              15           63.53           12.19
              16          -60.51           7.487
              17          -48.64           6.989
              18          -32.12           8.436
              19           42.18           8.361
              20          -71.76           7.326
              21          -18.51             7.2
              22            -4.5           8.211
