#Thu Jun 30 11:01:36 2022
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           124.1           37.33
               1          -36.32           33.36
               2          -24.86           31.18
               3          -3.393            30.6
               4          -200.1            9.94
               5          -88.82           8.794
               6           -19.9           9.162
               7           36.61           8.524
               8          -67.32           6.028
               9          -15.44           11.79
              10         0.04307           7.646
              11           58.05           8.296
              12          -41.27           6.674
              13          -19.06           6.124
              14           30.94           7.576
              15           70.67           8.478
              16          -48.08           6.153
              17          -57.01           5.864
              18           7.985           6.694
              19           51.66           6.817
              20          -80.25           6.252
              21          -29.61           6.088
              22           5.694           6.004
              23           52.92           6.875
              24           -51.1             5.2
              25           -17.9           6.608
              26           21.54           6.059
              27           61.76           7.372
              28          -34.52           6.096
              29          -10.67           6.105
              30           25.41           6.324
              31           88.21           8.091
              32          -39.06           6.317
              33           -42.7           6.035
              34          -7.039           7.245
              35           41.65           8.169
              36          -55.08           6.333
              37          -38.71           5.794
              38           8.944            7.57
              39           69.15           8.382
              40          -40.71           5.485
              41           -38.6           6.235
              42           21.68           8.149
              43           78.62           8.484
              44          -34.94           6.239
              45           9.259           6.592
              46           38.71           7.461
              47           71.56           5.985
              48          -65.96           6.421
              49          -41.52           6.031
              50          -7.091           6.202
              51           33.99           6.618
              52          -58.98             6.1
              53          -36.95           5.883
              54           1.377           5.875
              55           63.61           6.867
              56          -51.75           5.849
              57          -8.521           6.079
              58           8.665           6.281
              59           81.43           6.067
              60          -34.74           6.198
              61           5.458           6.837
              62           31.62           6.162
              63            72.4           6.243
              64          -68.24           6.272
              65          -27.07           9.071
              66           11.43           7.663
              67           57.86           5.547
              68          -68.73           6.282
              69          -43.09              10
              70           6.358           7.278
              71           49.23           5.925
              72          -71.16           6.234
              73          -30.05           10.57
              74           10.06           6.992
              75           78.25            6.02
              76          -34.47            5.73
              77           6.005           6.572
              78           37.74            6.92
              79           80.25           6.224
              80          -41.66           6.365
              81          -33.04            5.87
              82           17.83           5.695
              83           35.84           6.951
              84          -53.55           6.292
              85          -49.63           5.672
              86           2.144           5.414
              87           37.71           6.604
              88          -39.02           5.981
              89          -30.98           5.718
              90           19.02           5.628
              91           56.93           6.371
              92             -39           5.705
              93          -15.82           5.729
              94           40.15           5.765
              95           88.83           6.185
              96          -56.51           6.367
              97          -39.29           5.692
              98           13.83           7.673
              99            60.2           5.952
             100          -47.74           6.421
             101           -15.2            6.02
             102           16.49           7.127
             103           55.74           6.146
             104          -33.51           6.458
             105          -21.43           11.36
             106            12.9           7.225
             107           68.07           6.187
             108          -40.88           5.591
             109         -0.2257           7.536
             110           33.93           7.407
             111           78.47           6.038
             112          -38.72           6.211
             113          -53.14           5.675
             114           1.789           5.618
             115           39.24           6.719
             116           -65.9           6.025
             117          -21.61           5.499
             118           18.85           5.462
             119           63.44           6.364
             120          -52.03           5.873
             121          -19.51           5.601
             122           32.08           5.764
             123           78.66           6.328
             124          -37.33           5.548
             125          -5.699           5.616
             126           33.76           6.199
             127           125.7           9.619
APV               20              11               7               1
               0           145.4           38.67
               1          -27.17           34.37
               2          -17.91           31.83
               3          -24.03           31.17
               4            -197           11.06
               5          -79.19           10.09
               6          -16.89           8.705
               7           33.01           9.618
               8          -49.27           7.243
               9          -1.781           13.18
              10           23.84           6.539
              11           73.14           13.65
              12          -65.23           7.681
              13          -10.09           7.292
              14           42.33           7.617
              15           69.16           12.22
              16          -60.31            7.23
              17          -46.98           6.563
              18          -33.88           6.553
              19            42.2           7.125
              20          -73.18           7.269
              21          -15.51           6.591
              22          -4.292           6.361
              23           55.81           7.243
              24          -56.98           6.812
              25          -19.72           6.428
              26           9.362           6.425
              27           72.07           9.619
              28          -40.34           6.583
              29          -23.64           6.299
              30           15.09           6.647
              31           80.37            10.6
              32           -70.6           7.317
              33          -36.91           7.022
              34           4.072            6.91
              35           37.28           7.988
              36           -64.3           7.395
              37          -27.98            6.52
              38           18.97           7.252
              39           58.07           12.03
              40          -62.12           7.399
              41          -7.121           7.023
              42           23.53           7.773
              43           82.07            15.3
              44          -29.04           7.012
              45          -6.137            8.87
              46           10.11           7.556
              47           73.42           7.584
              48          -57.27           7.262
              49          -40.34           6.527
              50          -3.304           6.513
              51           48.57           6.871
              52          -68.83           6.813
              53          -21.02           6.343
              54           20.55           6.323
              55           53.04           8.909
              56           -47.5           6.685
              57          -14.67           6.364
              58           27.35           6.692
              59            75.7           13.76
              60          -30.04           6.434
              61          -19.61           6.202
              62           17.49           8.677
              63           73.55           7.825
              64          -70.63           7.406
              65          -31.08            10.3
              66           4.287             6.5
              67           57.91           7.681
              68          -59.23           7.232
              69          -22.68           11.73
              70           4.738           6.899
              71           59.04           13.46
              72          -37.16           7.481
              73          -2.575           11.93
              74           5.175           7.045
              75           75.13           7.959
              76          -48.66           7.117
              77          -30.96           6.703
              78           25.23            6.91
              79           95.98           8.658
              80          -66.95           7.098
              81          -43.63           6.548
              82           1.997           6.024
              83           40.98           6.709
              84          -42.73           7.206
              85          -23.86           6.359
              86           10.81           5.851
              87           65.85            9.51
              88          -47.97           6.604
              89          -19.18           6.321
              90           21.56           5.897
              91           56.12           8.125
              92          -44.62            6.33
              93          -11.72           6.331
              94           13.24           5.952
              95           99.62           7.702
              96          -57.56           7.657
              97          -29.44           6.589
              98           7.411           7.065
              99           49.56           16.63
             100          -47.17           7.526
             101           -42.7           6.604
             102           14.89           6.922
             103           64.83           9.059
             104          -44.18           7.524
             105          -23.08            12.1
             106           38.45           6.988
             107           72.09           7.702
             108          -62.98           6.831
             109          -13.31           7.482
             110            17.2           7.235
             111           81.85           7.714
             112           -47.5           7.101
             113          -18.01           6.486
             114          -10.64           6.008
             115           47.05           6.636
             116          -56.64           6.805
             117          -20.13           6.111
             118           8.651           5.871
             119           67.69           11.01
             120          -55.99           6.613
             121          -21.05           6.206
             122           23.52           8.634
             123           76.61            10.4
             124           -49.5           6.175
             125          -28.01            6.07
             126            55.8           6.624
             127           153.2           7.807
APV               20              11               7               2
               0           140.9           35.48
               1           4.826           30.88
               2         0.03267           27.94
               3          -19.49            26.9
               4          -147.8           10.37
               5          -49.87           8.852
               6          -16.03           8.239
               7          -17.99           7.442
               8          -21.94           7.193
               9          -25.13           7.725
              10           15.23           7.064
              11           6.867           7.671
              12          -36.24            7.75
              13          -28.56           6.777
              14           39.46           6.885
              15           14.16            8.03
              16          -23.48           7.259
              17          -20.27           6.706
              18             -14           7.146
              19           28.06           6.816
              20          -31.22           7.274
              21          -23.86            6.32
              22          0.5501           7.923
              23           13.13           6.743
              24           -8.54           6.744
              25          -14.45           6.516
              26           23.79           6.367
              27           30.93           6.964
              28          -19.88           6.588
              29          -17.63           6.283
              30           10.86           6.527
              31            24.2           7.864
              32          -51.83           7.406
              33          -15.95           6.809
              34           7.974           6.715
              35          -2.523           6.862
              36          -33.49           7.539
              37          -28.59           6.173
              38           10.45           6.962
              39           19.33           7.585
              40          -2.743           7.526
              41          -11.11           6.569
              42           29.64           7.399
              43           13.43           7.948
              44          -7.502           6.917
              45          -3.579           8.374
              46           17.13           6.963
              47           32.66           8.792
              48          -30.08           7.062
              49          -8.435           6.467
              50           2.866           6.051
              51         -0.9463           6.424
              52          -24.18           6.978
              53          -22.45           6.202
              54           4.784           7.311
              55           5.506           6.589
              56             -22            6.65
              57          -8.769           6.199
              58           34.45           6.524
              59           29.55           7.399
              60         -0.6083           6.273
              61          -27.96           6.137
              62           15.96           6.259
              63           39.57           8.626
              64          -9.455           7.277
              65          -17.24           9.208
              66           26.16           6.658
              67           14.12           6.416
              68          -16.43           7.527
              69          -15.17           7.914
              70           24.91           6.563
              71          -12.18           6.868
              72          -28.63           7.274
              73           -18.5           7.088
              74           11.14           6.223
              75           19.06           7.432
              76          -18.88           6.592
              77          -38.65           6.479
              78          0.6511           6.001
              79            32.2           8.542
              80          -37.59           7.076
              81          -17.85           6.338
              82          -1.174           9.207
              83           34.44           6.297
              84          -25.09           7.134
              85          -3.007           6.336
              86              33           5.754
              87           26.85           6.533
              88          -21.73           6.575
              89          -23.96           6.104
              90           11.85           5.648
              91           25.33            7.22
              92          -29.43           6.163
              93          -9.848            6.18
              94           22.86           5.654
              95           31.13           8.291
              96          -23.64           7.244
              97          -2.581           6.101
              98           1.536            6.76
              99           36.12           7.062
             100           -38.4           7.449
             101          -13.21           6.107
             102           15.03           6.294
             103           18.97           6.985
             104          -29.35           7.322
             105          -8.273           9.631
             106           21.26           6.289
             107           13.86           7.838
             108          -7.845           6.402
             109           5.057           7.471
             110           37.74           6.252
             111           67.95           9.099
             112          -22.66           6.883
             113          -11.09           6.334
             114           18.49           6.028
             115            15.2           6.211
             116          -33.23           6.842
             117          -5.908            6.04
             118           21.74           5.602
             119            23.6           6.453
             120          -6.869           6.624
             121           1.575           5.955
             122            40.8           5.757
             123           36.13           7.668
             124          -8.442           6.121
             125          -1.772           6.087
             126           27.25            6.17
             127           65.07           9.317
APV               20              11               7               3
               0           127.5           35.85
               1          -40.27           31.86
               2          -2.525           29.48
               3          -3.412           28.61
               4          -208.1           10.93
               5          -80.48           9.784
               6           4.682           8.648
               7           34.28           8.684
               8          -64.87           7.746
               9          -47.89           12.84
              10           18.63           7.434
              11           49.17           8.483
              12          -43.77            8.31
              13          -24.07           7.583
              14           54.75           7.628
              15           70.64           8.865
              16          -16.29           7.984
              17          -31.72           7.204
              18        -0.02413            7.63
              19           47.47           9.223
              20          -87.55           7.982
              21           -30.6           7.076
              22           15.46           6.642
              23           63.74           7.113
              24          -60.23           7.376
              25          -31.82            7.08
              26           32.32            6.54
              27           56.47           7.616
              28          -47.93            7.13
              29          -37.55           6.819
              30            43.1            6.76
              31           63.89           8.394
              32           -67.1           7.845
              33          -45.85           7.111
              34            8.57           7.057
              35           50.67           8.346
              36          -58.02           7.826
              37          -50.06           6.772
              38           25.01           6.904
              39           62.56           8.564
              40          -48.19           8.002
              41          -42.58           7.044
              42           32.33           7.779
              43           55.49           8.921
              44          -48.58           7.347
              45          -24.37           9.346
              46           38.15           7.514
              47            79.9           9.705
              48          -47.43             7.7
              49          -46.57           7.065
              50           -12.3            7.39
              51           30.35           6.996
              52          -77.29           7.746
              53          -42.19           6.941
              54           27.96           6.616
              55           56.04           6.963
              56          -61.79           7.221
              57          -35.09           6.806
              58           30.21           6.899
              59            63.8            7.81
              60          -27.23           6.894
              61          -18.17           6.807
              62           41.76            6.62
              63           47.21           9.194
              64          -57.32           7.833
              65          -28.74            10.1
              66           4.917           6.834
              67           63.67           8.214
              68          -64.84           7.886
              69          -32.96            9.92
              70           8.997           7.007
              71           50.57           8.206
              72          -41.25           7.919
              73          -40.46           11.51
              74           37.09           6.942
              75           46.24           8.464
              76          -32.45           7.265
              77           -0.93            7.39
              78           44.04           7.152
              79            75.6            9.72
              80          -54.89           7.727
              81          -26.07           6.976
              82           12.45           6.557
              83           58.47           8.179
              84          -46.74           7.955
              85          -31.28           6.946
              86           12.02           6.276
              87           58.63           7.086
              88          -64.97           7.169
              89          -33.65           6.898
              90           35.89           6.179
              91            52.7           7.772
              92          -37.61           6.933
