#Tue Oct  4 11:00:56 2022
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           124.6           37.22
               1          -35.56           33.38
               2          -24.45           31.22
               3          -3.874           30.79
               4          -200.6           9.958
               5          -88.13           8.907
               6          -20.17           9.887
               7           36.81           8.973
               8          -68.41           6.218
               9          -14.71           8.155
              10           0.063           8.402
              11           58.38           8.814
              12          -42.92           7.225
              13          -18.74           8.151
              14           30.87           8.352
              15            71.5           9.223
              16          -48.24           6.135
              17          -56.62           8.006
              18           7.478           7.381
              19           51.38           7.649
              20          -81.18           6.203
              21          -29.79           8.436
              22           5.076           6.853
              23           52.57            7.49
              24          -51.79           7.532
              25          -17.77           9.183
              26           21.05           6.933
              27           62.07           7.982
              28          -36.33           6.923
              29          -10.62           8.466
              30              25            7.19
              31           88.79           8.656
              32          -39.41           6.332
              33          -42.16           8.134
              34          -7.437           8.213
              35            41.9           8.955
              36          -55.99           6.308
              37          -38.74           8.156
              38           8.622           8.366
              39            69.7           8.982
              40          -41.02           7.775
              41          -38.07           8.806
              42           21.16           8.904
              43           79.06            8.96
              44          -36.69           7.465
              45           9.339           8.248
              46           38.77           8.276
              47           72.41           8.534
              48          -66.54           6.345
              49          -41.38           8.337
              50          -7.371           6.912
              51           33.72           7.333
              52          -60.45           6.074
              53          -37.17           8.252
              54            1.03           6.788
              55           63.67           7.462
              56          -53.26           6.333
              57          -8.572            8.58
              58           8.195           7.147
              59           81.86           8.517
              60          -34.69           9.012
              61           5.471           9.428
              62           31.41           6.805
              63           73.18           8.876
              64          -67.65           6.278
              65          -26.63           6.416
              66           11.22           8.464
              67           59.64            8.71
              68          -68.12           6.488
              69          -42.55           6.189
              70            6.06           8.102
              71           50.08            8.26
              72          -70.39           6.382
              73          -30.09           6.488
              74           10.11           7.787
              75           78.95           8.597
              76          -34.01           5.898
              77           5.286           7.027
              78           37.73           7.596
              79           81.07           8.625
              80          -41.79           6.285
              81          -33.32           6.147
              82           17.09           6.291
              83           36.27           8.894
              84          -53.15           6.334
              85          -50.42           5.979
              86            1.54            6.24
              87           38.35           8.918
              88          -38.96           6.141
              89          -31.38           6.257
              90           18.76           6.486
              91           57.65            8.74
              92          -38.68           5.854
              93           -16.4            6.25
              94           40.65           6.653
              95           89.39            8.66
              96          -56.27           6.404
              97          -39.45           6.166
              98           14.08           8.272
              99           60.87           8.508
             100          -47.17           6.411
             101          -15.48            6.31
             102           16.64           7.799
             103            56.5           8.714
             104          -33.38           6.569
             105          -21.23           7.643
             106           13.01           7.897
             107           68.89            8.72
             108          -40.59           5.905
             109          -1.099           8.078
             110           34.08            8.13
             111           79.32           8.429
             112          -38.38           6.195
             113          -53.14           6.079
             114           1.346            6.32
             115           39.62           9.088
             116          -65.43           6.106
             117          -22.34           5.974
             118           18.08           6.277
             119           64.11           8.762
             120           -51.8           5.902
             121           -20.4           6.281
             122           31.29           6.765
             123           79.55           8.817
             124          -37.47           5.816
             125          -6.322           6.236
             126              34           7.028
             127           126.1           10.08
APV               20              11               7               1
               0           146.5           38.48
               1          -26.91           33.95
               2          -18.16           31.64
               3          -25.29           31.11
               4          -196.1            11.4
               5          -78.61           8.425
               6          -17.27           8.857
               7           32.97           10.01
               8          -48.98           7.746
               9          -1.037           7.375
              10            24.1           7.299
              11           73.59            13.9
              12          -64.77           8.127
              13          -9.305           7.153
              14           41.86           7.753
              15           69.77           12.56
              16          -59.54           7.514
              17          -47.26           7.069
              18          -34.39           6.711
              19           40.96           7.256
              20          -72.94           7.515
              21           -16.4           7.089
              22          -4.929           6.571
              23           54.32           7.302
              24          -57.03           7.279
              25          -19.49           7.132
              26           9.104           6.511
              27           71.58           9.833
              28          -40.29           6.926
              29          -23.62           6.897
              30           14.48           6.701
              31           80.41           10.86
              32          -69.64           7.755
              33          -37.04           7.471
              34           3.459           7.192
              35              36           8.096
              36          -63.69           7.791
              37          -27.78            6.91
              38           18.57           7.467
              39           57.73           12.61
              40          -61.66           7.843
              41          -6.322           7.661
              42           23.07           7.876
              43           81.01           15.12
              44          -29.63           7.536
              45          -5.615           8.466
              46           9.423           7.737
              47              74           8.311
              48          -56.65           7.548
              49          -40.79           7.003
              50           -3.85           6.615
              51              47           7.026
              52          -68.67            7.14
              53          -21.19           6.892
              54           19.82           6.387
              55            52.4           9.417
              56          -47.66            7.08
              57          -14.38           6.955
              58           26.71           6.715
              59           75.36           13.94
              60          -30.25           6.753
              61           -19.8           6.827
              62           16.72           8.958
              63            74.2           8.504
              64          -69.58           7.662
              65          -29.83           7.129
              66           4.344           6.528
              67           57.07            7.62
              68           -58.9           7.599
              69          -21.82           6.267
              70           4.878           6.928
              71           59.16           13.56
              72          -36.86           7.731
              73          -1.437           6.495
              74            5.77            7.81
              75           76.18           8.781
              76          -47.71           7.052
              77           -30.5           6.562
              78           24.99           6.784
              79           97.22             9.4
              80          -66.11           7.355
              81          -43.34           6.584
              82           1.779           5.868
              83           40.09           6.642
              84          -42.72           7.537
              85          -23.96           6.483
              86           10.74           5.819
              87           64.83            9.79
              88          -47.75           6.796
              89          -19.75           6.284
              90           20.84           5.764
              91           56.35           8.119
              92           -44.6           6.376
              93          -12.19           6.292
              94           12.48           5.872
              95           100.3           8.357
              96          -56.66           7.846
              97          -29.15           6.625
              98           7.521            6.99
              99           49.68           16.53
             100           -46.4           7.681
             101          -42.38            6.31
             102            14.8           6.869
             103            64.6           9.702
             104          -43.89           7.693
             105          -22.56           7.141
             106           37.65           6.943
             107           72.69           8.698
             108          -61.73           6.856
             109          -13.33           7.359
             110           16.58           7.177
             111           82.49            8.39
             112          -46.96           7.373
             113          -18.34           6.479
             114          -10.52           5.842
             115           46.14           6.622
             116          -56.26           7.084
             117          -20.49            6.06
             118           8.499           5.726
             119           66.89           11.24
             120          -55.73           6.713
             121          -21.56           6.157
             122           23.32           9.058
             123           76.75           10.56
             124          -49.11           6.194
             125           -28.2           5.975
             126           54.29           6.627
             127           153.6           8.412
APV               20              11               7               2
               0           142.3           35.35
               1           5.836           30.41
               2         -0.7739           27.88
               3          -21.27           27.02
               4          -146.7           10.47
               5          -49.26           7.351
               6          -16.88           8.452
               7          -18.52             7.5
               8          -21.48           7.269
               9           -25.1           6.539
              10           14.09           7.241
              11           6.529           7.576
              12          -35.81            7.76
              13          -28.88            6.44
              14           38.04           7.026
              15           13.33           7.957
              16           -22.2           7.309
              17          -19.76           6.615
              18          -15.91           7.284
              19           26.59           6.801
              20          -30.44           7.249
              21          -23.79           6.533
              22         -0.9813           8.151
              23           11.94           6.687
              24          -7.795           6.829
              25          -14.38           6.549
              26           21.91           6.506
              27           30.09           7.048
              28          -19.26           6.638
              29          -17.99           6.358
              30           9.282           6.554
              31           23.13           7.856
              32          -50.51           7.396
              33          -15.74           6.853
              34            6.77           6.953
              35          -3.599           6.935
              36          -32.53           7.683
              37          -28.29           6.211
              38            9.56           7.208
              39           18.43           7.579
              40          -2.506           7.612
              41           -11.3           6.703
              42           28.48           7.628
              43           12.96           7.879
              44          -7.332           6.931
              45          -3.319           7.855
              46           15.84           6.994
              47           32.01           8.744
              48          -28.68           6.913
              49          -7.762           6.465
              50           2.048           5.969
              51          -2.325           6.454
              52          -23.26           6.921
              53          -22.24           6.321
              54           2.822           7.516
              55           4.994           6.687
              56           -21.2            6.56
              57           -9.04           6.322
              58           32.36           6.679
              59           28.66           7.318
              60         -0.0162           6.303
              61          -28.42           6.152
              62           14.79           6.386
              63           39.03           8.472
              64          -8.358           7.325
              65           -16.1           6.458
              66           26.92           6.601
              67           14.59           6.235
              68          -15.27           7.609
              69          -14.24           5.916
              70           25.32           6.527
              71             -12           6.803
              72           -27.7           7.361
              73          -17.67           5.866
              74           11.61           6.144
              75           18.87           7.461
              76          -18.47           6.579
              77          -38.28           6.446
              78          0.8809           5.952
              79           31.81           8.343
              80          -36.34           7.077
              81          -17.06           6.247
              82          -2.618           8.663
              83           34.18           6.197
              84          -24.08           7.135
              85          -2.459           6.254
