#Thu Oct  6 16:50:41 2022
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0             124           37.28
               1          -36.76           33.33
               2          -25.38           31.31
               3          -3.654           30.87
               4          -200.5           9.977
               5           -88.5           9.025
               6          -20.04           9.932
               7            37.1           9.006
               8          -68.55            6.15
               9          -14.87           8.219
              10          0.1115           8.405
              11           58.44           8.848
              12          -43.26           7.029
              13          -19.09           8.212
              14           31.01            8.36
              15           71.61           9.207
              16          -48.13           6.117
              17          -56.92           8.116
              18           7.526           7.338
              19           51.57           7.516
              20          -81.41           6.206
              21          -29.85           8.527
              22           4.857             6.8
              23           53.04           7.598
              24          -52.12           7.573
              25          -18.35           9.301
              26           20.93           6.926
              27           61.89           7.982
              28          -36.68           6.597
              29          -10.88            8.54
              30           24.97           7.101
              31           88.97           8.614
              32          -39.13           6.354
              33          -42.46           8.211
              34          -7.453           8.173
              35           42.27           8.986
              36          -55.72           6.309
              37          -38.99           8.216
              38           8.365           8.387
              39           69.86           9.031
              40          -41.38           7.815
              41          -38.33           8.872
              42           21.12           8.823
              43           79.35           9.004
              44          -36.81           7.145
              45           9.123            8.33
              46           39.03           8.244
              47           71.94           8.524
              48          -66.03           6.374
              49          -41.67           8.467
              50          -7.825           6.891
              51           34.07           7.374
              52          -60.37           6.056
              53          -37.35           8.318
              54          0.9312           6.679
              55           63.69           7.542
              56          -53.79           6.106
              57          -8.868           8.691
              58           8.173           7.048
              59           81.68           8.585
              60           -35.1           9.115
              61           5.423            9.59
              62            31.5           6.746
              63           72.93           8.994
              64          -67.55           6.256
              65          -26.14           6.402
              66           11.59           8.474
              67           60.11           8.766
              68          -67.66            6.56
              69          -42.56           6.203
              70           6.659           8.103
              71           49.79           8.317
              72          -70.36           6.396
              73          -29.78           6.511
              74           10.62           7.731
              75           78.74           8.747
              76          -33.78            5.97
              77           5.435            7.04
              78           38.24           7.607
              79           80.83           8.688
              80          -41.46           6.302
              81          -33.35            6.31
              82           17.37           6.298
              83           36.14           8.991
              84           -52.7           6.385
              85          -50.32           6.015
              86           2.067           6.163
              87           38.14           9.035
              88          -38.69           6.195
              89          -31.35           6.198
              90           19.05           6.454
              91           57.24            8.89
              92          -38.77           5.888
              93          -16.37           6.182
              94            40.8           6.662
              95           89.11           8.738
              96          -55.95           6.411
              97          -39.36           6.105
              98           14.29           8.304
