#Tue Aug 24 11:00:51 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           98.34           37.11
               1           -27.7           35.41
               2          -18.96           31.34
               3          -1.779           30.64
               4          -204.6           10.09
               5          -61.94            14.1
               6          -18.55              10
               7           35.76           8.474
               8          -78.53           6.947
               9          -32.36            13.6
              10           15.12           8.048
              11           73.29           8.296
              12          -88.06           8.498
              13          -21.87           13.87
              14           36.65           7.668
              15           83.08           8.115
              16           -72.3           6.383
              17          -48.13           13.61
              18          -12.99           8.499
              19           57.18            6.95
              20          -100.9           6.636
              21          -46.85           14.23
              22           0.735           6.691
              23           70.94           6.674
              24          -68.02           7.139
              25          -19.11           14.45
              26           32.19           6.462
              27              79           7.052
              28           -75.5           8.266
              29          -9.066           14.93
              30           39.57           6.297
              31           81.42            7.66
              32          -81.85            6.41
              33          -55.49           13.54
              34           18.21           8.041
              35           44.17           8.432
              36          -97.05           6.683
              37          -55.24           13.56
              38           17.18           8.098
              39           68.08            8.11
              40          -74.88           7.739
              41           3.036           13.75
              42           49.27           8.579
              43           72.25           8.589
              44          -65.03           9.665
              45           13.49           14.18
              46           54.66           7.393
              47           102.7           8.869
              48          -75.31           6.171
              49          -20.24           13.84
              50           31.12           7.748
              51           47.55           6.728
              52          -67.02           6.627
              53          -30.59           14.29
              54              24           6.488
              55           68.47           6.481
              56          -73.75           7.395
              57          -10.32           14.69
              58           34.52           6.693
              59           72.92           7.489
              60          -48.73           13.27
              61         -0.5355           15.47
              62           49.78            6.17
              63             113           8.345
              64           -63.1           6.231
              65          -56.61           6.409
              66           6.905           9.213
              67           54.16           8.286
              68           -76.9           6.256
              69          -11.53           6.383
              70           17.03           8.262
              71           47.91            7.77
              72          -63.76           6.466
              73          -1.096           6.646
              74           17.29           7.646
              75           67.22             8.2
              76          -34.18           6.485
              77          -27.88           6.729
              78           20.63            7.18
              79           115.1           8.831
              80          -79.79           6.001
              81          -59.46           6.151
              82             -16           6.837
              83           42.89           6.515
              84          -77.26           6.235
              85          -35.72           6.332
              86           2.051           6.343
              87           79.48           6.707
              88          -48.34           6.064
              89          -21.14           6.697
              90           30.03           6.292
              91           94.78           7.614
              92          -55.37           5.846
              93          -13.36           7.063
              94           39.44           6.128
              95           108.5           8.576
              96          -95.63           6.109
              97          -33.12           6.433
              98           20.11           8.842
              99           61.15           8.737
             100           -83.6             6.2
             101           -14.9            6.51
             102           12.96            8.03
             103           51.96           7.759
             104          -90.43           6.606
             105          -32.62           7.514
             106           35.76           7.787
             107           80.43           8.506
             108          -41.79           6.267
             109            12.6           7.782
             110           66.16           7.911
             111           135.8           9.465
             112          -98.99           5.947
             113          -31.04           6.277
             114           19.46           6.837
             115           54.79           6.702
             116          -95.84           5.924
             117          -7.114            6.29
             118           13.98            6.21
             119           58.31           6.601
             120          -68.82           5.855
             121          -1.387           6.638
             122           37.36           6.348
             123           69.02           7.903
             124          -47.54           5.842
             125          -3.891           7.148
             126           35.35           6.496
             127           144.6           9.365
APV               20              11               7               1
               0             167            37.7
               1          -39.77           33.29
               2          -15.69           31.35
               3          -13.03           30.72
               4          -173.5           10.74
               5          -84.68           7.868
               6         -0.6646              11
               7           19.64           8.333
               8          -44.22           6.768
               9          -29.24           6.827
              10           12.49           7.954
              11           37.59           7.899
              12          -59.52           7.432
              13          -33.57           6.913
              14           29.95           7.795
              15           66.67           7.962
              16          -43.29           6.767
              17          -28.67           6.587
              18           8.674           10.54
              19           51.18           6.777
              20          -66.98           6.688
              21          -50.15           6.705
              22          -3.098           7.413
              23           50.68           6.314
              24          -46.39           6.519
              25          -27.33           7.075
              26           22.97           6.727
              27            43.9            6.69
              28          -42.83            6.35
              29          -14.72           7.662
              30           32.32           6.488
              31           61.09           7.391
              32           -46.9           6.734
              33          -49.61           7.179
              34           16.95           7.574
              35           31.97           8.296
              36          -52.22           6.779
              37          -41.81           6.559
              38           17.62           8.166
              39            55.1           8.072
              40          -52.94           6.898
              41          -5.776           7.155
              42           35.91           8.663
              43           49.64           8.152
              44          -42.42           7.266
              45           1.205           7.977
              46           40.11           7.492
              47           79.24           8.735
              48          -51.01           6.672
              49          -40.95           6.548
              50            2.27            9.34
              51           43.68           6.592
              52          -49.09           6.499
              53          -24.36            6.71
              54           17.99            7.16
              55           53.86            6.19
              56          -37.67           6.361
              57          -37.79           7.099
              58           24.52           6.799
              59           55.89           6.776
              60          -51.39           6.139
              61          -28.68           7.858
              62           19.68           6.398
              63           69.26           7.889
              64          -57.69           6.559
              65          -58.01           6.149
              66           16.97           9.184
              67           30.44           8.093
              68          -55.46           6.657
              69          -55.77           6.076
              70           9.089           8.405
              71           45.21           7.601
              72          -48.24           6.892
              73          -23.37           5.999
              74           47.73           7.599
              75           47.28           7.632
              76          -37.22           6.573
              77          -12.29           6.549
              78           30.54           6.948
              79           86.44            8.44
              80          -45.93           6.636
              81          -42.86           6.004
              82           4.304           7.897
              83           43.09           6.275
              84           -54.1           6.697
              85          -32.16            6.25
              86           28.87            6.62
              87           38.72           6.162
              88          -54.31           6.217
              89          -23.09           6.829
              90           22.48           6.148
              91           67.18           6.768
              92          -31.12           5.896
              93          -17.58           7.799
              94           35.74            5.94
              95           86.13           7.982
              96          -47.66            6.64
              97          -47.74           6.306
              98            6.29           9.006
              99           51.16           8.663
             100          -47.39           6.603
             101          -25.17           6.167
             102           20.22           7.644
             103           55.79            7.54
             104          -34.79           7.184
             105          -18.77           6.828
             106           40.89           7.542
             107           49.07           7.904
             108          -43.08           6.421
             109          -3.572           7.104
             110           41.92            7.75
             111           114.6           9.189
             112          -29.06           6.367
             113          -39.07           6.025
             114           11.96            7.36
             115           36.19             6.1
             116          -45.88           6.453
             117          -32.95           6.027
             118           12.39           6.336
             119           44.37           6.086
             120          -39.01           6.137
             121          -25.06           6.606
             122           34.16           6.094
             123           52.16           7.116
             124          -31.83           5.846
             125          -1.807           8.651
             126            22.7           6.275
             127           128.4             9.1
APV               20              11               7               2
               0           140.3           35.87
               1          -15.14           31.05
               2          -8.155           28.39
               3          -24.79           27.44
               4          -181.7           10.19
               5          -78.18            7.72
               6          -48.72           9.519
               7           19.51           8.079
               8          -63.96           6.566
               9          -3.283            6.49
              10           17.76            7.59
              11           39.96           7.629
              12          -56.35           7.296
              13          -33.94           6.132
              14           21.08           7.251
              15           58.88           7.858
              16          -4.496           6.716
              17          -38.72           6.269
              18          -14.73           9.272
              19           14.35           6.437
              20          -50.35           6.682
              21          -26.69           6.612
              22          -13.88           6.798
              23           58.26           6.353
              24          -48.75           6.518
              25          -20.54           6.655
              26           -6.56           6.284
              27           54.64            7.51
              28          -35.18           6.573
              29           -27.1           6.989
              30           2.557           6.207
              31           55.95           7.321
