#Wed Nov  2 16:02:29 2022
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           127.2           36.84
               1          -33.28           32.86
               2           -25.2           30.91
               3          -3.967            30.2
               4          -199.9           9.917
               5          -88.82           8.048
               6          -20.61           8.706
               7           37.09           8.145
               8          -68.02           5.973
               9          -15.18           10.03
              10          0.2282            7.24
              11            59.1            7.94
              12          -42.22           6.543
              13          -18.95           5.699
              14           30.72           7.342
              15           73.05           8.172
              16          -48.17           5.995
              17          -56.85           5.465
              18           6.573           6.465
              19           50.76           6.593
              20          -81.11           6.165
              21          -30.41           5.676
              22           4.854           5.766
              23           53.12           6.648
              24          -51.77           4.852
              25          -18.24           6.122
              26           20.46           5.923
              27           62.97            7.13
              28          -35.87           5.741
              29          -10.89           5.702
              30           24.53           6.129
              31           90.04           7.787
              32          -39.65           6.243
              33          -42.35           5.701
              34          -7.573           6.875
              35           41.66            7.78
              36          -56.08           6.189
              37          -39.05           5.398
              38           8.317           7.182
              39           69.97           7.984
              40          -41.14           5.218
              41          -38.17           5.869
              42           20.67           7.754
              43           80.44           8.059
              44          -35.77             5.9
              45           8.681           6.055
              46           38.84           7.251
              47           73.68           5.574
              48          -66.15           6.214
              49          -41.77           5.591
              50          -7.966           5.935
              51           33.47           6.403
              52          -60.31           5.997
              53          -37.35           5.462
              54          0.3529           5.682
              55           64.14           6.578
              56          -52.83           5.711
              57          -9.039           5.668
              58           8.077           5.976
              59           82.38           5.669
              60          -34.76           5.733
              61            4.86           6.322
              62           31.03           5.953
              63           74.09           5.831
              64          -67.83           6.194
              65          -26.75           8.025
              66           10.57           7.186
              67           59.31           7.297
              68           -68.7           6.074
              69          -42.09           8.586
              70           5.426           7.012
              71           50.56           5.557
              72          -70.32           6.305
              73          -29.19           9.033
              74           9.409           6.694
              75           79.75           5.691
              76          -33.71           5.615
              77           5.354           6.332
              78           37.18           6.615
              79           82.06           5.838
              80          -42.19            6.17
              81           -33.3           5.765
              82           16.13           5.481
              83           36.07           6.211
              84          -54.25           6.203
              85          -49.47            5.53
              86           0.696           5.277
              87            38.8           6.183
              88          -39.48           5.897
              89          -30.98           5.558
              90           17.61           5.406
              91           58.32           5.978
              92           -38.5           5.614
              93          -15.99           5.593
              94           39.92            5.59
              95           90.47           5.885
              96          -56.37           6.263
              97           -39.1            5.54
              98           13.04           7.204
              99           60.42           5.526
             100          -48.14           6.281
             101          -15.32           5.823
             102           15.41           6.799
             103           57.07           5.738
             104             -34           6.282
             105          -20.82           9.933
             106           12.25            6.83
             107            69.7           5.818
             108          -40.09            5.48
             109          -1.144           7.268
             110           33.85           7.037
             111           80.61           5.642
             112           -39.3           6.029
             113          -52.83           5.603
             114          0.2856           5.392
             115           39.68           6.285
             116          -66.15           5.934
             117          -22.17           5.425
             118           17.04           5.298
             119            64.6            5.97
             120           -51.9           5.678
             121          -20.19           5.468
             122           30.09           5.557
             123           80.28           5.917
             124          -36.98           5.435
             125          -6.818           5.492
             126           33.47           5.913
             127           127.4           9.161
APV               20              11               7               1
               0             148            38.1
               1          -24.48           33.88
               2          -19.09           31.55
               3          -24.71           30.84
               4          -196.2           10.94
               5          -79.47           9.276
               6          -18.51           8.428
               7           33.19           9.363
               8          -50.31           7.151
               9          -2.328           11.45
              10           23.77           6.375
              11           72.82           10.57
              12          -64.81           7.385
              13          -11.17           6.944
              14           41.11           7.322
              15           68.19           12.04
              16          -59.92            7.07
              17          -48.05           6.541
              18          -35.38           6.335
              19            40.3           6.862
              20          -73.92            7.12
              21          -17.57           6.511
              22          -6.291           6.174
              23           54.61           7.098
              24          -57.41           6.718
              25          -21.31           6.326
              26           7.931           6.224
              27           72.33           9.765
              28          -40.66           6.466
              29          -25.53           6.212
              30           13.82            6.41
              31            80.1            10.7
              32          -69.71           7.114
              33          -37.19            6.82
              34           2.421           6.711
              35            36.1           7.605
              36          -64.65            7.23
              37          -28.67           6.319
              38           17.38           7.016
              39           58.19           11.92
              40          -62.28           7.184
              41          -8.188             6.7
              42           22.62           7.528
              43           80.41           14.29
              44          -30.08            6.94
              45          -7.433           8.548
              46           9.411             7.3
              47           74.67           7.259
              48          -57.41           7.222
              49           -41.6           6.495
              50          -5.194           6.226
              51           46.64            6.65
              52          -69.81           6.733
              53          -22.53           6.302
              54           18.54           6.099
              55           52.72             9.1
              56          -47.87           6.566
              57          -16.02           6.202
              58            25.7           6.462
              59           75.04           12.61
              60          -30.71           6.236
              61          -21.54           6.063
              62           17.55           8.791
              63            74.8           7.506
              64          -68.99           7.279
              65          -29.24           9.204
              66            5.13           6.405
              67            57.4           7.456
              68          -58.87           7.007
              69          -22.12            10.1
              70           6.033           6.736
              71           58.49           9.129
              72          -36.64           7.255
              73          -1.666           10.39
              74           5.991           6.881
              75           77.89           7.833
              76          -46.65           6.899
              77          -30.32            6.49
              78           25.77           6.714
              79            97.8           8.268
              80          -65.86           6.873
              81          -43.33           6.456
              82           2.371           5.979
              83           39.99           6.506
              84          -42.85           7.121
              85          -24.18           6.358
              86           11.63           5.807
              87            65.9           9.654
              88          -47.58           6.592
              89          -19.75           6.363
              90           22.28           5.812
              91           58.67           7.864
              92          -43.89           6.247
              93          -12.01           6.226
              94           13.29           5.774
              95           100.6           7.377
              96          -56.89           7.477
              97          -28.86           6.409
              98           8.343            6.93
              99           49.97           15.75
             100          -46.43           7.206
             101             -42           6.409
             102           15.91           6.809
             103           64.89           8.948
             104          -43.59           7.333
             105          -22.13           10.52
             106           39.15           6.811
             107            77.1           9.137
             108          -60.41           6.417
             109          -13.25           7.368
             110           17.31           7.055
             111           83.05           7.359
             112             -47             7.1
             113           -18.7           6.448
             114          -9.428           5.896
             115           46.53           6.477
             116           -56.3           6.632
             117          -20.76           5.997
             118            9.68           5.706
             119           71.08           7.922
             120          -54.85           6.554
             121          -21.04           6.122
             122           23.22           8.643
             123           78.58           10.38
             124          -48.63           6.021
             125          -27.82           5.952
             126            54.5           6.463
             127           153.5           7.456
APV               20              11               7               2
               0           144.5           34.92
               1           7.377           30.38
               2         -0.9276           27.55
               3          -20.12           26.67
               4          -145.7           10.33
               5          -50.36           8.241
               6          -17.29           7.951
               7          -17.54           7.244
               8          -21.25           6.977
               9          -25.61           7.222
              10            13.6           6.743
              11             8.1           7.385
              12          -35.87           7.479
              13          -28.98           6.524
              14           38.07           6.619
              15           15.12           7.791
              16          -22.17           7.034
              17          -20.66           6.507
              18          -16.37           6.786
              19            26.7           6.481
              20          -30.11           7.114
              21          -24.78           6.312
              22          -2.214           7.871
              23           12.54           6.474
              24          -7.971           6.674
              25          -14.64           6.441
              26           21.61           6.164
              27           31.47            6.67
              28          -19.39           6.393
              29          -18.25            6.27
              30           8.908           6.305
              31           24.36           7.609
              32          -50.22            7.18
              33          -17.17           6.613
              34           6.168           6.387
              35          -2.888           6.559
              36          -32.01           7.358
              37           -29.4           5.941
              38           9.248           6.728
              39           19.76           7.294
              40          -2.519           7.426
              41          -11.55           6.307
              42           27.96           7.205
              43           14.66           7.721
              44          -8.227           6.655
              45          -3.647           8.074
              46           16.02           6.643
              47           33.41           8.617
              48          -28.24           6.705
              49          -8.858           6.229
              50           1.475           6.056
              51          -1.382           6.208
              52          -22.96           6.789
              53          -22.93           6.084
              54           2.421            7.22
              55           6.009           6.462
              56          -21.39           6.536
              57          -9.064           6.136
              58           31.74           6.261
              59           30.07           7.181
              60          -1.024           6.127
              61          -28.66            6.06
              62           14.75           6.122
              63           40.45           8.357
              64          -8.186           7.053
              65          -16.74           8.239
              66           26.39           6.434
              67            15.2           6.229
              68          -15.61           7.251
              69          -15.33           7.257
              70           24.85           6.339
              71          -10.36           6.678
              72          -28.18           7.115
              73          -18.63           6.637
              74           11.28           5.975
              75           20.44            7.34
              76           -19.1           6.317
              77          -38.65           6.356
              78          0.7803           5.897
              79           33.27           8.272
              80          -35.84           6.795
              81          -17.96            6.21
              82          -3.762           8.577
              83           34.78           6.161
              84          -23.94           6.985
              85          -3.648           6.187
              86           31.71           5.657
              87           28.12           6.293
              88          -21.07           6.422
              89          -24.43           6.021
              90           10.79           5.575
              91           25.98           7.074
              92          -29.02           6.093
              93          -10.61           6.124
              94           22.38           5.596
              95           32.24           8.109
              96          -22.79           7.151
              97          -3.278            5.96
              98           1.487           6.592
              99           37.02            6.99
             100          -37.37           7.147
             101          -13.86           6.054
             102           14.85           6.183
             103           20.68           6.844
             104          -29.33           7.093
             105          -7.965           8.636
             106           21.68           6.158
             107           15.38           7.635
             108          -8.254           6.211
             109           4.491           7.296
             110           37.58           6.099
             111           68.42           8.859
             112          -21.11           6.718
             113          -11.37           6.071
             114           17.87           5.945
             115           16.12           6.146
             116          -32.05           6.604
             117          -6.398           5.988
             118           20.99             5.5
             119           24.53           6.338
             120          -6.555           6.464
             121          0.7152            5.85
             122           39.81           5.697
             123           36.91           7.434
             124          -8.599           5.991
             125          -2.979            5.92
             126           26.76           6.021
             127           65.81           9.164
APV               20              11               7               3
               0           131.6           35.33
               1          -37.69           31.34
               2          -3.137            29.2
               3          -3.036           28.16
               4          -204.2           10.83
               5          -80.54           9.166
               6           4.896           8.208
               7           34.26           8.442
               8          -64.31           7.519
               9          -48.08           11.07
              10           18.58           7.146
              11           50.52           8.189
              12          -43.51           8.103
              13          -25.77           7.248
              14           54.04            7.32
              15           71.71           8.635
              16          -15.16            7.81
              17          -33.29           6.997
              18          -1.988           7.167
              19           47.46           7.369
              20          -85.66           7.681
              21          -32.41           6.821
              22           14.26           6.357
              23           63.62           6.908
              24          -59.59           7.252
              25          -34.11            6.85
              26           31.65           6.378
              27           57.27           7.428
              28          -48.43             6.9
              29             -40           6.838
              30           42.36           6.519
              31           65.16           8.213
              32          -64.32           7.643
              33           -46.1            6.86
              34           7.698           6.685
              35           50.67           8.051
              36           -56.6           7.623
              37          -51.15           6.536
              38           24.55           6.714
              39           63.04           8.427
              40          -47.14           7.782
              41           -43.6           6.816
              42           31.72           7.558
              43           56.89           8.747
              44          -49.15           7.206
              45          -26.09           8.905
              46           37.54           7.353
              47           80.78           9.576
              48          -45.92           7.408
              49          -47.46           6.823
              50          -13.84           6.919
              51           29.78           7.091
              52             -76           7.483
              53          -43.71           6.811
              54           26.41           6.371
              55           56.17           6.829
              56          -61.65           7.014
              57          -37.27           6.692
              58           29.08           6.559
              59           64.45           7.634
              60          -28.11           6.805
              61          -20.95           6.598
              62           40.83           6.339
              63           48.65           8.895
              64          -54.45           7.621
              65          -27.64           9.023
              66            4.97           6.682
              67           62.99           8.023
              68          -63.22           7.628
              69          -32.73           8.863
              70           8.609           6.852
              71           50.63           8.031
              72          -40.09           7.728
              73          -38.95           10.05
              74           36.62           6.905
              75           47.32           8.345
              76           -31.9           7.081
              77          -1.608           7.298
              78           43.15           6.988
              79           76.88           9.362
              80          -52.89           7.475
              81          -25.85           6.938
              82           10.57           6.441
              83           57.98             8.3
              84          -45.32           7.701
              85          -31.27            6.81
              86           10.63           6.058
              87            58.5           6.995
              88          -63.64           6.925
              89          -34.25           6.833
              90           34.62           6.097
              91           53.83           7.702
              92          -37.51           6.718
              93          -13.59           6.763
              94           68.26           6.176
              95           86.14           9.153
              96          -35.66           7.725
              97          -31.55           6.613
              98          0.7639           7.296
              99           52.66           8.241
             100          -52.61           7.631
             101          -34.24           6.654
             102           35.92           6.926
             103           41.07           8.007
             104          -41.88           7.783
             105          -22.94           10.78
             106            32.4           6.979
             107           53.35           8.745
             108          -54.12           6.744
             109          -26.03           7.969
             110           64.54           7.798
             111           82.07           10.08
             112          -60.71           7.197
             113          -24.13           6.737
             114           15.09           6.317
             115           50.01           11.34
             116          -61.85           7.362
             117           -33.8           6.539
             118              32           6.055
             119           61.91           6.801
             120          -59.83           7.047
             121          -29.22            6.55
             122           44.97           6.127
             123           70.38           8.014
             124          -45.89           6.563
             125          -14.32           6.646
             126            62.8           6.666
             127           96.87           10.28
APV               20              11               7               4
               0           178.4           40.41
               1           -3.87           35.21
               2          -12.14           32.82
               3          -46.63           32.44
               4          -185.7           10.96
               5          -52.14           8.713
               6          -6.201           8.284
               7           3.592           7.119
               8           -39.6           6.552
               9          -12.15           7.016
              10          -11.79           6.499
              11           45.73            7.17
              12          -47.89           7.126
              13          -13.26           6.158
              14           11.61           6.458
              15           48.46            7.47
              16          -17.99           6.796
              17          -30.83           6.033
              18            12.8           7.802
              19           12.96           6.241
              20          -50.01           6.785
              21          -16.77           6.152
