#Wed Jan 18 10:26:35 2023
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           125.8           36.92
               1          -38.53           34.27
               2          -25.87           30.76
               3          -5.071           30.39
               4          -199.3           9.818
               5          -91.45           14.12
               6          -20.25           9.214
               7           36.86           8.584
               8          -67.34           6.044
               9          -20.42            22.6
              10         0.09102           7.908
              11           58.55           8.374
              12           -42.1           6.889
              13           -20.3           9.002
              14           31.39           7.636
              15           72.37           8.753
              16          -47.38           6.041
              17          -55.77           7.828
              18           8.305           6.992
              19           51.36           7.016
              20           -79.8           6.216
              21          -29.14           8.094
              22           6.137           6.243
              23           52.94           7.102
              24          -50.73           7.121
              25           -16.8           8.825
              26           21.46           6.355
              27           62.33           7.578
              28          -35.47           6.528
              29          -9.815           8.076
              30           25.56           6.518
              31           89.37           8.421
              32          -38.72           6.362
              33          -42.26           7.369
              34           -6.58           7.307
              35            41.8           8.198
              36          -55.21           6.297
              37          -38.85           7.283
              38           8.721           7.565
              39           69.46           8.445
              40          -40.29           7.299
              41          -38.32           8.028
              42           21.42           8.042
              43           79.65           8.536
              44          -35.32           6.976
              45           7.057           10.02
              46           38.77           7.552
              47           73.89           7.949
              48          -65.39           6.297
              49          -40.41           8.079
              50           -6.12           6.473
              51           34.18           6.803
              52           -59.6            6.06
              53          -35.97           8.023
              54           1.806           6.158
              55           63.78           7.066
              56          -52.31           6.081
              57           -7.67           8.273
              58           9.263           6.424
              59           82.99           8.112
              60          -33.43           8.537
              61           6.068           8.979
              62           31.91           6.305
              63           74.57           8.439
              64          -67.07           6.168
              65          -31.57           16.86
              66           9.762             8.1
              67           58.91           7.967
              68           -68.5           6.394
              69          -47.57            18.7
              70           4.838           7.675
              71           51.16           7.578
              72          -70.34           6.354
              73          -34.92           19.79
              74           8.952           7.257
              75           80.07            7.85
              76          -34.62           5.872
              77           4.367           6.997
              78            37.6           7.149
              79           82.58           8.237
              80          -41.66           6.354
              81          -33.45           6.129
              82           16.73            6.13
              83           38.06           6.561
              84           -53.9             6.5
              85           -49.4           5.993
              86           1.004           5.853
              87           39.58           8.443
              88          -39.58             6.1
              89          -30.86            6.07
              90           17.92           5.986
              91           59.19           8.419
              92          -38.88           5.903
              93          -16.02           6.124
              94           39.56           6.145
              95           90.87           8.243
              96           -55.9           6.401
              97          -40.17           6.257
              98           12.89           7.742
              99           62.45           8.503
             100          -48.52           6.782
             101          -16.67            7.19
             102           15.65           7.404
             103           57.98           7.933
             104           -33.8           6.623
             105          -26.15           20.34
             106           11.44           7.564
             107           70.08           8.059
             108          -40.69           5.828
             109          -1.802            7.74
             110           33.99           7.721
             111           81.12           8.162
             112          -38.78           6.253
             113          -52.68           5.968
             114           1.037           6.021
             115           40.83           8.183
             116          -66.07           6.134
             117          -22.29           5.844
             118           17.39           5.922
             119           64.91            8.24
             120           -52.1           5.949
             121          -20.25           6.005
             122           30.11           6.173
             123           80.99           8.409
             124          -37.06           5.694
             125          -6.264           6.181
             126           33.86           6.474
             127           126.4           9.945
APV               20              11               7               1
               0           147.2           38.26
               1          -30.77           36.27
               2             -20           31.64
               3          -25.61           31.21
               4          -195.8           11.31
               5           -82.9           16.85
               6          -18.78           9.759
               7            33.1           9.692
               8          -48.82           7.821
               9          -7.852           25.69
              10           23.85           6.444
              11           73.61           13.89
              12          -64.07           8.234
              13          -11.94            10.4
              14           41.77           8.542
              15           70.77           12.27
              16          -58.68           7.535
              17          -46.48           7.057
              18          -34.17            8.01
              19            41.5           8.151
              20          -72.39           7.582
              21          -16.22           7.137
              22          -5.302           7.558
              23           54.96           8.217
              24          -56.08           7.223
              25          -19.51           7.112
              26           8.761            7.42
              27           73.52           10.58
              28          -39.18           6.981
              29          -23.04           6.911
              30           14.83           7.654
              31           82.86           11.91
              32          -68.46           7.757
              33          -37.78           8.625
              34           2.519           7.919
              35            36.3           8.932
              36          -63.47           7.845
              37          -29.17           7.936
              38           17.45           8.208
              39            57.8           12.21
              40          -60.61           8.021
              41          -8.177           9.037
              42           22.98             8.6
              43           82.29           15.79
              44          -28.72           7.678
              45          -8.436           12.41
              46            9.86           8.287
              47            75.4           8.274
              48          -56.05           7.647
              49          -40.15           7.141
              50          -4.268           7.806
              51           47.36           7.916
              52          -68.23            7.25
              53          -20.96           6.943
              54           19.25            7.41
              55           53.29           9.822
              56           -46.4           7.117
              57          -14.15           6.857
              58           26.38           7.751
              59           76.99           14.37
              60          -28.96           6.885
              61          -19.19           6.745
              62           17.78           9.468
              63           75.76           8.577
              64          -68.59           7.851
              65          -35.23           18.73
              66           3.866           6.588
              67           57.25           7.844
              68          -59.37           7.601
              69          -28.44           22.49
              70           4.827           7.061
              71           58.83           11.66
              72          -37.38           7.646
              73          -8.634           22.87
              74           6.187           6.999
              75           77.92           8.137
              76          -48.21           7.585
              77          -31.77           6.961
              78           25.57           7.329
              79           98.19           9.393
              80          -65.25           7.445
              81          -43.43           6.711
              82           2.783           6.441
              83           40.22           7.162
              84          -43.01           7.554
              85          -24.43            6.52
              86           11.28           6.317
              87           66.17           10.44
              88          -47.69           6.825
              89          -19.65           6.493
              90           22.28           6.253
              91           59.05            8.76
              92          -44.11           6.437
              93          -12.05           6.588
              94           13.73           6.275
              95           101.6            8.49
              96          -56.68           7.888
              97          -30.61           7.275
              98           7.625           7.237
              99           50.22            16.1
             100          -47.76           8.181
             101          -44.37           7.887
             102           15.13           7.048
             103           65.19           9.169
             104          -43.87           7.859
             105          -28.48           22.14
             106           37.98           7.043
             107           77.24           9.917
             108          -61.84           6.894
             109          -14.27           7.526
             110            17.8           7.903
             111           84.13           8.545
             112          -46.78           7.637
             113          -18.86           6.532
             114          -9.472            6.41
             115           46.21           7.052
             116          -56.59           6.982
             117          -20.95           6.226
             118           9.335           6.184
             119            70.2           9.939
             120          -55.22           6.716
             121          -21.34           6.366
             122           24.03            9.18
             123           79.43           11.13
             124          -48.63            6.25
             125          -27.39           6.353
             126           54.88           7.109
             127           154.3           8.624
APV               20              11               7               2
               0           142.7           35.11
               1            1.43           32.11
               2          -0.992           27.57
               3          -20.78           26.78
               4          -145.9            10.3
               5          -53.83           13.38
               6          -16.68            8.19
               7          -17.14           7.442
               8          -22.08           7.131
               9          -29.09           11.74
              10           14.03            6.88
              11           7.757           7.668
              12          -36.32           7.655
              13          -31.05           8.636
              14           38.29            6.79
              15           15.32           8.017
              16          -22.71           7.167
              17          -20.89           6.674
              18          -14.31           7.504
              19           27.09           6.866
              20          -30.59           7.252
              21          -24.68           6.638
              22         -0.1699           8.396
              23           13.18           6.851
              24           -8.67           6.716
              25          -14.78           6.777
              26           22.75           6.566
              27           32.34           8.011
              28          -19.51           6.619
              29          -18.48           6.774
              30           9.704           6.615
              31           24.43            8.09
              32           -50.6           7.318
              33          -17.92           7.286
              34           7.638           6.482
              35          -2.149           6.681
              36          -32.51            7.45
              37          -30.04           6.804
              38           10.04           6.784
              39           20.19           7.543
              40          -2.929            7.43
              41          -12.94           7.186
              42           28.73           7.205
              43           14.76           7.947
              44          -8.765           6.909
              45          -6.823           10.79
              46           16.73           6.749
              47           33.72           8.996
              48           -28.8            6.89
              49          -8.859           6.527
              50           2.679           6.534
              51         -0.7429           6.588
              52          -23.69           6.924
              53          -23.27           6.593
              54           4.158           7.743
              55            6.57            6.69
              56          -21.89           6.697
              57          -9.501           6.591
              58           33.27           6.579
              59           30.51           7.503
              60          -1.196            6.34
              61          -28.58           6.711
              62           15.68           6.455
              63           40.63           8.706
              64          -8.585           7.123
              65          -20.65           16.17
              66           26.15           7.172
              67           15.12           6.474
              68          -15.67           7.386
              69          -18.02           13.36
              70           24.96           6.745
              71          -10.27           6.846
              72          -27.99           7.161
              73          -20.69           10.42
              74           11.36           6.309
              75           20.55           7.532
              76          -18.87           6.539
              77          -38.42           6.603
              78           1.177           5.958
              79           33.59           8.668
              80          -36.15           6.968
              81           -17.1           6.625
              82          -1.938           8.842
              83           34.74           6.395
              84          -24.08           7.147
              85           -2.44           6.618
              86           32.58           5.917
              87           28.33           6.656
              88          -20.85           6.711
              89          -22.97           6.454
              90           11.87           5.751
              91           26.81           7.391
              92          -28.28           6.395
              93          -9.584           6.451
              94           22.72           5.747
              95           32.28           8.586
              96           -22.6           7.211
              97          -3.279           6.342
              98           1.812           7.087
              99           36.95           7.227
             100          -38.05           7.595
             101          -13.98           6.464
             102            15.2           6.511
             103           20.66           7.019
             104          -28.92           7.375
             105          -11.74           15.81
             106           21.53           6.417
             107           15.64            7.85
             108          -8.068            6.36
             109           4.726           7.484
             110           38.09           6.398
             111           68.93           9.378
             112          -21.65           6.864
             113          -10.51           6.603
             114           18.95           6.287
             115            16.1           6.282
             116          -32.06           6.885
             117          -5.279           6.462
             118           21.84           5.816
             119           24.59           6.549
             120          -6.253           6.739
             121           2.179           6.213
             122           40.62           5.885
             123           37.16           7.767
             124          -8.117           6.326
             125          -1.434           6.217
             126           27.15           6.377
             127           66.19           9.634
APV               20              11               7               3
               0           129.7           35.69
               1          -42.12            33.4
               2          -2.522           29.26
               3          -5.214           28.56
               4          -203.7           10.87
               5          -82.48           15.27
               6           4.783           8.516
               7           32.55           8.943
               8          -63.05           7.583
               9          -53.38            24.6
              10           17.34           7.446
              11           48.87           8.706
              12           -42.4           8.287
              13          -26.26           10.19
              14           53.35           7.851
              15           70.29            9.33
              16          -13.88           7.992
              17          -31.09           7.254
              18         -0.1083           7.732
              19           46.54           9.486
              20          -84.38           7.986
              21          -30.16           7.071
              22           15.31           6.777
              23           62.86           7.546
              24          -58.33           7.383
              25          -31.89           7.173
              26           31.66           6.727
              27           55.84           8.116
              28          -46.72           7.052
              29          -38.05           7.013
              30           42.22           6.937
              31            63.5           9.014
              32          -63.37           7.802
              33          -45.45           7.594
              34            8.71           6.835
              35           49.69           8.527
              36          -55.31           7.861
              37          -50.22           7.328
              38           24.51           6.906
              39            61.7           8.937
              40          -45.64           7.908
              41          -43.39           7.876
              42           31.05           7.843
              43            55.5           9.354
              44          -47.64           7.381
              45          -27.07           12.38
              46           36.85           7.549
              47           79.54           10.33
              48          -44.74           7.635
              49          -45.26           7.046
              50          -11.78           7.415
              51           29.48           7.378
              52          -74.84           7.761
              53          -41.33           7.034
              54           27.57             6.7
              55           54.92           7.254
              56          -60.16           7.179
              57          -35.32           6.992
              58           29.19           6.979
              59           63.49           8.277
              60           -26.2           6.972
              61          -18.49           6.957
              62           40.81           6.877
              63           47.47           9.784
              64          -54.33           7.703
              65           -31.6           17.73
              66           4.372           6.817
              67           61.66           8.421
              68          -62.55            7.77
              69          -36.18           17.76
              70           8.518               7
              71           49.66           8.446
              72          -38.99           7.892
              73          -44.46           22.07
              74           35.58           6.966
              75              46           8.791
              76          -31.25           7.415
              77          -1.452           7.659
              78           42.99             7.4
              79           75.34           10.31
              80          -52.05           7.715
              81          -24.78           7.108
              82           11.87           6.864
              83           57.21           8.534
              84          -44.18           7.905
              85          -29.83           7.048
              86           11.07           6.495
              87           58.17           7.535
              88          -62.84            7.19
              89          -33.07           7.095
              90           34.54           6.415
              91           52.72           8.305
              92          -35.97           7.023
              93          -12.43           7.056
              94           68.55           6.554
              95           85.43           10.05
              96          -34.39           7.831
              97          -31.15           7.181
              98          0.9575           7.474
              99           51.76           8.791
             100          -52.22           8.178
             101          -34.48           7.569
             102           35.51           7.107
             103           39.52           8.545
             104          -40.91           7.983
             105          -27.94           21.61
             106           31.01           7.179
             107           51.81           9.255
             108          -53.82           7.048
