#Tue Apr 23 16:30:59 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           123.8           37.08
               1          -33.41           33.26
               2          -25.64           31.29
               3          -4.539           30.56
               4          -199.5           10.03
               5          -87.04           8.412
               6          -21.03           9.064
               7           35.72           8.293
               8          -67.66           5.975
               9          -13.76           10.25
              10          -1.106           7.599
              11           57.74           8.189
              12          -41.66           6.641
              13          -17.84           6.214
              14           29.98            7.52
              15           65.46           6.164
              16          -48.65           6.267
              17          -55.35           6.377
              18           5.613           6.687
              19           50.15           6.674
              20          -80.59           6.136
              21          -27.88           6.314
              22           4.263           6.027
              23           51.88           6.729
              24           -49.8           5.539
              25          -16.23           6.928
              26           20.18           6.072
              27           61.52           7.385
              28          -35.08           5.914
              29          -9.781           6.357
              30           24.11           6.384
              31           88.75           8.103
              32          -39.27           6.355
              33          -40.67           6.313
              34          -8.178           7.241
              35           41.02           7.776
              36          -55.21           6.324
              37           -37.3           6.089
              38           7.735           7.499
              39           68.95           8.056
              40          -39.48           5.832
              41          -36.69           6.581
              42           20.29           7.994
              43           78.91           8.252
              44          -35.18           6.089
              45           10.55           6.556
              46           37.94           7.369
              47           72.65           6.256
              48           -65.8           6.276
              49          -39.77           6.342
              50           -8.83           6.164
              51           32.66           6.506
              52          -59.64           6.074
              53          -35.56           6.157
              54         0.03561           5.894
              55           63.19           6.706
              56          -52.13           5.724
              57           -7.12           6.428
              58           7.352           6.207
              59           82.09           6.404
              60          -32.88           6.559
              61           6.452           7.139
              62           30.36           6.063
              63           74.09           6.469
              64          -67.78           6.239
              65           -25.9           8.158
              66           10.22           7.754
              67           58.61           7.765
              68          -68.15           6.335
              69          -41.98           8.829
              70           4.685           7.475
              71           50.41           6.152
              72          -70.21             6.4
              73          -29.42           9.373
              74           8.243           7.034
              75           79.18           6.394
              76          -33.58           5.798
              77           5.937           6.652
              78           35.89           6.901
              79           81.43           6.529
              80          -41.54           6.351
              81          -32.29           5.982
              82           15.87           5.714
              83           36.32           6.616
              84           -53.1           6.288
              85           -49.3           5.712
              86        0.004934           5.565
              87           38.74           6.831
              88          -38.47            6.04
              89          -30.84           5.779
              90           16.37           5.763
              91           57.72            6.63
              92          -38.33           5.724
              93          -16.52           5.805
              94           38.23           5.938
              95           90.27           6.405
              96          -56.33           6.363
              97          -38.51           5.717
              98           13.11           7.672
              99           62.21           8.111
             100          -47.07           6.363
             101          -14.23           6.225
             102           14.84           7.316
             103           56.81           6.418
             104          -33.32             6.6
             105          -21.08           10.26
             106           10.82           7.183
             107           68.92           6.657
             108          -39.73           5.674
             109         -0.9231           7.705
             110           33.08           5.868
             111           80.17           6.843
             112          -38.12           6.224
             113          -52.38           5.751
             114        -0.05761           5.662
             115           40.17           6.219
             116          -65.45           6.053
             117          -21.33           5.621
             118           16.09           5.643
             119           64.24           6.607
             120          -51.68           5.883
