#Fri Jan 20 15:34:55 2023
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           127.2           37.02
               1          -36.69           33.12
               2          -25.41           30.65
               3          -4.132           30.24
               4          -199.1           9.816
               5          -88.71           9.053
               6          -18.79           9.119
               7           37.44           8.376
               8          -67.75           5.949
               9          -15.42            10.5
              10           1.613           7.555
              11           58.99           8.173
              12          -42.75           6.818
              13          -18.82           7.244
              14           32.16           7.591
              15           72.45           8.471
              16          -47.65           5.907
              17          -56.59           7.026
              18            7.67           6.723
              19           51.16           6.889
              20          -79.94           6.039
              21           -30.2           7.339
              22           6.264           6.147
              23           52.81           6.887
              24           -51.5             6.6
              25          -17.96           8.042
              26           22.28           6.177
              27           62.22           7.408
              28          -36.65           6.251
              29          -10.64           7.459
              30           26.03           6.359
              31           89.19            8.15
              32          -38.75           6.245
              33          -42.19           7.126
              34          -6.291           7.244
              35           42.27           8.158
              36          -55.13           6.188
              37          -38.84           7.031
              38           10.01           7.552
              39           69.74           8.272
              40          -40.76           6.719
              41          -37.81           7.628
              42           22.51            8.02
              43           79.75           8.392
              44          -36.37           6.583
              45           8.779           7.519
              46           39.91           7.448
              47           73.88           7.435
              48          -64.84           6.217
              49          -41.23           7.318
              50          -6.574           6.335
              51           33.92           6.637
              52          -59.86           5.926
              53          -37.21           7.183
              54            2.21           5.975
              55           63.67           6.903
              56          -53.35           5.921
              57           -8.94             7.5
              58           9.565           6.218
              59           82.61           7.481
              60          -34.38           7.814
              61           5.188           8.286
              62            32.2           6.096
              63           74.26            7.75
              64          -66.73            6.05
              65           -28.7           8.091
              66           10.22           7.724
              67           59.56           7.904
              68          -68.44           6.263
              69          -44.38           8.531
              70           5.475           7.429
              71           50.94           7.201
              72          -71.06           6.273
              73          -30.98           8.981
              74            9.78           7.065
              75           79.93           7.557
              76          -35.32            5.69
              77           4.167           6.525
              78           37.58           6.974
              79           82.31           7.554
              80          -41.79           6.179
              81          -35.25            5.94
              82           15.79           5.823
              83           38.41           6.366
              84          -54.28           6.282
              85          -51.34           5.738
              86          0.5954           5.708
              87           39.35           7.846
              88          -40.64           5.914
              89          -32.29           5.831
              90           17.53           5.828
              91           58.74            7.84
              92          -40.19           5.671
              93          -17.14           5.911
              94           39.63           5.983
              95           90.61           7.557
              96          -56.07           6.241
              97          -41.14           5.685
              98           13.06           7.658
              99           62.95           8.316
             100          -48.42           6.264
             101          -17.13           6.177
             102           15.83           7.309
             103           57.69           7.543
             104          -34.71           6.517
             105          -22.04           9.718
             106           12.43           7.266
             107           69.97           7.684
             108          -41.69           5.639
             109          -2.199           7.528
             110           33.99           7.415
             111           80.79           7.423
             112           -38.8            6.09
             113          -54.28           5.734
             114        -0.03894           5.783
             115           40.46             7.7
             116          -66.55            5.95
             117          -23.88            5.59
             118           16.93           5.787
             119           64.73           7.696
             120          -52.99           5.752
             121          -21.51           5.825
             122           29.94               6
             123           80.44           7.745
             124          -38.76            5.52
             125          -7.623           5.849
             126            33.8            6.26
             127           126.4            9.51
APV               20              11               7               1
               0           148.7           38.33
               1           -27.8           33.99
               2           -19.3            31.4
               3          -25.14           30.93
               4          -195.1           11.17
               5          -79.54           9.645
               6          -18.19             9.1
               7           31.97           9.472
               8          -48.09           7.618
               9          -2.209           11.29
              10           23.41           6.358
              11           72.92           13.66
              12          -63.06           7.962
              13          -10.47           7.408
              14           41.48           7.852
              15           69.99           11.96
              16          -58.29           7.329
              17          -46.77           6.748
              18          -34.18           7.207
              19            40.9           7.442
              20          -71.78           7.295
