#Tue Feb 14 17:27:58 2023
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           128.7           36.57
               1          -35.53           32.64
               2          -25.41            30.6
               3          -4.593           30.02
               4          -198.8           9.814
               5          -88.88           7.988
               6          -19.74           8.781
               7           37.11           7.994
               8          -67.83           5.926
               9          -15.81           9.173
              10          0.9795           7.283
              11           59.31           7.871
              12           -42.5            6.55
              13          -19.04           6.077
              14           31.46           7.233
              15           72.53           8.066
              16          -47.34            5.91
              17          -56.68           6.022
              18             7.8           6.542
              19           50.99           6.496
              20          -80.24            5.97
              21          -30.38           6.261
              22            5.71           5.819
              23           52.73           6.542
              24          -51.47           5.406
              25          -17.88           6.797
              26           21.25           5.905
              27           62.27           7.111
              28          -36.76           5.959
              29          -10.81           6.279
              30            25.5           6.076
              31           89.24           7.706
              32          -38.69           6.115
              33          -42.22           6.174
              34          -6.356           6.943
              35           42.16           7.776
              36          -55.41           6.113
              37          -38.85           5.955
              38           9.095            7.22
              39           69.67           7.929
              40          -40.64           5.688
              41          -37.86            6.39
              42           21.68           7.721
              43           79.68           8.211
              44          -36.37           6.193
              45           8.458           6.311
              46           39.59           7.206
              47           73.71           6.204
              48          -65.17            6.07
              49          -41.39           6.196
              50          -6.579           6.066
              51            33.9           6.352
              52          -60.45           5.871
              53          -37.26           6.071
              54            1.74           5.708
              55           64.05           6.584
              56          -53.24           5.704
              57          -9.031           6.311
              58           8.981           6.019
              59            82.6           6.368
              60          -34.33           6.467
              61           5.047           7.056
              62           31.71           5.842
              63           74.26           6.555
              64          -66.66           6.017
              65          -27.99           7.617
              66           9.987           7.279
              67           58.99           7.322
              68           -67.9           6.036
              69             -44           7.955
              70           4.608           6.987
              71           50.89           6.103
              72          -69.94           6.176
              73          -31.06            8.35
              74           9.413           6.691
              75           79.76           6.379
              76          -34.49           5.637
              77           3.905           6.216
              78           37.21           6.564
              79           82.16           6.469
              80          -41.38           6.082
              81          -34.65           5.685
              82           15.37            5.54
              83            38.1           5.936
              84          -53.65           5.989
              85          -50.64           5.508
              86          0.5423            5.32
              87           39.42           6.802
              88          -39.84             5.8
              89          -31.97           5.566
              90           17.56           5.474
              91            58.9           6.704
              92          -39.19           5.509
              93          -16.93           5.598
              94           39.35           5.571
              95           90.44           6.466
              96          -55.79            6.11
              97          -40.44            5.55
              98           12.56           7.229
              99           62.39           7.796
             100          -47.37           6.107
             101          -17.05           5.888
             102           15.45           6.959
             103            57.7           6.407
             104          -34.47           6.341
             105          -22.47           9.229
             106           12.48           6.816
             107              70           6.544
             108          -40.68           5.527
             109          -2.422           7.207
             110           33.62           7.018
             111           80.52           6.282
             112          -38.28           6.009
             113          -53.75           5.508
             114         0.09415           5.438
             115            40.4           6.639
             116          -65.51           5.794
             117          -23.83           5.375
             118           16.81           5.328
             119            64.4           6.635
             120          -52.41            5.61
             121          -21.32           5.499
             122           30.02           5.562
             123           80.51           6.615
             124          -37.75           5.412
             125          -7.702            5.56
             126           33.62           5.891
             127           126.2           9.004
APV               20              11               7               1
               0           149.6           37.69
               1          -27.02            33.6
               2          -19.66           31.21
               3          -25.57           30.52
               4          -195.3           11.02
               5           -79.7           8.993
               6          -18.29           8.518
               7           32.03           9.362
               8          -49.03           7.132
               9          -2.641           10.42
              10           23.78           6.315
              11           72.61           13.42
              12          -63.42           7.504
              13          -9.925           6.767
              14           41.51           7.288
              15           70.33           12.06
              16          -58.46           7.041
              17          -47.35            6.45
              18          -33.93           6.475
              19           40.64           6.872
              20          -72.19           7.074
              21          -17.34           6.524
              22           -5.49           6.196
              23           53.85           6.925
              24          -56.48            6.65
              25          -20.01           6.352
              26           8.962           6.211
              27              72           9.917
              28          -39.71           6.403
              29          -23.49           6.202
              30           14.73            6.46
              31            81.3           10.97
              32           -68.1           7.077
              33          -37.24           6.883
              34           2.913           6.882
              35           36.17           7.701
              36          -63.23           7.162
              37          -28.57           6.366
              38           17.41           7.085
              39           56.38           11.87
              40          -60.71           7.292
              41          -7.635           6.794
              42           23.16            7.61
              43           80.98           15.09
              44          -29.09           7.107
              45          -6.031           8.229
              46           10.45           7.324
              47           74.72           7.216
              48           -55.8           7.066
