#Thu Sep  2 12:33:29 2021
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           96.34           37.45
               1          -27.66           33.87
               2          -18.28           31.23
               3          -1.619           30.61
               4          -205.3           10.09
               5           -61.2           9.618
               6          -18.76           9.463
               7           36.44           8.061
               8          -79.21           6.508
               9          -31.71           8.477
              10            14.7           7.502
              11           73.94            7.88
              12          -87.98           7.234
              13          -21.12           8.613
              14           35.76           7.194
              15           82.84           7.916
              16          -73.32           6.231
              17          -47.71               9
              18          -11.41           7.984
              19            58.3           6.452
              20            -102           6.417
              21          -46.12            9.45
              22           1.364           6.248
              23           71.89           6.238
              24          -68.68           6.338
              25          -18.06            9.78
              26           31.64           6.065
              27           79.78           6.947
              28           -75.5            6.29
              29          -8.027           10.15
              30           39.15           6.051
              31            81.4           7.351
              32          -82.51           6.306
              33          -54.72           9.029
              34           19.27           7.306
              35            44.9           7.646
              36           -97.9            6.38
              37          -54.77           8.679
              38           17.04           7.505
              39           68.61           7.814
              40           -75.5           6.714
              41           3.762            8.78
              42           48.82           8.006
              43           72.63           8.111
              44           -63.6           7.288
              45           14.51            8.68
              46           54.37           6.984
              47           102.3           8.491
              48          -76.58           6.149
              49          -19.91           9.116
              50           32.29            7.18
              51           48.26           6.191
              52          -67.66           6.218
              53          -29.83           9.525
              54           24.43           6.179
              55           69.57           6.173
              56          -73.58           6.123
              57          -9.322           9.703
              58           33.84           6.279
              59           73.07           6.953
              60          -48.52           8.496
              61          0.4839           10.55
              62           49.74           5.867
              63           112.7           8.071
              64          -63.36           6.124
              65          -55.57           5.977
              66           5.535           8.321
              67           54.05           7.659
              68          -76.65           6.205
              69          -10.26           5.975
              70           16.05            7.64
              71           48.16           7.357
              72          -63.29           6.388
              73         -0.7252           6.131
              74           16.25           7.134
              75            66.7             7.8
              76           -33.5           6.272
              77          -28.27            6.34
              78           20.02           6.773
              79             114           8.416
              80          -79.82            6.05
              81          -58.68           5.887
              82          -16.41           6.535
              83           43.29           6.027
              84             -77           6.156
              85          -35.12           6.029
              86           1.364           5.872
