#Mon Aug 21 12:45:07 2023
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           124.7           36.89
               1          -32.87           33.19
               2          -25.91           31.24
               3          -5.463           30.83
               4          -200.2           10.03
               5          -86.13           8.789
               6          -20.77           9.923
               7           35.05           9.411
               8          -67.66           6.447
               9          -13.18           8.024
              10          -1.761            8.45
              11           57.63           9.249
              12           -40.5           7.514
              13          -17.69           7.827
              14           28.69           8.451
              15           65.55           8.056
              16          -48.54           6.269
              17          -54.54           8.274
              18           6.148           7.283
              19           49.02           7.737
              20          -81.42           6.348
              21             -28           8.007
              22            4.31           6.876
              23           51.48           7.933
              24          -50.12           7.292
              25          -15.94           8.917
              26           18.88           7.061
              27           61.13           8.694
              28          -34.09           7.346
              29          -9.942           8.019
              30           22.45           7.171
              31            88.5           9.262
              32          -38.79           6.484
              33          -39.66           7.994
              34          -7.885             8.1
              35           40.01             9.1
              36          -56.05           6.558
              37          -36.67           7.939
              38           7.539           8.333
              39           68.48           9.204
              40          -39.49           7.557
              41          -36.14           8.589
              42           19.16           8.863
              43           72.93           8.203
              44          -34.61           7.796
              45           10.36            8.22
              46            36.5           8.093
              47           72.51           8.339
              48          -65.72           6.247
              49          -39.23            8.06
              50          -8.558           6.952
              51            31.9           7.779
              52          -60.45           6.419
              53          -35.12           7.953
              54         -0.2246           6.773
              55           62.78           7.994
              56          -51.98           6.549
              57          -7.284           8.248
              58             6.2           7.105
              59           80.78           8.537
              60          -32.16           8.866
              61           6.144           9.244
              62           29.08           6.832
              63           73.29           8.607
              64          -67.28           6.255
              65          -24.09            6.38
              66           11.48           8.386
              67           58.07           7.543
              68          -67.57           6.337
              69          -40.72           6.124
              70           5.423           7.901
              71            49.5           8.011
              72          -68.26           6.282
              73          -28.73           6.737
              74           8.051           7.801
              75           78.69           8.264
              76          -31.08           5.869
              77           5.739           7.035
              78           35.56           7.595
              79           81.41           8.347
              80          -41.48           6.367
              81          -31.75           6.242
              82            16.9           6.217
              83           36.59           7.155
              84          -52.98            6.61
              85           -48.5           6.091
              86          0.6965           6.233
              87           38.02           8.451
              88          -37.13           6.065
              89          -30.47           6.099
              90            16.3           6.349
              91           57.79           8.388
              92          -36.13           5.864
              93          -16.53           6.233
              94           38.42           6.678
              95            89.9           8.297
              96          -56.02            6.41
              97          -37.55           6.152
              98           13.39           8.191
              99           61.57           8.979
             100          -46.43           6.626
             101          -13.72           6.476
             102           15.47           7.992
             103           56.17           8.192
             104          -31.46           6.553
             105          -20.77           7.686
             106           10.85           8.002
             107           68.76           8.444
             108          -37.49           5.894
             109         -0.9126           8.074
             110           32.32           8.078
             111           79.13           8.307
             112          -38.02           6.278
             113          -51.71           6.047
             114          0.7069           6.229
             115           39.72           8.359
             116          -64.81           6.066
             117             -21           5.905
             118           16.33           6.256
             119           63.78           8.422
             120          -50.01           5.986
             121          -19.98           6.235
             122           28.91           6.687
             123           79.74           8.324
             124          -34.55           5.795
             125          -6.921            6.15
             126           32.03             7.1
             127           120.3           8.191
APV               20              11               7               1
               0           145.3           38.26
               1          -27.26           34.09
               2          -18.69           31.96
               3          -24.38           31.36
               4            -199           11.48
               5          -79.43           9.857
               6          -18.34           9.713
               7           32.31           13.24
               8          -51.04             8.4
               9          -1.779           9.465
              10           24.49           11.19
              11           72.48           13.78
              12          -65.89           8.967
              13          -10.07           9.612
              14           41.43           8.407
              15           70.95           15.18
              16          -60.49           7.575
              17          -47.63           7.793
              18          -34.69           7.627
              19            40.4           8.038
              20          -75.85           7.819
              21          -16.82           8.521
              22          -5.733           7.437
              23           53.56           7.966
              24          -58.54           7.713
              25          -20.25           8.838
              26           8.744           7.084
              27           72.14           11.83
              28           -41.3           7.597
              29          -24.63           9.051
              30           14.13           7.294
              31           81.26           12.16
              32          -70.93           7.863
              33          -37.05           8.825
              34           3.209           8.527
              35           35.75           9.116
              36          -66.24           8.177
              37          -28.55           8.652
              38           17.62           8.316
              39           56.61           14.36
              40          -63.72           8.535
              41          -7.581           9.804
              42           22.79           8.625
              43           80.91           15.79
              44          -30.53           8.627
              45          -6.571           10.32
              46           9.332           8.447
              47            75.5           10.83
              48          -57.87           7.937
              49          -40.92           8.213
              50          -4.191           7.581
              51           46.58           7.839
              52          -71.22           7.408
              53          -21.94           8.373
              54           19.21           7.295
              55           51.92           10.17
              56          -48.87           7.692
              57          -15.36           8.835
              58           26.37           7.396
              59           76.39           14.16
              60          -30.66           7.734
              61          -20.49           9.109
              62           16.99           11.32
              63           75.56           10.93
              64          -71.48           8.132
              65          -29.05           7.341
              66           5.546           7.213
              67            57.3           8.207
              68           -60.7            7.64
              69           -21.1           6.895
              70           5.839           7.646
              71           57.67           11.15
              72          -37.41           7.775
              73         -0.7886           7.052
              74           6.308           11.33
              75           77.66           13.04
              76          -47.18           7.231
              77          -29.07           6.823
              78           25.38           7.235
              79           98.77           14.17
              80          -67.18           7.634
              81          -42.54           6.874
              82           2.909           6.615
              83           39.75           7.122
              84          -44.46           7.531
              85          -23.22           6.981
              86           11.59           6.609
              87           65.33           10.12
              88          -47.68           6.805
              89          -18.46           7.021
              90            22.7           6.157
              91           58.29           8.548
              92          -43.34           6.528
              93          -10.65           7.047
              94           13.48           6.394
              95           101.9           10.72
              96          -58.01           8.166
              97          -28.03            6.84
              98           8.382            7.62
              99           48.95           19.56
             100          -48.01           7.433
             101          -41.26           6.719
             102           16.14           7.512
             103           63.83           13.02
             104          -43.54           7.826
             105          -21.18           7.658
             106           39.16           7.477
             107           76.63           9.969
             108          -60.79           6.959
             109          -11.85           7.952
             110           16.81           7.822
             111           84.12            10.7
             112           -48.6           7.705
             113          -17.48           6.867
             114           -8.96            6.64
             115           45.97           7.189
             116          -57.38           7.089
             117          -19.59           6.833
             118            9.79            6.21
             119           70.26           9.272
             120          -55.05            6.78
             121          -19.78           6.868
             122           23.57           12.26
             123            78.5           14.18
             124           -48.5           6.498
             125          -26.74           6.833
             126           54.69           7.003
             127             155            10.8
APV               20              11               7               2
               0             142           35.13
               1           6.508           30.46
               2         -0.3535           27.83
               3           -20.3            26.9
               4          -147.2           10.42
               5          -48.36           8.708
               6          -16.98           8.464
               7          -18.58           7.386
               8          -22.94           7.274
               9          -23.99            8.36
              10           13.63           6.962
              11           6.692           7.626
              12          -36.15           8.318
              13          -27.43            8.98
              14           37.49           6.856
              15            13.9           7.852
              16          -22.65           7.263
              17           -18.8           7.157
              18          -15.74           7.974
              19           26.04           6.835
              20           -31.9           7.407
              21          -22.81           7.687
              22          -1.143           6.934
              23           11.21           6.687
              24          -9.477           6.974
              25          -13.04            8.04
              26           21.44           6.549
              27           31.57           19.78
              28          -19.43           7.928
              29          -16.45           9.251
              30           8.837            6.65
              31            23.5           7.722
              32          -50.88           7.318
              33          -15.21           7.588
              34            6.97           6.677
              35          -3.768           6.898
              36          -33.92           7.699
              37           -27.5           7.985
              38           9.502           6.946
              39           18.63           7.428
              40          -4.009           7.744
              41          -10.09           8.557
              42           28.23           7.559
              43           13.45           7.935
              44          -7.598           7.752
              45          -2.195            10.3
              46           15.72           6.772
              47            32.7           8.761
              48          -29.49           6.954
              49          -7.177           7.213
              50           2.359            7.07
              51          -2.419           6.403
              52          -24.93           7.178
              53          -20.99           7.927
              54           2.144           6.596
              55           4.612           6.553
              56          -22.52           6.898
              57          -7.831           8.544
              58           31.39           6.569
              59           29.06           7.383
              60         -0.6073           6.988
              61          -27.53           9.274
              62           14.01           6.341
              63           39.49           8.422
              64          -9.308           7.192
              65           -15.3           6.428
              66           26.95           8.714
              67            14.4           7.005
              68          -16.87           7.437
              69          -13.32           6.185
              70           25.18           7.762
              71          -11.77           6.869
              72          -29.27           7.187
              73          -16.83           6.229
              74           11.36           6.969
              75           19.76           7.703
              76          -18.49           6.491
              77          -37.49           6.578
              78          0.6602           6.347
              79           32.05            8.51
              80          -37.28           7.109
              81          -15.88           6.949
              82          -2.881           9.628
              83           33.57           6.246
              84          -25.76           7.247
              85          -1.326           6.797
              86           32.29           6.009
              87           27.07           6.466
              88          -22.06           6.843
              89          -22.33           6.512
              90           11.14           5.855
              91            25.6           7.477
              92          -28.33           6.508
              93          -9.479           6.541
              94            22.2           5.767
              95           31.06           8.286
              96          -23.69           7.267
              97          -1.349           6.193
              98           2.183           8.198
              99           35.85           7.604
             100          -39.34           7.176
             101           -11.9           6.354
             102           15.51           7.284
             103           19.52           7.002
             104          -30.03           7.377
             105           -6.69            7.41
             106           21.54           6.965
             107           14.44           8.027
             108           -7.15           6.303
             109           5.747           7.623
             110           37.59           6.717
             111           67.85           9.149
             112          -22.81           6.902
             113          -9.645           6.619
             114           18.55           6.556
             115           14.59           6.273
             116          -34.12            6.94
             117          -4.122            6.64
             118           21.51           5.871
             119            23.8           6.482
             120          -7.144           7.026
             121           2.576           6.258
             122           40.49           5.966
             123           36.36           7.831
             124           -7.12           6.468
             125          -1.885           6.328
             126           26.53           6.143
             127           64.83           9.312
APV               20              11               7               3
               0           127.4           35.43
               1          -38.51           31.15
               2          -2.087           29.39
               3          -4.448           28.38
               4          -202.4           24.52
               5          -77.83           8.278
               6           5.007           8.416
               7           32.76           8.483
               8           -65.1           7.608
               9           -46.4           7.179
              10           17.62           7.232
              11           49.23           8.364
              12          -42.21           8.267
              13          -24.07           6.768
              14           52.79           7.385
              15           70.97           8.728
              16           -18.1           8.225
              17          -31.07           7.249
              18            -1.3           7.847
              19           45.89           16.09
              20          -88.77           8.117
              21          -29.58           7.092
              22           14.67           6.667
              23           62.45           7.034
              24          -59.72           7.462
              25           -31.2           6.916
              26           31.06            6.53
              27            55.9           7.581
              28          -46.66           7.067
              29          -38.17             6.8
              30           41.19           6.616
              31           64.13           8.272
              32          -68.04           7.867
              33          -44.76           7.026
              34           8.734           6.928
              35           49.05           8.217
              36          -59.33           7.879
              37          -48.41           6.646
              38           24.95           6.908
              39           61.59           8.373
              40          -46.74           7.854
              41          -41.19           6.834
              42           30.74           7.691
              43           55.59           8.847
              44          -47.58           7.399
              45          -24.48           8.352
              46           36.32           7.377
              47            80.2           9.614
              48          -49.66           7.845
              49          -45.71           6.965
              50          -12.74           7.362
              51           28.16           7.512
              52          -78.56           7.818
              53          -40.84           6.951
              54           27.05           6.506
              55           54.67           6.859
              56          -60.99           7.282
              57          -34.73           6.716
              58           28.47           6.701
              59           63.57           7.824
              60           -26.1           6.903
              61          -19.37           6.634
              62           39.82           6.527
              63           47.93           9.068
              64          -57.53           7.746
              65          -25.66           6.983
              66           5.484           7.017
              67            61.2            8.14
              68          -64.22           7.722
              69          -29.93           6.705
              70           8.612           7.096
              71           49.19            8.06
              72          -39.92           7.885
              73          -37.81           6.708
              74           35.47           7.053
              75           46.04           8.473
              76          -30.66           7.177
              77         -0.1674           7.264
              78           41.89           7.043
              79           76.21           9.636
              80          -55.23           7.696
              81          -23.45           6.879
              82           11.26           6.715
              83           56.44           8.528
              84          -46.22            7.97
              85          -28.63            6.88
              86           10.59           6.299
              87           56.98           7.084
              88           -63.9           7.201
              89          -32.01            6.84
              90           33.57           6.222
              91           52.96           7.804
              92          -35.35           6.858
              93             -12           6.917
              94           67.37           6.305
              95            85.7            9.42
              96          -37.64           7.865
              97          -28.76           6.599
              98           1.153           7.551
              99           51.32            8.52
             100          -53.48           7.803
             101          -31.69           6.625
             102           35.47           7.137
             103           39.05           7.969
             104          -41.64            7.88
             105          -21.28           8.028
             106           30.68           7.147
             107           52.54           8.959
             108          -52.19           6.868
             109          -24.59           8.187
             110           63.09           7.808
             111           81.87           10.38
             112          -62.93           7.498
             113          -21.04            6.88
             114              16           6.634
             115           48.51           14.26
             116          -63.13           7.776
             117          -30.86           6.704
             118            31.8           6.156
             119           60.68            6.94
             120          -59.43           7.126
             121          -26.62             6.7
             122           44.43           6.308
             123           69.69           8.357
             124           -43.7           6.606
             125          -12.68           6.964
             126           61.88           6.787
             127           96.71           10.51
APV               20              11               7               4
               0           172.9           40.62
               1          -5.943            35.2
               2          -8.049           33.21
               3          -45.77           32.83
               4          -189.8           11.04
               5          -50.63           7.945
               6           -2.06           9.669
               7           1.814           7.297
               8          -41.42           6.727
               9          -9.471            6.25
              10          -8.615           6.867
              11           42.61           7.319
              12          -48.49           7.282
              13          -10.27           6.165
              14           13.87           6.863
              15            46.1           7.443
              16          -20.74           7.217
              17          -29.95           6.286
              18           16.67           10.26
              19           13.38           6.573
              20           -52.9           7.127
              21          -14.76           6.565
              22           10.77           7.089
              23           12.51            6.15
              24          -52.31           6.465
              25          -6.659           6.281
              26           23.56           6.474
              27           33.63           6.699
              28          -49.83           6.284
              29          -12.97            6.75
              30           16.44           6.254
              31           49.74           7.172
              32          -38.39           7.098
              33           -10.3            6.61
              34           13.21           7.021
              35              26            7.33
              36          -57.81           7.102
              37          -7.609           6.249
              38           9.489           7.524
              39           23.27           7.136
              40          -48.09           6.916
              41          -11.91            6.19
