#Fri Sep  1 10:26:52 2023
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           127.2           37.03
               1          -33.75           33.18
               2          -25.36            31.2
               3          -4.831           30.84
               4          -199.8           9.934
               5          -87.23           8.736
               6          -19.97           9.779
               7           36.52           9.076
               8          -67.29           6.175
               9          -13.66           8.026
              10         -0.5256           8.322
              11           58.18           9.079
              12           -41.1           7.097
              13          -18.21           7.716
              14           29.93           8.273
              15           64.51           7.981
              16          -48.48           6.209
              17           -55.7           8.098
              18           6.926           7.128
              19           50.21           7.355
              20          -80.37           6.279
              21           -28.6           7.953
              22           5.359           6.733
              23           52.25           7.605
              24          -50.75           7.171
              25          -16.73           8.814
              26           20.14           6.774
              27            61.3           8.432
              28          -35.22           6.755
              29          -9.989           8.025
              30           23.89           7.041
              31           88.43           9.149
              32          -38.49           6.492
              33          -40.78           7.845
              34          -7.147           7.987
              35           41.15            8.83
              36           -55.2           6.477
              37          -37.46           7.826
              38           8.389           8.257
              39            69.3           8.851
              40          -40.26           7.479
              41          -36.76           8.496
              42           20.35           8.794
              43           72.26            8.12
              44          -35.72           7.455
              45           10.04           8.057
              46           37.94           8.051
              47            71.9           8.177
              48             -65           6.256
              49          -40.15           7.946
              50          -7.753           6.718
              51              33           7.442
              52          -59.65           6.167
              53             -36           7.877
              54          0.4976            6.63
              55           63.75           7.742
              56          -52.25           6.208
              57          -7.667           8.157
              58           7.447           6.929
              59           80.12           8.372
              60          -33.43            8.73
              61           5.825           9.164
              62            30.5           6.683
              63           72.32           8.484
              64          -67.15           6.166
              65          -25.41           6.426
              66           11.88            8.54
              67           58.06           7.369
              68          -67.83           6.389
              69          -41.37           6.188
              70           5.813           7.995
              71           49.09           7.851
              72          -69.37           6.358
              73           -28.6           6.779
              74            8.96           7.856
              75           78.07           8.121
              76          -32.91           5.885
              77           6.103           7.052
              78           36.21           7.734
              79           80.37           8.245
              80          -41.24           6.415
              81          -32.45           6.213
              82           17.03           6.225
              83            37.4           7.124
              84           -52.9           6.597
              85          -49.18           6.046
              86           1.036           6.274
              87           37.78           8.353
              88          -38.35            6.04
              89          -30.37           6.068
              90           17.12           6.504
              91           56.96           8.285
              92          -37.77           5.865
              93          -15.75           6.131
              94           39.04           6.665
              95           89.08           8.244
              96          -56.21           6.351
              97          -38.53           6.073
              98           14.12           8.287
              99           62.15           9.025
             100           -46.8           6.647
             101           -14.2           6.525
             102           16.03           8.063
             103           55.76           8.023
             104          -32.94            6.58
             105          -20.12           7.751
             106           12.07           7.983
             107           68.02            8.38
             108           -39.1           5.887
             109         -0.1519           8.081
             110           32.84           8.108
             111           78.27           8.197
             112          -38.39           6.251
             113          -52.54           6.074
             114             1.1           6.171
             115           39.47            8.25
             116           -65.2           6.131
             117          -21.37            5.83
             118           16.98            6.27
             119           63.19           8.329
             120           -51.2           6.033
             121          -19.53            6.16
             122           29.92           6.616
             123           78.87           8.212
             124          -36.28           5.803
             125          -6.458           6.124
             126           32.99           7.067
             127           119.9            8.07
APV               20              11               7               1
               0           147.1           38.39
               1          -26.22           34.01
               2           -18.8           31.86
               3          -24.41           31.37
               4          -198.4           11.41
               5           -78.8           9.044
