#Wed Sep 20 15:02:33 2023
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           123.8           37.26
               1          -35.65           33.38
               2           -25.2           31.35
               3          -4.213           30.86
               4          -199.5           9.975
               5          -87.57           8.872
               6          -20.51            9.88
               7           37.15           9.218
               8           -67.4           6.181
               9          -14.27           8.126
              10          -1.141           8.476
              11           59.34           9.117
              12          -41.51           6.996
              13          -18.54           7.863
              14           29.99           8.365
              15           64.69           8.124
              16          -48.02           6.281
              17          -56.47           8.254
              18           6.636           7.201
              19           50.58           7.592
              20          -80.46           6.298
              21          -28.96           8.054
              22           4.479           6.837
              23           53.22           7.741
              24          -51.17           7.334
              25          -17.28           8.988
              26           19.63            6.88
              27           62.49           8.535
              28          -35.19           6.497
              29          -10.56           8.088
              30           23.88           7.112
              31           89.45           9.287
              32          -38.31           6.421
              33          -41.19           8.046
              34          -7.611           8.092
              35           41.39           8.865
              36          -55.26           6.373
              37          -38.37           7.947
              38           7.837           8.429
              39            70.5           8.982
              40          -40.51           7.602
              41          -37.52           8.603
              42           19.99           8.822
              43            72.6           8.235
              44          -35.95           7.232
              45           9.626           8.211
              46           37.57            8.07
              47           71.75           8.279
              48          -64.95           6.182
              49          -40.87           8.041
              50          -8.159           6.869
              51           33.45           7.627
              52          -59.43           6.187
              53          -36.45           8.017
              54       -0.008802           6.687
              55           64.89           7.808
              56          -52.18            6.01
              57          -8.043           8.324
              58           7.138            7.09
              59           80.52           8.518
              60          -34.28           8.853
              61           5.416           9.296
              62           30.26           6.733
              63           72.43           8.626
              64          -67.11           6.294
              65          -24.54           6.473
              66           11.17            8.52
              67           57.94           7.494
              68          -67.55           6.376
              69          -41.15           6.163
              70           5.103           7.951
              71           49.29               8
              72           -69.5           6.402
              73          -28.51           6.793
              74            8.82           7.882
              75           78.27           8.244
              76          -32.44           5.968
              77           6.512           7.063
              78           36.41           7.667
              79           80.47           8.312
              80          -41.06           6.369
              81          -31.66           6.269
              82            16.5           6.287
              83           37.86           7.191
              84          -52.22           6.667
              85          -48.69           6.097
              86           0.575           6.303
              87           38.06           8.486
              88          -37.69           6.088
              89          -30.36           6.147
              90           17.06            6.52
              91              57            8.41
              92          -37.41           5.948
              93          -16.45           6.129
              94           39.44           6.686
              95           89.21           8.346
              96          -55.42           6.448
              97          -37.88           6.151
              98           13.43           8.303
              99           62.82           9.144
             100          -46.21           6.697
             101          -13.54           6.559
             102           15.61            8.12
             103           56.02           8.199
             104          -32.19             6.6
             105          -20.36           7.792
             106           11.48           8.033
             107           67.99           8.437
             108          -38.77           5.882
             109         -0.6385           8.175
             110           33.08           8.221
             111           78.16            8.25
             112          -37.44             6.3
             113          -51.99           6.111
             114            0.43            6.22
             115           39.83           8.359
             116          -64.75           6.125
             117          -20.64            5.94
             118           16.54           6.338
             119           63.62           8.398
             120          -50.83           6.077
             121          -19.55           6.199
             122           29.86           6.695
             123           79.17           8.334
             124          -35.51           5.762
             125            -6.6           6.145
             126           33.29           7.062
             127             120           8.133
APV               20              11               7               1
               0             152           35.13
               1          -18.11           30.14
               2          -10.68           27.78
               3           -15.1           27.04
               4            -182           10.63
               5          -76.66           8.382
               6          -18.68           8.802
               7           31.32           11.01
               8          -51.16           7.683
               9          -3.135           7.753
              10           22.15           8.592
              11           72.54           13.58
              12          -65.41           8.032
              13          -10.47           7.434
              14           40.36           7.713
              15            69.1           13.16
              16          -59.55           7.443
              17          -47.38           7.029
              18          -35.94           6.922
              19           40.31           7.334
              20          -74.17           7.429
              21           -16.9           7.193
              22          -7.048           6.642
              23            53.3           7.308
              24          -57.54           7.221
              25          -20.91            7.19
              26           7.388           6.675
              27            71.1           9.965
              28          -40.68            6.94
              29           -25.5           7.063
              30           13.05           6.832
              31            80.2           10.72
              32          -70.03           7.556
              33          -36.96           7.524
              34            2.05           7.284
              35            35.4           8.151
              36          -64.54            7.66
              37          -28.54           7.065
              38           16.27           7.469
              39           56.76           12.94
              40          -62.71           7.783
              41          -7.975           7.825
              42           21.69           7.973
              43           80.72            15.4
              44          -29.57           7.476
              45          -7.406           8.679
              46           8.541           7.779
              47           73.56           9.237
              48          -56.76           7.523
              49          -40.86           7.085
              50           -5.49           6.794
              51           46.21           7.269
              52          -69.75           7.148
              53          -21.93           6.989
              54           18.08           6.653
              55            51.8           8.947
              56          -47.68           7.026
              57          -15.96           7.098
              58           25.35           6.923
              59           74.33           13.71
              60          -30.01           6.797
              61          -21.28           6.984
              62           16.05           9.031
              63           73.71            9.38
              64          -70.11           7.644
              65          -29.44            7.16
              66           4.415            6.68
