#Wed Oct 25 13:34:22 2023
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           127.8           37.22
               1          -33.77           33.39
               2          -27.71           31.13
               3          -6.346           30.72
               4          -198.9           9.942
               5          -87.25           9.338
               6          -22.58           9.852
               7           34.55           9.109
               8          -67.88           6.108
               9          -13.81           8.701
              10          -2.121           8.397
              11           57.25           9.002
              12          -42.35           6.858
              13          -17.85           8.403
              14           28.99           8.224
              15           66.12           8.768
              16          -47.09           6.247
              17          -55.59           8.795
              18           4.071           7.234
              19           48.43           7.468
              20          -80.54           6.176
              21          -28.68           8.622
              22           2.536           6.776
              23           50.63           7.574
              24          -50.82           7.834
              25          -16.64           9.576
              26            18.4           6.953
              27           60.56           8.261
              28           -36.4           6.486
              29          -9.749           8.605
              30           22.74           7.021
              31           87.84           9.026
              32          -37.65           6.356
              33           -40.7           8.534
              34          -9.993            8.12
              35           39.32           8.794
              36          -54.91           6.342
              37          -37.64           8.424
              38           5.908            8.26
              39           67.67           8.862
              40          -39.95           8.142
              41          -36.67           9.203
              42           19.26           8.787
              43            77.8           9.189
              44           -36.3           6.738
              45           10.28           8.428
              46           36.91           8.194
              47           73.53            8.83
              48          -64.57           6.221
              49          -40.18            8.73
              50          -10.42           6.864
              51           31.23           7.474
              52          -60.04           6.098
              53          -36.09           8.545
              54          -1.418           6.696
              55           62.11           7.673
              56          -53.32           6.045
              57          -7.296           8.843
              58           5.988           6.996
              59           82.51            8.93
              60          -33.64           9.479
              61           6.116           9.952
              62           29.31           6.691
              63           74.45           9.187
              64          -65.79           6.278
              65          -25.13           6.447
              66           11.04           8.545
              67           58.77           8.149
              68          -66.47           6.354
              69          -41.87           6.266
              70           5.265           7.896
              71           50.49           8.642
              72          -68.81           6.363
              73          -29.24           6.734
              74           8.973           7.754
              75           79.73           8.948
              76          -32.64           5.885
              77           6.088           6.933
              78           36.34           7.591
              79           82.22           9.015
              80           -39.9           6.354
              81          -32.49           6.224
              82           16.85           6.249
