#Sat Nov  4 21:20:11 2023
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           128.3           36.84
               1          -33.59           33.06
               2          -27.71           30.83
               3          -6.708           30.29
               4          -198.5           9.919
               5          -87.54           8.652
               6          -22.35           9.401
               7           34.81           8.819
               8          -67.84            6.03
               9          -14.27           8.109
              10          -1.714           7.951
              11           57.49           8.675
              12          -42.12           6.709
              13          -18.04            7.56
              14           28.92           7.829
              15           65.94           7.955
              16          -47.32           6.162
              17          -55.82           8.021
              18           4.652           6.877
              19           48.18           7.073
              20          -80.38            6.06
              21          -29.19           7.774
              22           2.984           6.339
              23           50.52             7.3
              24          -51.26           7.086
              25          -17.16           8.733
              26           18.55           6.466
              27           60.71           7.921
              28           -36.4           6.315
              29          -10.12           7.817
              30           22.82           6.632
              31           88.21           8.633
              32           -37.9           6.308
              33          -40.81            7.79
              34           -9.21           7.562
              35           39.46           8.492
              36          -55.22           6.279
              37          -37.83           7.717
              38           6.285           7.815
              39           67.55           8.595
              40          -40.48           7.334
              41          -36.81           8.298
              42           19.03           8.404
              43           78.28            8.83
              44          -35.64           6.402
              45           9.718           7.636
              46           36.89            7.75
              47            73.1           8.023
              48          -64.73           6.185
              49           -40.7           7.949
              50          -9.891           6.454
              51           31.01           7.061
              52          -60.14           6.079
              53          -36.47           7.644
              54          -1.278           6.302
              55           61.97           7.391
              56          -53.18           5.905
              57          -8.154           8.015
              58           6.045           6.544
              59           81.99           8.073
              60          -33.63           8.523
              61           5.634           9.061
              62           29.13           6.298
              63           74.08           8.315
              64          -65.69           6.128
              65          -24.74           6.364
              66           11.21           7.994
              67           58.26           9.199
              68          -66.43             6.3
              69          -41.13            6.21
              70           5.598           7.526
              71           50.21           7.798
              72          -68.19           6.257
              73           -28.2           6.647
              74           9.038           7.336
              75           79.37           8.124
              76          -32.39           5.707
              77           6.404           6.663
              78           36.27            7.25
              79           81.69           8.135
              80          -40.21           6.235
              81          -32.33           5.998
              82           16.76           5.911
              83           36.99           6.725
              84          -52.18           6.395
              85          -48.72           5.815
              86          0.9468           5.848
              87            38.8           8.401
              88          -38.05           5.944
              89          -30.02           5.851
              90              17           5.983
              91           58.26           8.328
              92          -37.24           5.751
              93          -15.15           5.871
              94           38.69           6.116
              95           90.46           8.102
              96          -54.36           6.295
              97          -38.12           5.866
              98           13.31           7.831
