#Tue Nov  7 13:31:19 2023
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           129.5           36.76
               1          -33.96           32.96
               2          -28.22           30.91
               3          -6.892           30.18
               4          -198.8           9.941
               5          -87.96           8.056
               6          -22.78           9.083
               7           34.47           8.595
               8             -68           6.096
               9          -14.67           7.354
              10          -1.849           7.606
              11           57.43           8.429
              12          -42.77           6.621
              13          -18.25           6.858
              14           29.09           7.529
              15           67.27           7.133
              16          -46.64           6.179
              17          -55.81           7.261
              18           3.842           6.703
              19           48.02           7.055
              20          -80.59           6.166
              21          -29.42           7.024
              22           2.237           6.143
              23           50.33           7.139
              24          -51.32           6.354
              25          -17.25           7.887
              26           18.48           6.218
              27           60.93           7.807
              28          -37.03           5.953
              29           -10.4           6.986
              30           22.62           6.443
              31           89.09           8.397
              32          -37.32           6.336
              33          -41.09           7.179
              34          -10.01           7.221
              35           38.88           8.198
              36          -55.34           6.308
              37          -38.16           6.962
              38           5.883           7.531
              39            67.4           8.422
              40          -40.64           6.668
              41          -37.04           7.649
              42           19.29           8.063
              43            78.6           8.716
              44          -36.74           5.977
              45           9.441           6.812
              46           36.61           7.571
              47           74.56           7.249
              48          -64.33           6.168
              49          -40.62           7.249
              50          -10.32           6.254
              51           30.87           6.945
              52          -60.42            6.07
              53          -36.73           6.896
              54           -1.67           6.051
              55           61.71           7.211
              56          -53.82           5.745
              57          -8.233           7.176
              58           6.154           6.314
              59           83.13           7.298
              60          -33.75           7.597
              61           5.381           8.216
              62           28.98           6.101
              63            75.5           7.505
              64           -65.4           6.174
              65          -25.31           6.144
              66           10.87           7.637
              67           58.94           6.657
              68          -66.48           6.187
              69          -42.04           5.923
              70           5.294           7.273
              71           51.03           7.102
              72           -68.3           6.271
              73          -29.44           6.283
              74           9.194           7.142
              75           80.55           7.341
              76          -32.32           5.738
              77           5.425           6.483
              78           36.77           6.935
              79           83.38           7.433
              80          -39.69           6.278
              81          -32.91           5.921
              82           16.14           5.738
              83           37.37           6.399
              84          -51.76            6.37
              85          -49.78           5.679
              86          0.6291           5.662
              87           39.79           7.573
              88          -37.98           5.874
              89           -31.1            5.76
              90           16.98           5.817
              91           59.57            7.51
              92          -37.76           5.657
              93          -16.35           5.718
              94           39.06           5.925
              95              92           7.367
              96          -53.96           6.271
              97          -38.76           5.622
              98           13.24           7.551
              99           62.57           8.186
             100          -45.43           6.345
             101          -15.25           5.919
             102           15.74           7.385
             103           58.05           7.288
             104          -32.39           6.413
             105          -21.14           7.411
             106           12.08           7.236
             107           70.74           7.501
             108          -38.52           5.662
             109         -0.7548           7.493
             110           32.95           7.432
             111           81.94           7.167
             112          -36.31           6.091
             113          -52.68           5.699
             114           0.434           5.664
             115           40.57           7.471
             116          -63.95           5.989
             117          -22.26            5.56
             118           16.72           5.708
             119           65.14            7.51
             120          -50.99           5.826
             121          -20.33           5.711
             122           29.61           6.032
             123           81.55           7.413
             124          -36.14           5.518
             125          -6.477           5.718
             126           32.91           6.346
             127           128.4           9.711
APV               20              11               7               1
               0             150            37.9
               1          -28.98           33.61
               2          -20.29           31.47
               3          -24.14           30.72
               4          -196.8              11
               5          -82.22             7.9
               6          -19.33           8.544
               7            33.2           11.26
               8          -50.46           7.212
               9          -3.978           7.272
              10           23.91           8.985
              11           73.79           13.48
              12          -66.27            7.58
              13          -11.86             6.6
              14           41.06           7.351
              15           70.29            13.2
              16          -59.12           7.212
              17          -49.89           6.445
              18          -35.19           6.526
              19           41.42           6.972
              20          -73.87           7.078
              21          -19.64           6.565
              22          -6.993           6.265
              23           54.34           6.986
              24          -58.52           6.788
              25          -22.27           6.456
              26           7.754           6.356
              27            73.1           10.23
              28          -42.41            6.42
              29          -25.54           6.402
              30            14.5           6.419
              31           81.79            10.8
              32          -69.04           7.171
              33           -39.5           6.842
              34           2.127           6.892
              35           36.74           7.707
              36          -64.69           7.242
              37          -30.81           6.347
              38            16.4           7.101
              39           57.38              13
              40           -63.5           7.302
              41          -9.428           6.697
              42           22.26           7.553
              43           81.46           15.11
              44          -31.69            7.11
              45          -7.676           7.971
              46           9.757           7.375
              47           76.09           9.313
              48          -56.64           7.144
              49          -43.33           6.502
              50          -5.574           6.434
              51           47.01           6.773
              52          -70.14           6.775
              53          -24.32           6.348
              54           18.06           6.157
              55           53.42           9.283
              56          -49.33           6.591
              57          -16.62           6.349
              58           25.52           6.597
              59           75.84           13.56
              60          -32.44           6.336
              61          -21.58           6.433
              62           17.15           9.439
              63           76.15           9.443
              64           -68.9           7.279
              65          -30.08           7.016
              66           5.287           6.687
              67           58.94           7.614
              68          -59.29           7.062
              69          -22.23            6.76
              70           6.024           7.039
              71           59.61           10.25
              72          -37.54            7.29
              73          -1.583           6.937
              74           6.405           9.296
              75           77.58           10.56
              76          -47.46            6.87
              77          -29.54           6.483
              78           26.47           6.725
              79           99.32           11.66
              80          -65.34           6.947
              81           -43.3            6.55
              82           3.131           6.203
              83            41.8           6.605
              84          -43.31           7.154
              85          -23.56           6.566
              86           12.03           6.051
              87           66.79           9.505
              88          -48.26           6.577
              89          -18.89           6.587
              90           22.96           5.871
              91           58.78           7.838
              92          -44.09            6.24
              93          -11.08           6.521
              94           14.79           5.934
              95           102.4           9.322
              96          -56.69           7.483
              97           -29.1           6.565
              98           8.906           7.092
              99           49.37           17.07
             100          -47.15           7.225
             101          -41.92           6.322
             102           16.28           6.894
             103           64.74           10.84
             104          -43.85           7.409
             105          -21.82           7.624
             106           39.78           6.983
             107           77.81           9.234
             108          -60.96           6.564
             109          -12.21           7.548
             110           18.55           7.124
             111           84.56           9.301
             112          -46.95           7.027
             113          -18.39           6.532
             114          -8.936           6.098
             115           47.62           6.483
             116          -56.44           6.683
             117          -20.17           6.274
             118           9.827           5.813
             119           70.89            8.65
             120          -55.51           6.491
             121          -19.97           6.368
             122           23.43            9.78
             123           79.05           11.48
             124          -48.92           6.207
             125          -26.76            6.31
             126           56.05           6.582
             127           155.3           9.394
APV               20              11               7               2
               0           145.6           34.89
               1           4.508           30.25
               2          -2.424           27.74
               3          -20.38           26.65
               4          -145.9           10.35
               5          -50.71           7.452
               6          -17.84           8.058
               7          -16.81           7.207
               8          -23.12           6.938
               9          -26.06           6.582
              10              13            6.78
              11           8.623           7.424
              12          -37.64           7.483
              13          -29.77           6.567
              14           37.65           6.723
              15           15.59           7.746
              16          -21.71           7.107
              17          -21.29           6.591
              18          -17.23           7.154
              19           26.75            6.56
              20          -31.07           7.122
              21          -25.05           6.369
              22          -2.191           6.382
              23           13.33           6.486
              24          -9.799           6.614
              25          -15.31           6.547
              26           21.07           6.195
              27           32.86           11.87
              28           -20.9           6.628
              29          -18.89           6.708
              30           8.534            6.38
              31           24.96           7.633
              32          -49.84           7.094
              33          -17.33           6.603
              34           5.987           6.469
              35          -2.126           6.738
              36          -32.79            7.34
              37          -29.51           6.139
              38           8.781           6.769
              39           20.75           7.302
