#Mon Nov 13 15:37:20 2023
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           126.8            36.9
               1          -35.17           33.48
               2          -27.64           31.01
               3          -5.976           30.46
               4          -199.2            9.99
               5          -87.71           9.379
               6          -21.76           9.774
               7           35.42           8.973
               8          -68.08           6.015
               9          -14.38           9.007
              10           -1.58           8.189
              11           57.85            8.91
              12          -42.26           6.648
              13          -17.91           8.453
              14           29.67           8.165
              15           66.01           8.825
              16           -47.8           6.196
              17          -55.91           8.865
              18           5.001           7.052
              19           48.92           7.417
              20          -80.67           6.231
              21          -29.03           8.612
              22           3.166            6.65
              23           50.89           7.682
              24          -50.75           7.895
              25          -17.05           9.665
              26           19.19            6.64
              27           61.47           8.164
              28          -36.14           6.156
              29          -10.01           8.656
              30           23.34           6.856
              31            88.8           9.011
              32          -38.45           6.377
              33          -40.95           8.612
              34          -9.077           7.913
              35           40.04           8.827
              36          -55.47           6.313
              37          -37.78           8.514
              38           6.619           8.143
              39            68.2           8.912
              40          -40.17           8.145
              41          -36.83           9.291
              42           19.52           8.578
              43           78.69           9.119
              44          -35.69           6.407
              45           9.655           8.461
              46           37.12            8.07
              47            73.3           8.884
              48          -65.56           6.246
              49          -40.75            8.83
              50          -9.511           6.638
              51           31.96           7.412
              52          -60.18           6.126
              53          -36.42           8.551
              54         -0.5285           6.545
              55           62.61           7.654
              56          -53.04           5.867
              57          -7.991            8.88
              58           6.656           6.816
              59           82.22           8.998
              60          -33.62             9.5
              61           5.772           10.04
              62           29.78           6.513
              63           74.13           9.303
              64          -66.65           6.221
              65          -25.19           6.578
              66           10.86           8.475
              67           58.12           9.191
              68          -67.07           6.522
              69           -41.5           6.462
              70           5.179           7.993
              71           50.49           8.578
              72          -68.86             6.3
              73          -28.61           6.834
              74           8.912            7.63
              75           79.54           9.033
