#Sun Mar 31 23:37:10 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           126.9           37.24
               1          -34.68           32.89
               2          -26.06           30.99
               3          -5.096           30.27
               4          -199.3           9.908
               5          -87.32           8.154
               6          -19.86           9.006
               7           34.79            8.19
               8          -67.42            6.01
               9          -13.66           10.71
              10         -0.6785           7.462
              11           57.01           8.045
              12          -40.64           6.545
              13          -18.05           5.605
              14           29.58           7.432
              15            64.6           5.292
              16          -48.03            6.22
              17          -55.77           5.659
              18           6.516           6.541
              19              49           6.662
              20          -80.36           6.056
              21          -28.96            5.55
              22           5.076           5.928
              23           50.58           6.809
              24          -50.14           4.863
              25           -17.1            6.14
              26           19.98           6.051
              27           60.71           7.372
              28          -34.51           5.831
              29          -10.56           5.632
              30           23.45           6.307
              31           87.95           8.066
              32          -38.87           6.332
              33          -41.05           5.678
              34          -7.308            7.18
              35           39.79           7.786
              36          -55.18           6.245
              37          -37.73           5.325
              38           8.531            7.36
              39           67.72           8.111
              40          -39.73           5.189
              41          -37.13            5.79
              42            19.9           7.947
              43           77.96           8.376
              44          -34.14           5.913
              45           9.961           5.997
              46           37.25           7.365
              47           71.96           5.519
              48          -65.41           6.232
              49          -40.54           5.591
              50          -7.413           6.092
              51           31.59           6.591
              52           -59.7            6.05
              53          -36.14           5.439
              54          0.8709           5.828
              55           61.98           6.819
              56          -51.81           5.659
              57           -7.96           5.634
              58           7.006           6.105
              59           81.05           5.629
              60          -32.88           5.758
              61           5.474           6.279
              62           29.59           5.978
              63           72.95           5.651
              64          -67.12           6.298
              65          -24.99           8.481
              66           11.96           7.577
              67           57.12           5.113
              68          -67.33           6.208
              69           -41.2           9.225
              70           6.373           7.126
              71           48.72           5.533
              72           -68.5           6.208
              73          -28.89           9.796
              74           9.461           6.883
              75           78.16           5.553
              76          -32.25           5.662
