#Wed Apr  3 18:37:56 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           123.2           37.09
               1          -33.68           32.95
               2          -26.19           31.22
               3          -5.999           30.41
               4          -200.8           10.01
               5          -87.59           8.148
               6          -20.34           9.178
               7           34.95           8.507
               8          -68.37           6.147
               9          -14.12            9.97
              10         -0.6047           7.753
              11           57.75           8.405
              12          -41.62           6.781
              13           -18.4           5.881
              14           30.15            7.75
              15           65.68           5.648
              16          -49.03           6.382
              17          -55.59           6.025
              18           5.967           6.725
              19           49.11           6.831
              20          -81.57           6.266
              21          -28.64           5.951
              22           5.013           6.177
              23           51.02           6.968
              24          -50.31           5.189
              25          -16.82           6.539
              26           20.49           6.201
              27           61.47           7.638
              28          -35.07           6.342
              29           -10.5           6.008
              30           23.83           6.495
              31           89.73           8.393
              32          -39.36           6.384
              33          -40.92           6.053
              34          -7.615           7.374
              35           40.11           8.142
              36          -56.16           6.358
              37           -37.7            5.75
              38            8.61           7.679
              39           68.18           8.334
              40          -39.72           5.535
              41          -37.13            6.22
              42           20.72           8.165
              43           78.88           8.507
              44          -35.06            6.38
              45           9.914           6.215
              46           37.66           7.624
              47           72.96           5.863
              48          -66.51           6.375
              49          -40.37           5.961
              50          -8.159           6.226
              51           31.84           6.817
              52          -60.43           6.205
              53          -36.16           5.784
              54          0.9887           6.005
              55           62.63           7.105
              56          -52.46           6.105
              57          -7.924            6.01
              58           7.365           6.348
              59           82.05           6.003
              60          -32.98           6.213
              61           5.753           6.742
              62           30.11           6.236
              63           74.06           6.067
              64          -67.91            6.27
              65          -24.95            8.06
              66            11.3           7.725
              67           57.91           5.541
              68             -68           6.285
              69          -41.71           8.574
              70           5.751           7.346
              71           49.73           5.833
              72          -69.12           6.265
              73          -29.43           9.071
              74           9.054           7.225
              75            79.2           5.923
              76          -32.45           5.781
              77           5.473           6.684
              78           36.49            7.06
              79           81.77           6.095
              80          -41.61           6.388
              81          -32.22           5.909
              82           16.85           5.675
              83           35.42           6.766
              84          -52.84           6.322
              85          -49.17           5.654
              86           1.001           5.555
              87           38.14           6.442
              88          -37.78           6.062
              89          -31.12           5.722
              90           17.14           5.709
              91           57.73           6.207
              92          -37.54           5.722
              93           -16.5            5.66
              94           38.87           6.006
              95            90.6           6.022
              96          -56.23           6.341
              97          -38.32           5.713
              98           13.95           7.643
              99           60.35           5.871
             100          -46.67            6.37
             101          -14.46           6.009
             102            15.8            7.16
             103           56.49           6.047
             104          -32.23           6.463
             105          -21.45           10.12
             106           11.68           7.279
             107              69           6.177
             108          -38.68            5.59
             109          -1.015           7.804
             110           32.59           5.546
             111           80.66           6.469
             112          -37.95           6.233
             113          -52.33           5.741
             114          0.8804           5.659
             115           39.57           6.108
             116          -64.99           6.037
             117          -21.48            5.51
             118           17.11           5.589
             119           63.88           6.201
             120          -50.77            5.83
             121          -20.26            5.62
             122           29.99           5.914
             123           80.03           6.104
             124          -35.65           5.604
             125          -6.931           5.667
             126           32.09           6.399
             127           129.4            9.72
APV               20              11               7               1
               0           145.2           38.36
               1          -25.52           33.96
               2          -19.43           31.96
               3          -25.93           31.22
               4            -198           11.16
               5          -78.82           9.635
               6          -19.13           9.055
               7           32.09           10.08
               8          -50.18            7.56
               9          -1.561           11.56
              10           23.66           7.354
              11           71.84           13.56
              12          -65.53           7.863
              13          -10.58           7.561
              14           40.41           7.843
              15           67.09           12.67
              16          -59.99           7.276
              17          -46.57           6.741
              18          -35.62           6.913
              19            40.2           7.383
              20          -74.77           7.269
              21           -16.3            6.83
              22          -6.648           6.778
              23           53.52           7.468
              24          -57.85           6.967
              25          -20.34           6.795
              26           7.185           6.712
              27           71.74           9.907
              28          -40.41           6.771
              29          -25.26            6.66
              30           12.39           6.864
              31           79.74           10.69
              32          -70.62           7.459
              33          -36.45           7.384
              34           2.318           7.493
              35           35.43           8.239
              36          -65.24           7.533
              37          -27.76           6.924
              38           16.54           7.608
              39           56.87           12.68
              40          -62.97           7.683
              41          -7.611           7.571
              42            21.7           8.063
              43           79.07           15.54
              44          -29.89           7.372
              45           -7.01           8.947
              46           7.901           7.771
              47           75.08           8.025
              48          -57.04           7.406
              49          -40.18           6.777
              50          -5.516           6.814
              51            45.7            7.15
              52          -70.27           6.963
              53          -21.29           6.664
              54           18.24           6.688
