#Mon Apr  8 17:51:14 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           130.1           36.78
               1          -33.56           32.75
               2          -26.75           30.77
               3           -6.27           30.06
               4          -198.1           9.852
               5          -87.72           8.459
               6          -20.64           9.094
               7           34.23            8.45
               8          -66.96           5.919
               9          -14.53           10.02
              10         -0.3098           7.764
              11           57.07           8.464
              12          -40.77           6.656
              13          -18.35           6.469
              14            29.7           7.702
              15           65.55           6.334
              16          -46.96           6.085
              17          -55.52           6.601
              18           5.719           6.623
              19           48.47           6.963
              20          -79.33           5.938
              21          -29.16           6.502
              22           4.662           6.164
              23           50.36           7.059
              24          -50.21           5.829
              25          -17.38           7.214
              26           20.04            6.37
              27           60.69           7.667
              28          -34.99           6.194
              29          -10.61            6.61
              30           23.43           6.576
              31           88.25           8.418
              32          -37.68           6.188
              33          -40.88           6.457
              34          -7.782           7.382
              35           39.48           8.186
              36          -54.69           6.171
              37          -37.95           6.274
              38           8.011           7.693
              39           67.13           8.388
              40          -39.72           6.087
              41          -36.96           6.853
              42           20.06           8.154
              43           78.28           8.586
              44          -34.47           6.579
              45           9.285           6.807
              46           37.42           7.701
              47           73.02           6.513
              48          -64.17           6.172
              49          -40.44            6.56
              50          -8.231           6.225
              51           30.97           6.751
              52          -59.34           5.992
              53          -36.43           6.394
              54          0.4894           6.146
              55           61.53           7.097
              56          -51.78           5.824
              57          -8.323           6.635
              58           7.452           6.427
              59           81.39           6.571
              60          -32.95            6.93
              61           5.306           7.379
              62           29.72           6.289
              63           73.88           6.708
              64          -65.48           6.065
              65          -25.51           8.069
              66           11.12           7.795
              67           56.68           6.126
              68          -66.84           6.147
              69          -41.75           8.533
              70           5.728           7.412
              71           48.98           6.469
              72          -68.55           6.122
              73          -29.11           9.247
              74           8.815           7.283
              75           78.88           6.546
              76          -32.42           5.706
              77           5.386           6.736
              78           35.97           7.132
              79           81.73           6.694
              80          -40.38           6.167
              81          -32.83            5.91
              82            16.8           5.825
              83           34.83           7.248
              84          -52.69           6.164
              85          -49.18           5.663
              86          0.9295           5.692
              87           37.91            6.98
              88             -38            5.96
              89          -30.67           5.839
              90           16.82           5.955
              91           57.94           6.772
              92          -37.41           5.649
              93           -16.1           5.774
              94           37.74            6.25
              95            90.3           6.622
              96           -54.4           6.201
              97          -38.59           5.788
              98           13.75           7.663
              99           59.44           6.522
             100          -46.12           6.206
             101           -15.1            6.15
             102           15.49           7.309
             103            56.2           6.663
             104          -32.14             6.4
             105          -20.79           9.919
             106           11.64           7.393
             107           69.01           6.784
             108          -38.49           5.683
             109          -1.001           7.763
             110           31.82            6.09
             111           80.46           7.202
             112          -37.01           6.027
             113          -52.18           5.738
             114          0.8557           5.732
             115           38.73           6.658
             116          -64.37           5.926
             117          -22.08           5.662
             118           16.47           5.848
             119           63.34           6.791
             120          -51.04           5.733
             121          -20.22           5.808
             122           29.06           6.132
             123            79.9           6.641
             124          -35.76           5.526
             125          -6.573           5.728
             126            31.5           6.641
             127           127.5           9.721
APV               20              11               7               1
               0           151.1           38.07
               1          -25.76           33.71
               2          -19.88           31.52
               3          -25.29           30.79
               4          -196.4            11.1
               5          -79.07           9.689
               6          -19.24           9.222
               7           31.36            9.75
               8          -49.78           7.724
               9          -2.258           11.64
              10           23.17           6.806
              11           70.89           13.51
              12          -63.94           8.019
              13          -10.81           7.771
              14              40            7.96
              15           67.32           12.55
              16          -58.39           7.289
              17          -46.92           6.885
              18          -34.36           7.191
              19           40.29           7.439
              20          -73.15           7.278
              21          -17.05           7.053
              22          -6.784           6.948
              23            52.6           7.472
              24          -57.05           7.118
              25           -20.7           7.067
              26           6.935           6.846
              27           70.72            10.2
              28          -39.98           6.866
              29          -25.27           6.986
              30           13.32           6.938
              31           79.37           11.11
              32          -68.49           7.442
              33          -36.64           7.614
              34           2.332            7.73
              35           35.06           8.359
              36           -64.3           7.625
              37          -28.31             7.2
              38           16.13           7.737
              39           55.54            12.5
              40          -61.69           7.763
              41          -8.324           7.999
              42           21.45           8.204
              43           79.76           15.39
              44          -28.98           7.418
              45          -7.116            8.94
              46           8.791           8.004
              47           75.01           7.368
              48          -55.83           7.454
              49          -40.61           7.087
              50          -5.197           7.037
              51           45.98           7.308
              52          -69.06           7.019
              53          -22.21           6.982
              54           17.73           6.845
              55           51.75           9.514
              56          -47.22           6.994
              57          -15.66           6.876
              58            24.8           7.061
              59           73.97           13.63
              60          -29.54           6.834
              61          -20.76           6.804
              62           16.48           9.269
              63           75.26           7.583
              64          -68.38           7.652
              65          -28.57           9.109
              66           4.974           6.495
              67           57.92           7.657
              68          -58.49           7.281
              69          -20.95           9.853
              70           5.405           6.931
              71           57.08           8.246
              72          -36.75           7.421
