#Wed Apr 10 16:39:40 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           125.7           36.88
               1          -34.76           33.08
               2          -27.46           31.12
               3          -6.059           30.46
               4          -198.8           9.993
               5          -87.74           9.098
               6          -21.55           9.487
               7           34.62           8.873
               8          -67.92           6.164
               9          -14.31           11.18
              10          -1.249           8.158
              11           58.02           8.825
              12          -42.35           6.932
              13          -18.52           7.178
              14           29.35           8.087
              15           66.86           7.062
              16          -46.79           6.217
              17          -55.73           7.215
              18           4.983           6.952
              19           48.13           7.274
              20           -80.3           6.143
              21          -29.17            7.14
              22           3.733           6.495
              23           50.59           7.404
              24          -50.75           6.417
              25          -17.28           7.929
              26           19.14           6.708
              27           61.65            8.03
              28          -36.62           6.517
              29          -10.84           7.247
              30           22.84           6.869
              31           89.96           8.846
              32          -37.48           6.324
              33          -41.02            7.01
              34          -8.635           7.865
              35           39.29           8.578
              36          -55.09           6.336
              37          -38.11           6.941
              38           7.125           8.046
              39           68.05            8.77
              40          -40.11           6.668
              41          -37.43           7.489
              42           19.58           8.553
              43           79.29           8.995
              44          -36.29            6.87
              45           9.385           7.485
              46           36.93           7.973
              47           74.36            7.15
              48          -64.14           6.233
              49          -40.54           7.247
              50          -9.123           6.594
              51           30.99           7.213
              52             -60           6.078
              53          -36.62           7.052
              54         -0.3125           6.511
              55           62.65           7.473
              56          -53.24             6.1
              57          -8.363           7.352
              58           6.618           6.772
              59           83.06           7.241
              60          -33.32           7.717
              61           5.283           8.142
              62           29.11           6.573
              63           75.33           7.439
              64          -65.44           6.218
              65          -25.51           8.603
              66           11.17           8.277
              67           57.77           6.784
              68          -66.92            6.23
              69          -42.22           9.267
              70           5.558           7.736
              71           50.38           7.054
              72          -69.04           6.286
              73           -29.7           9.927
              74           9.176           7.608
              75           80.36           7.163
              76          -32.79           5.785
              77           5.186           6.999
              78            36.4           7.509
              79           83.18           7.313
              80          -39.85            6.33
              81          -33.03           6.116
              82           16.68           6.078
              83           35.54           7.921
              84          -52.45           6.244
              85          -50.14           5.892
              86           0.834           6.008
              87           38.92           7.626
              88          -38.08           6.006
              89          -31.36            5.96
              90           17.49            6.28
              91           59.13           7.443
              92          -37.92            5.77
              93          -16.76            6.08
              94           38.74           6.628
              95           91.94           7.239
              96          -54.27           6.334
              97          -39.03           6.082
              98           13.75           8.066
              99           60.31           7.175
             100          -46.07           6.348
             101          -15.27            6.37
             102           16.07           7.612
             103           57.37           7.364
             104           -32.6           6.489
             105          -21.24           10.83
             106           11.68           7.791
             107           70.35            7.39
             108          -38.93           5.785
             109         -0.8993           8.013
             110           32.46            6.69
             111           81.96           8.032
             112          -36.49           6.162
             113          -53.17           5.897
             114           0.781           6.083
             115            39.6           7.268
             116          -64.54           6.074
             117          -22.48           5.867
             118           17.04           6.123
             119           64.68           7.442
             120          -51.32           5.906
             121          -20.59           6.102
             122           29.71           6.485
             123           81.19           7.343
             124          -36.48           5.737
             125           -6.96            5.98
             126           32.03           7.028
             127           129.9           10.26
APV               20              11               7               1
               0           146.9            38.3
               1          -27.44           34.11
               2          -20.64           31.77
               3           -25.2           31.11
               4          -196.1           11.36
               5          -79.66           10.44
               6          -19.36           9.493
               7           32.62           10.49
               8          -49.52           7.971
               9          -2.345           12.87
              10           23.63           7.679
              11           72.97           13.76
              12          -65.06           8.324
              13          -11.26           8.669
              14           39.97           8.152
              15           68.71           13.14
              16          -58.15           7.484
              17          -47.73           7.245
              18          -35.92           7.518
              19           39.69           7.835
              20          -73.45           7.477
              21          -17.55           7.489
              22          -7.318           7.243
              23           53.19           7.755
              24          -57.46           7.308
              25          -21.41           7.538
              26           6.439           7.147
              27           72.46           10.44
              28          -40.34           7.139
              29          -25.57           7.526
              30           12.52           7.155
              31           80.81           11.36
              32          -68.38           7.723
              33          -37.04           8.186
              34           1.631           8.118
              35           35.05            8.61
              36          -63.94           7.905
              37          -28.95           7.725
