#Sun Sep 19 11:18:24 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           122.7           37.08
               1          -36.85            33.2
               2          -28.06           31.33
               3          -4.668           30.88
               4            -200           9.757
               5          -88.44           8.076
               6          -20.27           10.26
               7           36.02           9.306
               8          -64.38            5.81
               9          -14.06           6.704
              10          0.6389           8.421
              11           56.09           8.953
              12          -39.42           6.328
              13          -17.32           6.776
              14           31.84           8.397
              15           68.86           9.098
              16          -48.11           5.885
              17          -57.75           7.344
              18            3.35           7.159
              19           50.54           6.991
              20           -78.1           6.034
              21          -29.91           7.754
              22           4.356           6.207
              23           52.17           7.233
              24          -52.26           6.581
              25          -17.75            8.52
              26           21.21           6.395
              27            59.8           7.909
              28          -33.23           5.834
              29          -9.408           7.867
              30           25.27           6.503
              31           85.72           8.571
              32           -38.9           6.058
              33          -42.83           7.527
              34          -8.547           7.944
              35           41.96            8.82
              36          -52.72           6.009
              37           -38.7           7.029
              38           9.119           8.296
              39           68.99           9.008
              40          -42.16           6.896
              41          -37.69           7.573
              42           21.61           8.886
              43           77.04           9.181
              44          -35.09           5.937
              45           11.23           6.537
              46           39.48           8.159
              47           75.17           9.654
              48           -64.1           6.041
              49          -41.44           7.354
              50          -9.887           6.622
              51           33.04           6.842
              52          -56.36           5.978
              53          -36.83           7.658
              54           1.042           6.107
              55           62.76            7.16
              56          -49.97           5.589
              57          -7.742           7.815
              58           8.285           6.428
              59           85.22           8.042
              60          -34.65           6.961
              61           5.757           8.645
              62           30.96           6.355
              63           73.77           7.431
              64          -69.61           5.959
              65          -29.68           5.515
              66           14.01           8.957
              67            59.2           7.109
              68          -71.08           5.883
              69          -43.61           5.685
              70           9.338           8.447
              71           50.02           7.355
              72           -73.9           5.746
              73          -29.15           6.154
              74           12.95            8.01
              75           79.64           7.592
              76           -37.6           5.496
              77           7.114            7.03
              78           39.71           7.736
              79           81.72           7.437
              80          -43.16           5.905
              81          -35.57           5.702
              82           18.93           5.679
              83           36.75           8.773
              84          -56.11           5.886
              85          -51.58           5.422
              86           3.499           5.545
              87           38.42           8.259
              88          -41.77           5.759
              89          -31.02           5.412
              90           20.71           5.849
              91           57.67           7.889
              92          -42.03           5.605
              93          -16.09           5.581
              94           40.85           6.168
              95           89.68           7.574
              96          -58.49           5.872
              97          -41.71           5.647
              98           17.34           8.826
              99           61.86           7.452
             100          -50.95           5.865
             101          -15.76           5.969
             102           19.79           8.288
             103           56.78           7.645
             104          -36.68           6.019
             105           -19.5           7.839
             106           15.52           8.209
             107           69.57           7.666
             108          -44.01           5.423
             109            1.12           8.282
             110           34.43           6.732
             111            79.5             8.5
             112          -40.65           5.877
             113          -55.14           5.546
             114           3.316           5.624
             115           40.64            8.06
             116          -68.75            5.65
             117           -22.9           5.266
             118           20.48           5.686
             119           63.95           8.025
             120          -55.18           5.717
             121          -20.01           5.555
             122           32.92           6.099
             123           79.38           7.816
             124          -40.08           5.399
             125          -5.728           5.655
             126           33.54           6.666
             127           120.8           7.146
APV               20              11               7               1
               0             142           38.43
               1          -26.29           33.78
               2             -19           31.83
               3           -25.3           31.19
               4          -200.3           10.87
               5          -78.98           7.683
               6          -18.51           8.415
               7            32.1           9.852
               8          -49.97           6.843
               9           -2.68           6.599
              10           24.89           7.494
              11           71.71           13.31
              12          -64.69           7.201
              13          -11.98           6.309
              14            41.4           7.105
              15           66.56           12.12
              16          -63.49           6.847
              17          -47.79           6.476
              18          -35.52            6.67
              19           40.84            6.84
              20          -75.13           6.907
              21          -17.24            6.61
              22          -6.713           6.237
              23            53.6           6.809
              24          -57.31            6.69
              25          -22.62           6.507
              26           7.964            6.16
              27           71.15           10.11
              28          -38.91           6.342
              29          -27.52           6.468
              30            14.4           6.251
              31           78.07           10.64
              32          -73.74           6.808
              33          -37.01           6.631
              34           3.563            6.56
              35           36.23           7.694
              36          -66.36           6.933
              37          -28.77           6.204
              38           17.83           6.849
              39            57.2           12.32
              40           -62.2            6.94
              41          -9.117            6.61
              42           22.56           7.444
              43           78.74           15.26
              44          -29.03            6.91
              45          -7.963           7.955
              46           8.422           7.182
              47           71.54           9.113
              48          -60.27           6.793
              49          -41.52           6.443
              50          -4.983           6.518
              51           47.26           6.588
              52          -70.32           6.623
              53          -23.13           6.421
              54           18.47           6.178
              55           52.58           9.436
              56           -47.1           6.513
              57          -18.22           6.382
              58           26.42           6.372
              59           72.16           13.65
              60          -29.47           6.362
              61          -23.18           6.456
              62           18.29           9.734
              63              72           9.453
              64          -73.06           6.777
              65          -27.31           6.306
              66           6.613           6.727
              67            60.2           7.693
              68          -59.84           6.628
              69          -18.82            6.08
              70           6.725           7.238
              71           60.72           9.829
              72          -35.98           6.811
              73           1.453           6.232
              74           7.588           8.739
              75           72.72           11.05
              76          -46.37           6.606
              77          -28.06            6.71
              78           28.58           6.801
              79           88.94           8.895
              80          -69.58           6.568
              81          -40.83           6.248
              82            3.41           6.009
              83           43.03           6.464
              84          -42.79           6.758
              85          -21.08           6.192
              86           13.04           5.778
              87           64.81           9.798
              88          -46.89           6.351
              89           -17.3           6.271
              90           25.19           5.755
              91           56.13           7.981
              92          -41.59            6.04
              93          -10.29           6.209
              94           17.14           5.781
              95           98.45           9.226
              96          -59.98           6.807
              97           -26.9           6.196
              98           9.177           7.246
              99           49.37           16.97
             100          -47.13           6.777
             101          -39.17           6.145
             102           17.38           7.091
             103           63.75           9.338
             104          -42.73           6.948
             105          -19.53            7.59
             106           43.14           13.47
             107           70.23           9.535
             108           -59.9           6.366
