#Tue Sep 21 10:39:14 2021
# copy the contents of this file into (location TBD) to update CODA thresholds for detector bb.gem
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms (for average over time samples)
APV               20              11               7               0
               0             129           37.14
               1          -31.51           32.89
               2          -24.89           31.31
               3          -5.805           30.75
               4          -196.6           9.894
               5          -86.22            7.64
               6          -19.48           9.445
               7           32.13           8.541
               8          -62.83           6.107
               9          -12.68           6.595
              10           0.492           7.864
              11           51.94           8.386
              12           -37.6           6.787
              13          -15.86           6.331
              14           30.48           7.977
              15           66.37           8.489
              16          -46.15            6.27
              17          -54.83           6.446
              18           5.929           6.796
              19           47.92           6.734
              20          -75.86           6.244
              21          -27.57            6.73
              22           5.022            6.16
              23           47.25           6.948
              24          -49.94           5.764
              25          -15.75           7.321
              26           20.99           6.182
              27           56.54            7.33
              28          -30.83           5.839
              29          -7.577           6.683
              30           24.06           6.261
              31           83.55           7.896
              32          -37.09           6.507
              33           -40.7           6.709
              34          -6.979           7.635
              35           38.65           8.373
              36             -51           6.357
              37          -36.27           6.599
              38           9.972           7.853
              39           63.77           8.466
              40          -39.74           5.965
              41          -35.77           7.212
              42           20.99           8.244
              43           73.42           8.538
              44          -32.44           5.899
              45           12.87           6.411
              46           37.78           7.581
              47           73.34           8.922
              48          -62.45           6.198
              49          -38.84           6.503
              50          -7.983           6.296
              51           29.31           6.651
              52          -54.87           6.095
              53          -34.64           6.618
              54            2.12           6.066
              55           58.07           6.899
              56          -48.23           5.672
              57          -5.833           6.721
              58           8.507           6.181
              59           81.33           7.561
              60          -31.67           6.159
              61           7.651           7.387
              62           29.37           6.235
              63           71.47           6.687
              64          -67.03            6.32
              65          -27.55           5.805
              66           14.58           8.045
              67           55.09           6.508
              68          -68.78           6.216
              69          -42.09            5.46
              70           7.692           7.618
              71           45.46           6.902
              72          -71.44           6.354
              73          -27.92           5.671
              74           10.69           7.209
              75           76.24           6.892
              76          -35.63           5.859
              77           8.719           6.274
              78           36.14           7.197
              79           78.95           6.883
              80          -41.07           6.304
              81          -33.31           5.758
              82           19.24           5.742
              83           32.79           7.756
              84           -54.1           6.201
              85          -49.01           5.532
              86           2.831           5.476
              87           33.99           7.323
              88          -39.66           5.891
              89          -28.56           5.784
              90           18.13           5.662
              91           54.42            7.19
              92          -39.74            5.68
              93          -13.68           5.899
              94           37.54           5.753
              95           87.61           6.948
              96          -56.67           6.307
              97          -39.29            5.71
              98            17.2           7.688
              99           57.37           6.865
             100          -48.95           6.239
             101          -13.82           5.716
             102           18.03           7.385
             103           52.59           7.013
             104          -34.75           6.703
             105          -18.21           6.964
             106           12.95           7.248
             107           66.32           7.114
             108           -41.9            5.71
             109           2.609           7.386
             110           30.98           6.268
             111           77.56           7.625
             112           -38.6           6.261
             113           -52.7            5.72
             114           3.441           5.552
             115           36.34           7.118
             116          -66.96           5.882
             117          -20.74           5.554
             118           18.97           5.588
             119           59.69           7.177
             120          -52.74           5.814
             121          -17.87            5.68
             122           30.29           5.804
             123           76.61           7.088
             124          -38.06           5.484
             125           -4.35           5.743
             126           29.93           6.165
             127           120.7           9.668
APV               20              11               7               1
               0           148.5           38.16
               1          -23.01           33.38
               2          -17.46           31.88
               3          -26.74           31.28
               4          -198.9           11.09
               5          -79.12           7.771
               6          -17.97            8.79
               7           30.35           9.996
               8          -50.31           7.167
               9          -2.657            6.57
              10           24.77           7.341
              11           70.23           15.71
              12          -64.89           7.634
              13          -11.44           6.374
              14           40.65           7.253
              15           65.58           12.57
              16          -62.33            7.23
              17          -46.71           6.633
              18          -34.31           6.292
              19           38.65           6.641
              20          -74.56           7.269
              21          -17.24           6.618
              22          -5.387           5.963
              23           52.02           6.652
              24          -57.78           6.899
              25          -22.32           6.524
              26           8.649            5.97
              27           70.94           9.979
              28          -39.89           6.509
              29          -27.09           6.544
              30           13.38           6.176
              31            78.1           11.07
              32          -71.69           7.228
              33          -36.56           6.642
              34           3.977           6.645
              35           33.95           7.639
              36           -65.8           7.311
              37          -28.46           6.247
              38           17.99           7.103
              39           54.19           12.28
              40          -62.37           7.234
              41           -8.67           6.476
              42           23.03           7.557
              43           76.83           15.52
              44          -29.25           7.148
              45          -8.316           7.808
              46           7.437           7.281
              47           72.29           8.849
              48          -58.93           7.212
              49          -41.16           6.482
              50          -3.509           6.409
              51           44.86           6.382
              52          -70.22           6.833
              53           -23.1           6.317
              54           19.71           5.919
              55           51.27           9.787
              56          -47.89           6.515
              57          -17.99           6.343
              58           26.14           6.337
              59           71.58            14.3
              60          -30.04           6.413
              61           -23.5           6.336
              62           17.73           8.935
              63           72.88           8.954
              64          -71.31           7.322
