#Tue Sep 21 14:31:04 2021
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           128.9           37.08
               1          -32.99           33.31
               2          -25.86           31.33
               3          -7.527           30.88
               4            -198           9.762
               5          -86.04           8.671
               6          -20.18           10.45
               7           31.91           9.255
               8          -63.45           5.797
               9          -12.09           7.701
              10        -0.04253           8.518
              11           52.83           9.124
              12          -38.06           6.479
              13          -15.64            7.73
              14           30.16           8.449
              15           66.86           9.089
              16          -46.37           5.868
              17          -54.43           8.075
              18           4.802           7.414
              19           47.43           7.232
              20           -76.6           5.918
              21          -27.05           8.451
              22           4.706           6.523
              23           47.97           7.402
              24          -49.64           7.201
              25          -15.15           9.241
              26           20.53           6.578
              27           56.86           8.079
              28          -31.05           5.739
              29          -7.433            8.42
              30           23.97           6.825
              31           84.12           8.778
              32          -37.09           5.975
              33          -40.07           8.034
              34          -7.481           8.174
              35           38.54           8.973
              36          -51.39           5.922
              37          -36.13            7.88
              38           9.061           8.476
              39           64.72            9.05
              40          -39.58           7.281
              41          -35.47           8.498
              42           20.98           8.973
              43           73.95           9.204
              44          -32.74            5.98
              45            12.9           7.732
              46           37.92           8.343
              47           74.03           9.876
              48           -62.2           5.987
              49          -38.33           8.087
              50          -8.715           6.885
              51           29.56           7.139
              52          -55.16           5.802
              53           -34.3           8.354
              54          0.9165            6.39
              55           58.43           7.375
              56          -48.31           5.518
              57          -5.522           8.469
              58            7.98            6.71
              59           82.42           8.229
              60          -31.39           7.666
              61           7.897           9.265
              62           29.31           6.436
              63           72.69           8.201
              64          -67.21           6.002
              65          -28.15           5.607
              66           13.93           8.743
              67           55.82           8.166
              68          -69.48           5.919
              69          -42.21           5.682
              70           7.858           8.233
              71           46.56           8.331
              72          -72.04           6.115
              73          -28.42           6.194
              74           10.46           8.033
              75           77.11            8.52
              76          -36.05           5.627
              77           7.871           6.743
              78           36.34           7.758
              79           80.55           8.382
              80          -41.07           5.931
              81           -33.7           5.773
              82           18.29           6.008
              83           33.54           9.473
              84          -54.88           5.787
              85          -49.94           5.506
              86           1.915           5.792
              87           35.12           8.925
              88          -40.11           5.822
              89          -29.72           5.773
              90           17.83           6.085
              91           55.64           8.689
              92          -40.11           5.457
              93          -15.08           5.929
              94           37.06            6.37
              95           88.47           8.381
              96          -56.82           5.933
              97          -40.03           5.729
              98           16.56           8.582
              99           57.99           8.429
             100          -49.61           5.928
             101          -14.77           5.932
             102            17.7           8.162
             103           53.65           8.669
             104          -35.17           6.359
             105           -18.3           7.617
             106           12.92           8.201
             107           67.74            8.66
             108          -42.36           5.614
             109           1.661           8.081
             110           31.51           7.674
             111           78.69           9.128
             112          -38.85           5.744
             113          -53.11           5.522
             114           2.626           6.009
             115           36.99           8.786
             116           -67.2           5.588
             117          -21.11           5.541
             118           18.09           6.051
             119           60.82           8.895
             120          -53.36             5.6
             121          -18.99           5.759
             122           29.85           6.451
             123           77.84           8.633
             124          -38.24           5.396
             125          -5.064           6.021
             126           29.88            6.94
             127           121.3           10.59
APV               20              11               7               1
               0             148           38.13
               1          -25.63           33.84
               2          -17.46           31.72
               3          -27.27           30.99
               4          -199.7           10.76
               5          -79.64           7.733
               6          -18.11           8.381
               7           31.24           10.96
               8          -50.04           6.817
               9          -2.807           6.649
              10           24.44           8.557
              11           72.26           13.32
              12          -64.82           7.421
              13           -12.2           6.486
              14           40.88           6.961
              15              69           12.81
              16          -61.69           6.849
              17           -47.7           6.564
              18          -34.85           6.495
              19           38.75           6.588
              20           -74.8           6.815
              21          -17.11           6.646
              22          -5.922           5.994
              23           52.81           6.657
              24           -57.4           6.636
              25          -22.34           6.711
              26           8.191            5.97
              27           71.89           10.02
              28          -39.37           6.376
              29          -27.39           6.624
              30           13.57           6.155
              31           80.37           10.58
              32           -71.7           6.801
              33           -36.9           6.748
              34           3.689           6.605
              35           34.34           7.503
              36          -65.85           6.839
              37          -28.71           6.286
              38           17.84           6.862
              39           55.95           12.56
              40          -62.46           6.988
              41           -9.08           6.674
              42           22.56           7.383
              43            79.4           15.12
              44          -29.01           7.077
              45          -8.199           7.978
              46           7.514           7.096
              47              73           9.833
              48          -58.55           6.751
              49          -41.49           6.529
              50          -4.049            6.46
              51           45.44            6.33
              52          -70.17           6.588
              53          -23.06            6.47
              54           19.34           5.955
              55           51.65            9.61
              56          -47.46           6.434
              57          -18.03           6.576
              58              26           6.207
              59           73.79           13.38
              60          -29.73           6.257
              61          -23.41            6.62
              62           16.71           9.593
              63           73.56           10.09
              64          -71.32           6.803
              65           -27.8           6.384
              66           6.262           6.643
              67            57.3           7.658
              68           -59.7            6.63
              69          -19.78           6.017
              70           6.426           7.117
              71           60.22           10.67
              72          -36.12            6.91
              73          0.4676           6.159
              74           6.326           9.039
              75           78.92           10.39
              76          -45.71           6.471
              77          -28.01           6.661
              78           26.16           6.767
              79           90.28           9.565
              80          -68.28           6.647
              81          -41.24            6.33
              82           3.444           6.175
              83           40.33           6.366
              84          -43.11           6.574
              85          -21.74            6.13
              86            12.2           5.841
              87            64.8           9.622
              88             -47           6.243
              89          -17.79           6.291
              90           23.36            5.73
              91           58.72           7.632
              92          -41.93           6.014
              93          -10.27           6.391
              94           14.08           5.716
              95            99.9           9.987
              96          -58.58           6.797
              97          -27.05           6.309
              98           9.174            7.16
              99           48.18           17.01
             100          -47.24           6.789
             101             -40           6.136
             102           16.73           7.034
             103           64.33           10.35
             104          -42.97           7.105
             105          -20.02           7.261
             106           39.64            7.02
             107           75.41           9.504
             108          -59.52           6.232
             109          -10.93           7.554
             110           17.79           7.221
             111           82.29           9.847
             112          -48.65           6.526
             113          -16.38           6.234
             114          -8.506           5.973
             115           45.02           6.263
             116          -56.64           6.321
             117          -18.04           5.927
             118           10.41           5.692
             119           64.98           9.732
             120          -54.48           6.307
             121          -19.11           6.046
