#Thu May  9 21:39:56 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
               0           127.8           36.98
               1          -35.07           32.92
               2          -26.04           30.89
               3          -5.671           30.27
               4          -198.5           9.914
               5          -87.55           8.081
               6          -21.21            8.96
               7            34.9           8.174
               8          -67.38           5.956
               9          -14.45           9.826
              10         -0.7015           7.474
              11           57.17           8.048
              12          -41.92           6.431
              13          -18.43           5.846
              14           30.01            7.48
              15           66.07           5.903
              16          -46.68            6.22
              17          -55.39           6.153
              18           5.614           6.519
              19           49.07           6.576
              20          -80.01           6.114
              21          -28.72           6.037
              22           3.849           5.925
              23           50.62             6.7
              24          -49.95           5.237
              25          -16.99           6.713
              26           19.81           5.983
              27           60.42           7.282
              28             -36           5.804
              29          -10.52           6.143
              30           23.66           6.247
              31           88.27           7.941
              32          -37.54           6.275
              33          -40.84             6.1
              34          -8.396           7.168
              35           40.15            7.76
              36          -54.54           6.251
              37          -37.89           5.768
              38           7.709           7.463
              39           67.83           7.957
              40          -39.58           5.602
              41          -37.09           6.249
              42           19.98           7.922
              43           77.97           8.202
              44          -35.62           5.876
              45           9.619            6.21
              46              38           7.341
              47           73.19           6.032
              48          -64.43           6.161
              49           -40.2           6.089
              50          -8.702           6.137
              51           31.35           6.464
              52          -59.68           5.998
              53          -36.38           5.925
              54        -0.09889           5.836
              55           61.65           6.637
              56          -52.75            5.76
              57          -8.093            6.13
              58           6.947           6.073
              59           81.92           6.207
              60          -33.12           6.285
              61           5.817             6.9
              62           30.06           5.997
              63            74.4            6.25
              64          -65.33           6.189
              65          -25.87           8.021
              66           10.53           7.577
              67           58.35           7.495
              68          -66.11           6.169
              69          -42.62           8.687
              70            5.14           7.318
              71           50.07           5.926
              72           -68.5           6.325
              73          -30.06           9.215
              74           8.781           6.916
              75           79.56           6.184
              76          -33.02           5.696
              77           4.848           6.565
              78           36.09           6.763
              79           82.08           6.323
              80          -39.67           6.213
              81           -32.8           5.857
              82           15.85           5.601
              83           35.82           6.438
              84          -51.53           6.251
              85          -50.14           5.654
              86          0.1565           5.424
              87           38.61           6.656
              88          -37.61           5.947
              89          -31.56            5.59
              90           16.48           5.557
              91           58.19           6.424
              92          -37.57           5.652
              93          -17.01           5.645
              94           38.04            5.76
              95            90.9           6.225
              96          -53.85           6.246
              97          -39.05           5.675
              98           13.23           7.493
              99           61.53           7.851
             100          -45.47           6.186
             101          -15.37           6.067
             102           15.42           7.129
             103           57.03           6.145
             104          -32.32           6.492
             105          -21.78           10.06
             106            11.5            7.01
             107           69.62           6.391
             108          -39.12           5.556
             109          -1.312           7.476
             110           32.67           5.672
             111            80.9           6.595
             112          -36.26           6.148
             113          -52.76           5.625
             114         0.01407           5.538
             115           39.69           6.027
             116           -63.7           5.979
             117          -22.44           5.427
             118           16.32           5.479
             119           64.13           6.393
             120          -50.71           5.755
             121          -20.96           5.534
             122           28.95           5.687
             123           80.43           6.303
             124          -36.23           5.495
             125          -7.369           5.572
             126           32.03           5.933
