#Thu Aug 25 21:41:15 2022
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               25              11               2               0
               0           98.56           33.83
               1          -33.89           26.88
               2           10.43           27.61
               3           22.46           22.89
               4            -202           17.43
               5          -88.92           8.939
               6         -0.9803           14.54
               7           38.24           12.23
               8          -92.83           11.28
               9          -56.07           9.637
              10           25.04           10.58
              11           82.84           10.19
              12          -78.39           13.02
              13          -42.89           8.758
              14              24           9.738
              15           86.56           11.07
              16          -60.15           15.87
              17          -82.98           9.016
              18           21.36           18.53
              19           51.76           7.554
              20           -87.5           12.81
              21          -49.87           8.174
              22           29.08           16.85
              23           85.32           8.474
              24          -71.86           9.622
              25          -35.59           8.501
              26           13.49           7.741
              27           90.35           9.969
              28          -79.92           15.59
              29          -50.96           7.555
              30           61.03           7.315
              31           78.99            11.7
              32          -45.77           16.16
              33          -52.78           8.651
              34           31.65           16.69
              35           56.56           9.038
              36          -80.65           16.69
              37             -54            8.89
              38           33.36           11.41
              39           74.01           11.84
              40          -81.82           10.24
              41           -27.6           11.32
              42           53.22           11.19
              43           72.73            10.6
              44          -64.87           11.92
              45          -17.09           11.48
              46           34.49           9.403
              47           94.59           17.02
              48          -58.86           18.71
              49          -60.54           6.993
              50           6.203           18.92
              51           58.06           7.251
              52           -83.6           13.96
              53          -58.88           15.47
              54           27.97           7.771
              55           67.13           17.08
              56          -78.85           8.459
              57          -21.28           17.43
              58           30.83           7.287
              59           78.54           8.969
              60          -67.05           16.03
              61          -17.87           18.42
              62           55.85           7.116
              63           81.04           12.83
              64          -76.42           17.32
              65          -61.48           10.71
              66           1.108           15.57
              67           58.36           10.45
              68          -76.67           16.99
              69          -53.34           11.13
              70           32.98           11.76
              71           69.19           8.106
              72          -75.84           9.762
              73          -34.25           11.92
              74           52.14           10.03
              75           70.93           10.72
              76          -66.95            13.6
              77          -15.75           12.83
              78            41.4           9.803
              79           101.6           15.73
              80          -56.56           16.76
              81          -45.09             7.6
              82           15.14           18.44
              83           45.51           19.19
              84          -81.27           19.32
              85          -37.11           17.77
              86           26.04           19.27
              87           71.92           7.793
              88          -49.94            9.18
              89          -35.01           8.734
              90           50.15           8.333
              91           80.73            10.6
              92          -67.38           10.15
              93          -3.023           16.01
              94           65.61           7.268
              95           95.97           18.18
              96          -85.46           17.74
              97          -54.79           7.308
              98           24.44           16.01
              99            70.8            13.6
             100          -91.83            14.7
             101          -26.17           10.01
             102           36.08           12.06
             103           72.99           9.719
             104          -87.12           9.319
             105          -22.98           10.15
             106           38.36           10.08
             107           103.2           11.11
             108          -55.99           10.86
             109          -6.776           14.46
             110           61.27           11.24
             111             117           17.87
             112          -81.18           13.71
             113          -46.91           8.305
             114           33.47           17.52
             115           63.76           19.33
             116          -83.62           10.79
             117           -5.48           8.096
             118           47.99           7.664
             119           76.89           9.107
             120          -67.48             9.9
             121          -26.18           8.096
             122           58.67           7.728
             123           90.97           10.23
             124          -56.06           20.68
             125           -5.71           18.69
             126           59.73           19.73
             127           116.9           20.86
APV               25              11               2               1
               0           134.3           36.23
               1            14.2           26.39
               2          -25.96           29.81
               3          -16.89           23.01
               4            -144           10.51
               5          -66.47           8.196
               6          -22.05           18.04
               7           30.97           8.155
               8          -45.88           7.862
               9          -23.79           6.945
              10           7.562           19.18
              11           50.26           8.152
              12          -30.54            9.49
              13          -21.69           6.629
              14           16.87           8.487
              15           48.17           8.913
              16          -21.88            9.81
              17           -39.6           6.969
              18          -10.06           20.02
              19           33.34           20.75
              20          -55.11            21.4
              21          -32.54           6.162
              22           -3.93             9.5
              23           63.68           7.074
              24          -34.65           7.449
              25           -14.7           7.282
              26          0.2609           11.37
              27           42.25           7.751
              28          -15.35           6.756
              29          -22.73           7.124
              30           22.49            8.29
              31           44.33           7.977
              32          -19.28           8.671
              33          -12.66           7.736
              34          -5.728           18.34
              35           27.53           8.382
              36          -33.54           8.447
              37          -35.84           6.646
              38          -11.19           18.44
              39              31           7.707
              40          -49.34           7.444
              41           -28.3           7.941
              42           10.53           18.61
              43           57.13           8.343
              44          -32.59             7.2
              45          -10.65           9.127
              46           26.12           18.57
              47           79.49           8.637
              48          -8.299           8.684
              49          -21.26           6.579
              50          -38.73           11.09
              51           32.75           7.873
              52           -26.2           7.513
              53          -27.06           6.488
              54           2.122           10.49
              55           37.12           7.073
              56          -34.73           7.014
              57          -32.28           6.627
              58           14.88           11.05
              59            41.6           7.742
              60          -46.03           6.602
              61          -27.52            19.4
              62           30.99           7.249
              63           97.17           8.339
              64          -27.01           8.814
              65          -34.92           9.081
              66          -14.48           12.36
              67           51.23           9.539
              68          -22.16           8.592
              69          -24.99           7.147
              70           12.36           18.11
              71           61.45           7.381
              72          -38.04           8.857
              73          -17.89           8.166
              74           10.46           19.52
              75           49.58           8.605
              76          -28.32           7.815
              77          -29.25           12.02
              78           24.31           8.535
              79           66.83           9.539
              80          -27.04           7.915
              81          -26.53           6.871
              82          -19.26           9.276
              83           33.32           7.183
              84          -35.89            7.23
              85           -43.1           6.408
              86          -12.86           10.34
              87           39.67           7.063
              88          -20.87           6.938
              89          -30.83           6.827
              90           7.436           10.59
              91           69.55           8.212
              92          -40.29           8.741
              93          -16.05           19.42
              94           34.87           7.665
              95           91.16           8.491
              96          -23.18           7.841
              97           -23.7           6.896
              98           1.903            17.2
              99           28.54           8.271
             100          -30.79           8.088
             101           -31.4           6.768
             102           7.121           18.42
             103           45.06           7.757
             104           -53.5           7.833
             105          -25.93           7.865
             106           17.95           19.01
             107           53.82           8.619
             108          -33.17           7.312
             109          -18.96           19.73
             110           37.35           20.62
             111           94.63           9.021
             112          -19.98           7.978
             113          -27.92           7.168
             114          -10.02           11.95
             115           40.02            8.35
             116          -28.81           7.839
             117          -30.32           6.325
             118          -1.145           10.66
             119           42.64           7.201
             120           -30.2           7.439
             121          -33.46           7.233
             122           19.08           9.169
             123           59.88           8.588
             124          -49.03           8.059
             125           -35.4           19.97
             126           33.17           7.461
             127           135.6           11.15
APV               25              11               2               2
               0           67.47           34.94
               1          -19.17            25.9
               2           10.41           28.82
               3           3.621           21.72
               4          -177.1            10.5
               5          -87.81           13.24
               6           -6.93           14.78
               7           31.78           10.07
               8          -71.76           11.34
               9          -22.84           13.17
              10            32.4           9.652
              11           39.43           8.957
              12          -68.03           12.45
              13         0.03193           8.385
              14            25.6            9.05
              15            46.2           8.935
              16          -74.89           12.94
              17          -52.74           8.696
              18           18.55           20.24
              19           55.43           7.526
              20          -68.23           8.587
              21          -65.54           19.56
              22           36.16            20.7
              23           39.96           7.195
              24          -62.65           8.768
              25           -29.9           19.53
              26           29.08           7.422
              27           44.06           8.521
              28          -54.18           8.037
              29          -16.27           8.268
              30           70.29           8.146
              31           48.81            8.83
              32          -62.23            10.9
              33          -45.56           9.101
              34           27.85           15.47
              35           5.665           10.94
              36          -67.16           10.85
              37           -48.4           12.11
              38           20.78           11.63
              39           44.28           10.16
              40          -51.93           11.21
              41          -25.61           13.12
