#Wed Aug 31 17:06:00 2022
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               25              11               2               0
               0           98.87           34.58
               1          -33.73           27.12
               2            8.64           28.53
               3           21.73           23.14
               4          -202.2           18.86
               5          -89.13           9.236
               6         -0.5935           15.32
               7           38.21           12.86
               8          -92.24           12.13
               9          -55.75           10.23
              10           25.02           10.83
              11           83.87           10.45
              12          -78.56           13.83
              13          -42.07           9.133
              14           22.98           9.829
              15           87.86           11.28
              16          -57.77           17.93
              17          -83.28           9.671
              18           20.28           19.91
              19           51.28           7.874
              20          -85.83            14.5
              21          -49.98           8.562
              22           27.99           18.37
              23           85.28           8.865
              24          -71.88           10.39
              25          -34.88           8.898
              26            14.1           8.144
              27           91.84           10.42
              28          -81.58           17.25
              29          -49.99           7.885
              30           60.35           7.609
              31            80.9           12.34
              32          -45.51           17.87
              33          -52.56           9.068
              34           29.96           18.45
              35           56.17           9.052
              36          -81.11           18.55
              37          -54.02           9.433
              38           33.66           11.71
              39           74.37           12.06
              40          -81.92           10.82
              41          -26.74           12.34
              42           53.06           11.27
              43           74.05           10.72
              44          -64.76           13.05
              45          -16.07           12.09
              46           33.14            9.72
              47           94.28           18.65
              48          -58.65           20.38
              49          -60.59           7.183
              50           5.121           20.58
              51            57.8           7.614
              52          -81.88           15.87
              53          -60.01           17.02
              54           28.74           8.147
              55           66.21           18.63
              56          -78.99           9.002
              57          -22.58           19.14
              58            30.6           7.596
              59           80.59           9.233
              60          -68.65           17.61
              61          -18.97           20.21
              62           55.25           7.287
              63           82.92            13.4
              64          -76.09           19.23
              65          -61.86           10.78
              66         -0.5897           17.29
              67           58.32           10.92
              68          -77.03            18.9
              69          -52.61           12.14
              70           33.03           12.07
              71           68.36           8.855
              72          -76.27           10.25
              73          -33.84           12.72
              74           51.45           10.19
              75           72.86           10.67
              76          -67.18            14.3
              77          -14.68           13.96
              78           40.61            9.96
              79           103.2           16.79
              80          -56.34           18.49
              81          -44.94            7.91
              82           14.11           20.05
              83            44.1           21.11
              84          -82.22           21.45
              85          -38.48           19.66
              86           24.83           21.12
              87           72.25           7.838
              88          -50.25           9.656
              89          -33.54           9.149
              90           50.29           8.611
              91            82.7           10.93
              92          -67.76           10.66
              93          -3.584           17.58
              94           64.95           7.494
              95           95.98           19.94
              96          -85.45            19.8
              97          -54.29           7.467
              98            24.7           16.92
              99            70.9           14.17
             100          -92.45            16.4
             101          -25.85           10.72
             102           36.24           12.28
             103           73.95            9.73
             104          -87.67           9.786
             105          -21.96            10.6
             106            37.3            10.1
             107           104.5           11.11
             108          -56.13           11.55
             109          -5.774           15.86
             110            60.1            11.9
             111           116.8           19.49
             112          -79.45            15.6
             113          -46.73           8.649
             114           32.37           19.19
             115           62.43           21.26
             116          -83.26              12
             117          -5.172           8.413
             118           48.56           7.957
             119           77.68           9.142
             120          -68.14           10.66
             121          -24.99            8.49
             122           58.03           8.092
             123           92.48           10.71
             124           -57.8           21.96
             125          -6.717           20.31
             126           57.52           21.66
             127           116.4           22.59
APV               25              11               2               1
               0           134.9           37.93
               1           13.19           26.34
               2          -28.13           31.73
               3          -15.17           23.17
               4          -142.4           10.75
               5          -67.82           8.368
               6          -24.24           21.01
               7           33.07           8.311
               8          -45.37           7.925
               9          -25.09           7.086
              10           5.605           22.31
              11           51.87           8.331
              12          -31.12           9.401
              13          -22.99           6.792
              14           16.89           8.847
              15           50.28           9.252
              16          -20.24           10.49
              17           -40.7           7.049
              18           -12.1           22.71
              19           33.41            23.9
              20          -55.02           24.78
              21          -34.22           6.101
              22          -4.426           10.71
              23           65.39           7.488
              24          -33.78           7.739
              25          -16.21           7.726
              26          0.2661           12.96
              27           43.84            8.17
              28          -16.08           6.908
              29          -23.85           7.443
              30            23.2           9.115
              31           46.33           8.151
              32          -18.02           8.872
              33          -13.91           7.936
              34          -7.782           21.39
              35           29.06           8.777
              36          -32.55           8.864
              37          -37.32           6.681
              38          -13.18           21.54
              39           32.76           7.773
              40          -49.04           7.485
              41          -29.87           8.026
              42           8.953           21.74
              43            59.1           8.496
              44          -33.66           7.235
              45          -12.11           9.707
              46           25.62            21.7
              47           81.45            8.74
              48          -6.814           8.971
              49          -22.33           6.701
              50          -38.75           12.49
              51           34.74            8.42
              52          -24.95           7.642
              53          -28.35           6.698
              54            1.71           11.96
              55           38.44           7.335
              56          -34.73           7.119
              57          -33.69           6.771
              58           15.05           12.71
              59            43.4           8.071
              60          -46.53           6.677
              61          -29.99            22.4
              62           31.78           7.862
              63            98.6           8.484
              64          -25.47           8.777
              65          -36.13           9.053
              66          -15.02           13.13
              67           52.87           9.753
              68          -21.35           8.589
              69          -26.66           7.238
              70           10.33           21.18
              71           63.08           7.328
              72          -38.03           8.882
              73          -19.68           8.301
              74           9.015           22.88
              75           51.27           8.624
              76          -29.41           7.865
              77          -29.71           13.49
              78            25.1           9.083
              79           68.54           9.882
              80          -25.79           8.169
              81          -27.75           7.092
              82          -19.56           10.32
              83           34.93           7.487
              84          -34.91           7.336
              85          -44.37           6.544
              86          -13.04           11.73
              87           41.36           7.373
              88           -20.9           7.109
              89          -31.95           7.037
              90           7.961           11.94
              91            71.6           8.443
              92          -40.96           8.887
              93          -18.47           22.31
              94           35.82           8.236
              95           92.83           8.768
              96           -21.9           7.987
              97           -24.9           6.951
              98        -0.01613            20.2
              99           30.49            8.17
             100          -29.86           8.087
             101             -33           6.866
             102           5.268           21.58
             103           46.78           7.751
             104          -53.04           7.887
             105           -27.5           7.932
             106            16.9           22.29
             107           55.48           8.587
             108          -34.08           7.338
             109          -21.41           23.01
             110           37.03           24.18
             111           96.24           9.117
             112          -18.64           8.128
             113          -29.17           7.162
             114          -10.25           13.52
             115           41.55           8.741
             116          -28.36           8.004
             117          -31.87           6.567
             118          -1.333           12.16
             119           44.33           7.396
             120          -30.62            7.41
             121          -34.44           7.429
             122            19.6           10.05
             123           61.79           8.843
             124          -50.19           8.118
             125          -37.55           22.81
             126           34.55           7.972
             127           137.1           11.35
APV               25              11               2               2
               0           65.59           36.64
               1          -18.91           26.16
               2            9.82           30.99
               3            3.72           21.69
               4          -177.6           10.71
               5          -87.45           15.01
               6           -5.93           16.45
               7            31.8           10.87
               8          -71.91           12.38
               9          -21.55           14.97
              10           33.18           10.34
              11            39.4           9.471
              12          -67.91           13.01
              13          0.8525           8.903
              14            26.3           9.509
              15           46.27           9.357
              16          -75.61           13.97
              17          -52.42           9.232
              18           18.15           23.16
              19           55.24           7.965
              20          -69.26           8.773
              21          -66.13           22.73
              22           35.38           23.93
              23           39.77           7.589
              24          -62.88           9.229
              25          -30.34           22.63
              26            29.8           7.947
              27           44.16           9.172
              28          -54.02           8.535
              29          -15.05           8.932
              30           70.45           8.788
              31           49.05           9.601
              32          -62.74           11.44
              33          -45.46           9.661
              34           29.25           17.64
              35           6.522           12.02
              36          -67.33           11.59
              37          -47.62           13.59
              38           21.89           12.74
              39           44.08           11.04
              40          -51.96           12.08
              41          -24.63           14.82
              42           47.98           10.65
              43           51.65           9.638
              44           -59.6           8.785
              45          0.8913           11.87
              46           45.37           9.195
              47           85.62           12.22
              48           -47.3           11.17
              49          -31.79           9.236
              50              22           22.62
              51           46.59           24.92
              52          -61.93           24.47
              53          -29.67           25.83
              54            27.2           7.315
              55           35.72           24.66
              56          -58.94           23.78
              57          -34.46           24.01
              58           42.75           7.723
              59           60.86            8.44
              60          -51.04            8.97
              61          -4.141           21.85
              62           58.67           7.879
              63           107.1           24.67
              64          -62.75             9.5
              65          -47.08           13.07
              66           25.94            15.4
              67           44.11           12.15
              68          -62.19           15.48
              69          -31.38           14.73
              70           56.06            11.4
              71           51.01           11.19
              72          -58.03           14.58
              73          -12.48           15.66
              74           47.32           10.27
              75           69.87           9.898
              76          -53.51           11.02
              77          -12.83           14.91
              78           67.99           9.253
              79           82.73           15.79
              80          -64.54           10.11
              81          -50.18           22.07
              82          -1.445           9.381
              83           39.93           8.118
              84          -70.18           22.56
              85          -47.24           24.12
              86           25.01           7.511
              87           62.02           7.793
              88          -63.42           22.81
              89          -30.67           23.49
              90           48.37           7.408
              91           58.72           8.493
              92          -39.04           23.23
              93          -19.88           23.43
              94           60.51           7.139
              95           82.45           24.44
              96          -50.91            8.47
              97          -20.17           13.54
              98           21.42           14.63
              99           54.36            10.1
             100          -73.61           15.22
             101          -39.33           14.37
             102           11.23           10.59
             103           44.71           9.079
             104          -59.27           14.29
             105          -40.76           11.87
             106           34.64           9.873
             107           60.57           9.944
             108             -52           12.94
             109          -2.304           23.12
             110           47.46           8.272
             111             109           17.18
             112          -64.76            9.57
             113          -50.89           23.15
             114           25.65           23.53
             115           67.23           7.438
             116          -61.02           23.77
             117          -37.42           24.84
             118           23.77           7.119
             119           43.83            7.84
             120          -76.47           22.81
             121          -20.89           8.581
             122            52.1           8.647
             123           56.78           9.621
             124          -35.27           22.82
             125          -20.37           23.81
             126           43.23            6.72
             127             137           24.98
APV               25              11               2               3
               0           133.3           37.81
               1           9.468           25.71
               2          -5.074           30.78
               3           3.582           22.29
               4          -159.9           12.21
               5          -32.41           13.28
               6          -28.78           17.92
               7           8.253           13.97
               8          -65.36           21.77
               9          -28.41           8.296
              10          -13.64           22.74
              11           3.935           10.45
              12          -42.38            23.5
              13           -10.3           7.728
              14           27.24            10.1
              15            53.5           13.44
              16          -11.55           23.13
              17          -27.38            8.77
              18          -30.84           23.75
              19            11.7           8.019
              20          -48.93           10.49
              21          -32.98           9.657
              22          -19.12           21.71
              23            45.4           8.776
              24          -53.96           11.49
              25           7.697           9.019
              26           9.703           11.43
              27            54.4           11.37
              28          -44.08           13.87
              29          -8.413            9.22
              30          -14.29           9.213
              31           66.18           10.51
              32          -28.99            22.2
              33           -34.6           8.302
              34          -13.88           23.26
              35           19.98           8.675
              36           -66.9           22.79
              37          -7.354           7.889
              38           4.722           14.55
              39           46.63           10.73
              40          -32.47           11.11
              41           31.61           11.39
              42           14.52           12.07
              43           42.71           10.73
              44          -47.75              22
              45           2.926           9.152
              46           13.31           11.37
              47           78.63           10.49
              48          -19.44           23.11
              49          -24.08           8.719
              50          -4.298           23.79
              51           32.65           7.618
              52          -38.24            10.6
              53          -18.73           9.253
              54          -8.347            22.6
              55           44.24           8.265
              56          -48.99           11.85
              57          -4.796           8.618
              58           16.05           9.599
              59           42.12           10.91
              60          -28.51           14.21
              61          -12.85           10.18
              62           22.28           23.24
              63           85.69           9.224
              64          -22.97           13.36
              65             -24           12.39
              66          -20.62           22.28
              67            12.7           9.745
              68          -40.04           10.74
              69          -10.06           8.347
              70          -11.32           13.23
              71           36.89           11.08
              72           -31.3           22.61
              73           9.045           9.673
              74           13.51           10.75
              75           67.28           10.32
              76           -22.2           22.73
              77           -9.13           12.13
              78           22.72           12.14
              79           95.71           10.88
              80          -41.28           10.58
              81          -36.04           10.92
              82          -1.419           22.68
              83           42.65           8.183
              84          -33.57           10.91
              85           -6.81           8.378
              86           8.252           9.089
              87           37.34           10.18
              88          -42.01           14.22
              89          -17.22           9.336
              90          -9.759           11.59
              91           69.36           10.72
              92          -37.67           13.73
              93          -18.42           21.74
              94           5.054           7.848
              95           77.41           10.43
              96          -34.58           9.915
              97          -1.631           11.04
              98          -14.22           20.27
              99           36.34           13.69
             100          -60.37           20.74
             101          -25.92           7.472
             102           -2.96           11.42
             103            48.9           11.76
             104          -52.75           23.04
             105          -7.929           8.921
             106           20.46           22.57
             107           58.45           11.03
             108          -41.63           23.01
             109           13.98           24.13
             110           18.57            9.84
             111           84.38           12.09
             112          -60.73           9.717
             113          -4.293           21.58
             114            15.7           23.25
             115           45.65            26.2
             116             -36           10.98
             117          -10.43           7.572
             118           1.093           11.38
             119            40.7           22.56
             120          -38.47           14.14
             121           -15.6           8.703
             122           2.215            11.4
             123           48.39           23.79
             124          -36.77            9.48
             125          -5.469           23.83
             126           22.78           26.35
             127           116.3           11.38
APV               25              11               2               4
               0           164.8           31.74
               1          -42.75            24.8
               2          -17.06           23.55
               3           15.45           21.62
               4          -160.2           10.21
               5          -94.76           9.065
               6          -16.05           9.647
               7           60.56           8.375
               8           -54.2           8.132
               9          -51.58           7.365
              10           21.68           8.119
              11           65.16           8.007
              12          -82.59            7.17
              13          -37.97           7.496
              14           31.48           7.603
              15           100.3           8.212
              16          -48.52           26.16
              17          -66.54           6.375
              18           1.728           28.19
              19           38.39           7.068
              20          -64.06           7.134
              21          -59.23           6.555
              22           -8.96           8.847
              23           66.31           6.747
              24          -59.34           26.16
              25          -56.62           6.715
              26           25.72           7.976
              27           72.31           7.269
              28          -66.65           6.447
              29          -28.13           7.278
              30           36.32           6.642
              31             121           7.691
              32          -28.13           10.12
              33          -50.38           7.602
              34         -0.9525           9.506
              35           57.19           7.972
              36          -70.41           7.559
              37          -70.58           7.213
              38           30.82           9.638
              39           53.01           7.932
              40          -60.31           8.211
              41          -42.31           10.65
              42           27.49           26.53
              43           84.81            7.57
              44          -60.45           7.525
              45          -32.23           7.238
              46           48.32           7.332
              47           111.4           8.979
              48          -59.98            9.61
              49          -60.22           6.226
              50          -7.532           9.768
              51           46.53           6.781
              52          -63.49           7.152
              53          -50.24           6.191
              54            4.18           7.146
              55           84.58            6.39
              56          -61.19           9.247
              57          -49.62            6.67
              58           33.15           8.425
              59           83.01            7.49
              60          -59.34           6.124
              61          -40.73            7.39
              62           58.43           6.567
              63           105.5           7.939
              64          -53.88           8.187
              65          -44.01           15.77
              66           13.49           9.544
              67           40.43           9.003
              68          -52.56           7.668
              69          -55.11           8.393
              70           20.69           9.412
              71           75.54           8.131
              72           -61.3           9.671
              73          -47.45           9.633
              74           33.14           8.283
              75             106            8.94
              76          -58.87           8.054
              77          -27.82           6.715
              78           37.81           8.299
              79           138.5           9.392
              80          -41.07           8.746
              81           -54.3           8.197
              82           22.16           8.726
              83           49.17           6.885
              84          -55.71           7.536
              85          -58.95           7.031
              86          -1.961           7.055
              87           60.98           6.711
              88          -42.64           8.763
              89          -52.05           26.82
              90           28.72           6.644
              91           122.5            7.46
              92          -43.85           8.268
              93          -57.96            8.12
              94           41.18           6.866
              95           131.7           9.159
              96           -47.8           9.615
              97          -57.96           7.694
              98           15.27           9.281
              99           46.42           9.018
             100          -68.89            7.75
             101          -58.37           8.539
             102           7.742           8.062
             103           72.57           8.246
             104          -53.59           7.228
             105          -38.18           9.538
             106           38.94           8.129
             107           76.47            9.06
             108          -49.37           7.436
             109          -40.88           7.217
             110           62.48           7.628
             111           135.4           12.09
             112          -57.29           10.22
             113          -52.46           26.93
             114           5.166           8.642
             115           46.37           7.019
             116          -65.32            8.04
             117          -46.77            6.12
             118           20.79           6.919
             119           84.06           6.806
             120           -60.8           6.918
             121          -56.79           27.06
             122           25.49           6.802
             123             106           8.108
             124          -61.01           7.703
             125          -26.28           9.133
             126           48.73           7.121
             127           171.5           28.74
APV               25              11               3               0
               0           170.1           39.28
               1          -2.087           26.74
               2            -9.8           25.71
               3          -4.795           23.53
               4          -144.6           13.44
               5          -75.78           11.05
               6          -16.69           13.21
               7           8.368           10.73
               8          -36.39           11.03
               9          -35.12           9.376
              10           7.947           10.92
              11           55.03           11.27
              12          -27.64           10.44
              13          -12.51           9.221
              14           8.184           10.51
              15           67.02           10.61
              16          -16.93           23.18
              17          -36.81           7.543
              18          -21.08           10.68
              19           21.14           25.77
              20          -39.23           25.43
              21          -36.33           24.86
              22          0.9155           7.012
              23           30.76           7.521
              24          -41.35            22.1
              25          -54.33           7.539
              26          -3.827           9.177
              27           56.33           24.95
              28          -22.15            25.2
              29          -53.21           7.011
              30           7.065           7.711
              31           91.21           9.754
              32           -28.2           22.08
              33          -38.85            8.41
              34           3.519           11.43
              35           32.23           10.86
              36          -47.36           10.18
              37          -45.31           9.391
              38          -5.215           11.28
              39           16.55            10.2
              40          -38.76           10.64
              41          -24.19           9.591
              42           11.46           11.44
              43           63.04           11.26
              44          -22.89           9.332
              45          -18.61           10.16
              46           28.41           10.48
              47           66.13           10.79
              48           -22.2           23.05
              49             -34           7.466
              50           9.738            24.7
              51           40.97           28.41
              52          -32.35           26.52
              53          -29.17           6.681
              54           1.661           7.561
              55           40.82           8.952
              56          -41.18           21.43
              57          -30.18           7.642
              58           23.21           24.66
              59           78.41            8.47
              60          -48.13           23.96
              61          -17.69            7.32
              62           20.06           8.019
              63           88.05           11.18
              64          -7.181           11.42
              65          -28.44           10.63
              66         -0.7371           13.43
              67           52.36            11.6
              68          -41.37           10.99
              69           -19.5           8.883
              70          -9.897            11.5
              71           34.73           10.18
              72           -38.8           10.84
              73          -40.64            9.48
              74          -4.658           11.67
              75           43.34              11
              76          -30.08            9.28
              77          -31.63           8.804
              78           18.91           10.27
              79           84.74           11.58
              80          -38.76           22.02
              81          -29.21           7.525
              82           10.11            9.04
              83           32.73           25.98
              84           -40.3           25.32
              85          -31.79            6.95
              86          -3.912            7.73
              87           59.46           8.313
              88          -32.85           21.65
              89          -21.74           23.57
              90            13.5           27.58
              91           52.97           7.952
              92          -42.91           7.658
              93          -21.34           8.799
              94           16.69           9.042
              95            84.5           12.91
              96          -24.52           11.83
              97          -35.29           9.699
              98         -0.9613           12.78
              99           44.22           11.37
             100          -49.96           10.26
             101          -34.35            8.79
             102          -18.76           11.06
             103           61.19           10.32
             104          -26.54           10.05
             105          -15.57           10.61
             106           13.73           11.21
             107           61.88           11.27
             108          -36.74           8.878
             109          -12.63           10.33
             110           26.64            10.5
             111           119.6           13.15
             112          -27.01            22.1
             113          -30.93           7.412
             114           0.552           8.706
             115            32.3           8.819
             116           -45.3           23.29
             117          -28.87           7.385
             118           21.74           8.267
             119           50.54           8.863
             120          -26.82           23.04
             121          -19.15           24.59
             122           11.43           7.014
             123           59.33              10
             124          -23.79           23.76
             125          -16.03           25.72
             126           28.56           7.205
             127           120.5           26.82
APV               25              11               3               1
               0           67.14           46.11
               1          -3.796           24.25
               2           1.994           23.12
               3          -4.496           20.64
               4          -181.9           10.28
               5          -66.81           11.88
               6          -26.76            12.2
               7           30.24           8.943
               8          -90.35           8.338
               9          -24.91           8.422
              10          -7.047           8.927
              11           84.89           9.781
              12          -65.56           7.788
              13           4.585           7.546
              14            33.2           8.679
              15           71.39           10.18
              16          -61.34           35.09
              17          -12.69           6.455
              18          -18.66           12.46
              19            55.9           7.738
              20          -73.42           8.054
              21          -23.29           33.12
              22           8.621            7.79
              23            71.4           7.436
              24          -71.64           7.913
              25           17.82           34.87
              26            22.8           7.322
              27           56.81           34.68
              28          -64.13           7.035
              29          -7.177           6.995
              30           23.75           7.412
              31           104.5           9.442
              32          -85.77           9.544
              33          -35.05           7.833
              34          -17.24           9.977
              35           33.75           9.245
              36          -83.47           8.394
              37           -22.1           13.19
              38           3.742           9.412
              39           53.68           8.937
              40          -78.88           7.928
              41          -24.91           8.481
              42           18.15           9.676
              43           73.24           9.731
              44          -70.29           7.146
              45          -1.624             8.2
              46           12.93           8.122
              47           106.6           10.54
              48          -73.66           9.326
              49          -32.38           6.928
              50          -4.137            10.4
              51           38.25           8.106
              52           -82.1           8.089
              53          -22.49           7.707
              54           3.271           33.97
              55           64.93           7.104
              56          -86.37           7.481
              57          -21.64           6.641
              58           6.707           7.521
              59           91.52           9.656
              60          -59.14            6.98
              61          -3.589           7.647
              62           28.01           7.146
              63           97.56           35.54
              64          -65.72           7.847
              65          -48.36            6.79
              66           5.188           11.66
              67           67.19           8.572
              68          -87.74           8.551
              69          -16.86            8.12
              70           4.762            10.7
              71           54.66             8.6
              72          -92.25           8.074
              73           1.544           8.153
              74           16.06           9.104
              75            89.4           9.846
              76          -52.09           6.871
              77           14.28           7.527
              78           21.53           8.117
              79           105.9           11.17
              80          -64.48           8.921
              81          -22.03           7.464
              82          -4.923           9.405
              83            44.6           7.739
              84          -66.67           8.205
              85          -8.243           7.165
              86           8.782           7.591
              87           51.25            7.73
              88          -68.76           7.951
              89           1.351           7.108
              90           26.36           7.296
              91           85.04           9.448
              92          -48.95           6.964
              93          -11.77           8.352
              94           34.56           7.111
              95           126.1           35.37
              96          -71.68           8.269
              97          -43.91           7.133
              98          -15.26           10.58
              99           55.05           9.161
             100          -93.38           8.433
             101          -7.524           7.743
             102         -0.8983           9.667
             103           74.28           8.876
             104          -64.99           7.881
             105          -1.425           8.789
             106           9.437           9.029
             107           91.88           10.37
             108           -50.9           6.695
             109           5.079           8.681
             110           28.24           8.445
             111           131.7           35.76
             112          -62.88           8.169
             113          -12.66           6.921
             114          -1.694           8.814
             115           52.51           7.882
             116          -71.81           8.517
             117          -6.314           6.816
             118           11.93           7.338
             119           77.92           8.073
             120          -49.22             7.7
             121          -7.912           7.158
             122           31.96            7.41
             123           99.15           34.91
             124          -55.06           6.575
             125           -11.2           36.14
             126           19.77           6.809
             127             162           37.95
APV               25              11               3               2
               0           105.6           30.51
               1          -12.82            25.6
               2          -21.65           23.93
               3          -12.02           21.42
               4          -153.6            9.48
               5          -73.84           7.041
               6          -8.131           10.31
               7           20.67           7.512
               8          -62.56           7.431
               9          -21.87            6.46
              10           15.34           8.238
              11           37.55           7.774
              12          -39.64           6.732
