#Thu Sep  1 21:38:29 2022
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               25              11               2               0
               0            98.3           36.75
               1          -33.27           27.27
               2           8.274           30.77
               3           22.48           23.64
               4          -202.9           21.74
               5          -88.18           9.798
               6          0.7512           17.18
               7           38.45           14.27
               8          -91.14            13.4
               9          -54.84           11.36
              10           25.64           11.75
              11           82.83            11.1
              12           -77.7           15.15
              13          -41.73           10.02
              14           23.63           10.58
              15           86.34           11.93
              16          -56.43           20.75
              17          -82.19           10.74
              18           19.25           22.71
              19           51.26           8.505
              20          -85.04            16.8
              21          -49.17           9.327
              22           27.18           21.19
              23           84.91           9.584
              24           -70.3           11.25
              25          -34.42           9.651
              26           13.84           8.833
              27           90.66           11.21
              28          -82.14           20.17
              29          -50.07           8.529
              30           60.52           8.212
              31           79.08           13.38
              32           -46.1           20.86
              33          -51.73           9.772
              34           29.79           21.55
              35           56.48           9.718
              36           -81.6           21.73
              37          -52.86           10.54
              38           34.15           12.88
              39           74.17           13.15
              40          -80.82           11.86
              41          -25.84           13.96
              42           53.81           12.19
              43           72.99            11.3
              44          -63.73           14.89
              45          -15.49           13.43
              46           33.91           10.38
              47           92.57           21.75
              48           -59.4           23.51
              49          -59.91           7.469
              50           4.233           23.71
              51           57.82             7.9
              52          -80.78           18.67
              53           -60.8           19.73
              54           28.68           8.714
              55           64.98           21.68
              56          -77.68           9.717
              57          -23.22           22.23
              58           31.09           8.113
              59           78.89           9.677
              60          -69.31           20.53
              61          -19.86           23.49
              62           55.59           7.791
              63           81.33           14.44
              64          -77.22           22.53
              65          -60.97           11.51
              66          -0.995           20.22
              67            58.6           11.93
              68          -77.67           22.17
              69          -51.75           13.89
              70           33.79           13.27
              71           68.34           10.18
              72          -75.17           11.07
              73          -32.92            14.2
              74           52.25           10.94
              75           71.15           11.28
              76          -66.23            15.6
              77          -14.02           15.98
              78           41.02           10.78
              79           102.2           18.48
              80           -57.1           21.39
              81          -44.16           8.335
              82           13.31           23.05
              83           42.95           24.57
              84          -82.77           25.06
              85          -39.15           22.95
              86           23.77           24.48
              87            71.3           8.103
              88          -48.87           10.57
              89          -33.66           10.16
              90           50.28           9.533
              91           81.24           11.96
              92          -66.75           11.66
              93            -4.6           20.35
              94            65.4           8.006
              95           94.31           23.19
              96           -86.4           23.27
              97          -53.96           7.845
              98           26.03           19.25
              99           71.04           15.83
             100          -92.97           19.25
             101          -24.91           11.91
             102           37.29           13.57
             103           72.99           10.07
             104          -86.17           10.68
             105          -21.54           11.51
             106           38.33           10.86
             107             103           11.68
             108          -55.16           12.94
             109          -5.127           18.19
             110           61.08            13.2
             111           115.6           22.58
             112          -78.64           18.17
             113           -45.9           9.554
             114           31.61           22.15
             115           61.15            24.7
             116          -81.99           13.68
             117          -4.692           9.193
             118           48.49           8.668
             119           76.72           9.765
             120          -66.71           11.93
             121          -24.92           9.349
             122           58.36            8.68
             123            90.9           11.42
             124          -58.38           24.53
             125          -7.623           23.49
             126           56.88           25.19
             127           115.2           26.26
APV               25              11               2               1
               0           133.7           40.97
               1           13.16           26.24
               2          -29.87           34.75
               3          -15.04            23.5
               4          -141.6           11.14
               5          -67.19           8.676
               6          -25.89           24.55
               7           32.67           8.692
               8          -44.93               8
               9          -24.93           7.288
              10            4.06           26.14
              11            51.9            8.72
              12          -30.72           9.493
              13          -22.86           7.094
              14           17.56           9.711
              15           50.05           9.769
              16          -19.16           11.18
              17          -40.13           7.265
              18          -13.68           26.38
              19           31.77           27.98
              20          -56.12           28.98
              21          -33.96           6.118
              22          -3.735              12
              23           65.45            7.84
              24          -33.46           8.043
