#Tue Oct  4 11:00:56 2022
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               25              11               2               0
               0           101.3           35.02
               1          -28.59           27.29
               2           8.426            28.8
               3           9.558           23.41
               4            -198           18.97
               5           -84.7           9.292
               6          -2.846           15.49
               7           28.67            12.8
               8          -83.73           11.97
               9          -57.12            10.3
              10           20.95           10.92
              11           76.12           10.36
              12          -76.08           13.55
              13          -29.86           9.236
              14           16.83            9.88
              15           73.24           11.17
              16          -43.77           17.81
              17          -76.33           9.736
              18           23.99           19.81
              19           41.65           7.884
              20          -70.59           14.44
              21          -47.19            8.68
              22              29           18.33
              23           78.62           8.667
              24          -63.25           10.61
              25          -36.01           9.113
              26           12.19           8.088
              27            87.2           10.08
              28          -79.94           17.26
              29          -36.09           8.032
              30           53.92           7.591
              31           65.87           12.11
              32          -40.68           17.94
              33          -43.41           9.242
              34           28.61           18.34
              35           44.66           9.172
              36          -74.91           18.54
              37          -53.87           9.725
              38           33.57           11.85
              39           67.25           12.12
              40          -75.34           10.69
              41          -25.62           12.36
              42           47.93           11.54
              43           68.78            10.6
              44          -61.36           13.31
              45          -5.507           12.06
              46           25.66            9.74
              47           86.76           18.55
              48          -53.59           20.22
              49          -52.05           7.302
              50           7.152           20.49
              51            47.5           7.555
              52          -68.61           15.84
              53           -59.3              17
              54           33.27           7.946
              55           67.64           18.71
              56          -72.82           9.177
              57          -20.37           19.07
              58           26.93            7.52
              59           74.97           8.892
              60          -68.72            17.6
              61          -15.52           20.14
              62           47.81           7.327
              63           64.34           13.27
              64          -72.73           19.19
              65          -53.27           10.81
              66          -1.897           17.18
              67           47.95           10.85
              68          -72.15           18.97
              69          -55.07           12.32
              70           33.71           12.14
              71           68.26            8.83
              72          -70.76           10.19
              73          -28.51           13.07
              74           45.83           10.23
              75           66.26           10.51
              76           -64.6           14.12
              77          -6.863           13.95
              78           33.36           10.05
              79              81           16.59
              80          -51.71           18.36
              81          -36.86           8.137
              82           15.23           19.93
              83           41.74           21.04
              84          -76.35           21.35
              85          -38.37           19.62
              86           25.78           21.07
              87           69.55           7.721
              88          -45.85           9.914
              89          -25.84           9.373
              90           46.34           8.562
              91            76.1           10.75
              92          -65.36           10.84
              93          0.1802           17.53
              94           57.06           7.461
              95           90.99           19.87
              96          -79.85            19.8
              97          -46.84           7.607
              98           19.59           17.09
              99           60.59           14.14
             100          -88.09           16.51
             101          -29.79           11.01
             102           35.02           12.48
             103           69.24           9.533
             104          -84.33           9.896
             105          -13.12           10.68
             106           30.43           10.25
             107           96.23           11.01
             108          -53.46           11.51
             109           -1.99           15.74
             110           49.88           11.88
             111           113.3           19.39
             112          -64.78            15.3
             113           -39.9           8.747
             114           33.97           19.13
             115           62.29           21.18
             116           -72.6           11.88
             117          -8.102           8.476
             118           50.07           7.876
             119            74.6           8.926
             120           -66.4           10.83
             121           -13.2           8.618
             122           53.33           7.987
             123           80.93           10.52
             124          -57.45           21.86
             125          -4.892           20.24
             126           54.27           21.52
             127           113.9           22.44
APV               25              11               2               1
               0           134.4           38.19
               1           13.22           26.44
               2          -33.27           31.76
               3          -14.26           23.44
               4          -139.8           10.74
               5          -68.15           8.436
               6          -27.98           20.74
               7           33.73           8.378
               8          -40.71               8
               9          -27.71           7.205
              10           3.677              22
              11           48.36           8.493
              12          -28.53           9.547
              13          -25.43           6.852
              14           18.68           8.963
              15           50.03           9.215
              16          -14.96           10.51
              17           -40.3           7.011
              18          -16.74           22.56
              19            34.2           23.66
              20          -52.48           24.47
              21          -34.87           6.167
              22           -5.75           10.56
              23           66.72           7.413
              24          -29.24           7.773
              25          -18.42            7.57
              26          0.2374           12.75
              27           40.88           8.114
              28          -13.36           6.877
              29          -25.95           7.455
              30           24.74           9.142
              31            46.9           8.151
              32          -12.81           8.891
              33          -13.14           7.978
              34          -12.06           21.05
              35           31.47            8.93
              36          -29.32           8.776
              37          -38.63           6.757
              38          -16.42           21.21
              39           31.95           7.837
              40          -44.87           7.506
              41          -32.46           8.179
              42           7.458           21.42
              43           56.89           8.613
              44          -31.43           7.223
              45          -14.31           9.824
              46           25.73           21.41
              47            82.3           8.846
              48          -1.631           8.908
              49          -21.97           6.701
              50          -40.68           12.21
              51           37.62           8.394
              52          -21.78           7.697
              53          -29.68           6.699
