#Wed Oct 12 08:42:33 2022
# Copy file into sbs-onl@sbsvtp3:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               25              11               2               0
               0           99.08           35.16
               1          -34.23           27.27
               2           5.214           29.34
               3           21.61           23.44
               4            -196           19.75
               5          -88.29           9.595
               6         -0.9259           15.66
               7            38.4            13.3
               8          -87.61           12.22
               9          -55.79            10.7
              10           23.15              11
              11           83.95           10.74
              12          -77.22           13.84
              13          -41.49           9.504
              14           19.87           9.959
              15           88.15           11.69
              16          -49.33           18.32
              17          -82.98           9.982
              18            18.3           20.65
              19           51.06           8.314
              20          -79.16           14.76
              21          -49.97           8.896
              22            25.7           19.14
              23           85.74           9.347
              24          -68.34           10.81
              25          -34.01           9.233
              26            12.6           8.423
              27           93.04           10.72
              28          -83.78           18.13
              29           -48.4            8.23
              30           58.77           7.962
              31            81.6           12.98
              32          -40.26           18.86
              33          -52.19            9.56
              34           25.57            19.4
              35           55.17           9.313
              36          -77.87           19.57
              37          -54.45           10.17
              38           32.37           11.91
              39           74.19           12.51
              40          -79.02            10.9
              41          -27.25            12.9
              42           50.69           11.45
              43           74.54           11.03
              44          -63.54           13.82
              45          -15.72           12.51
              46           30.71           9.842
              47           92.41           19.48
              48          -54.21           21.26
              49          -59.98           7.428
              50           2.023           21.48
              51           57.67           7.789
              52          -75.44           16.33
              53          -63.35           17.91
              54           29.88           8.276
              55           65.33           19.49
              56          -76.31           9.296
              57          -24.93           20.06
              58           29.07           7.918
              59           81.35           9.519
              60          -71.63           18.44
              61          -21.93           21.13
              62           53.84           7.612
              63           83.03           14.15
              64          -73.25           20.17
              65          -61.72           10.96
              66          -5.638           18.24
              67            57.3           11.28
              68           -75.4           19.97
              69          -53.21           12.83
              70           31.45            12.2
              71           65.95           9.483
              72          -74.27           10.36
              73          -33.74           13.37
              74           48.89            10.2
              75           72.97           11.02
              76          -66.38           14.44
              77          -13.48           14.42
              78           38.46           10.08
              79             104           17.61
              80          -52.31           19.35
              81          -44.64           8.183
              82           11.09           20.89
              83           41.87           22.02
              84          -80.82           22.41
              85          -41.42           20.63
              86           21.33           22.03
              87           71.93           8.036
              88          -48.06           10.17
              89          -32.13           9.563
              90           49.21           8.891
              91           84.08           11.45
              92           -68.7           11.09
              93          -4.811            18.4
              94           63.86           7.815
              95           93.58           20.79
              96          -82.15           20.83
              97          -54.21           7.695
              98           24.16           17.42
              99           70.27           14.61
             100           -90.9           17.34
             101          -26.06            11.3
             102           34.62            12.6
             103           73.34           9.911
             104          -85.96           10.05
             105          -21.59           10.88
             106           34.54            10.2
             107           105.6           11.54
             108           -56.2           12.05
             109          -5.309            16.6
             110           58.67           12.29
             111             115           20.32
             112          -72.67           15.77
             113          -45.82           8.965
             114           29.73           20.07
             115           60.61           22.17
             116          -78.85           12.36
             117           -4.23           8.722
             118           48.89            8.18
             119           78.27           9.439
             120           -66.7            11.2
             121          -23.61            8.89
             122           56.59           8.341
