#Wed Apr  3 18:37:56 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               25              11               2               0
               0           6.047           30.29
               1          -5.803           25.94
               2           13.47           22.73
               3           11.24           22.87
               4            -176           9.763
               5          -61.34           9.433
               6          -15.27           10.33
               7           38.67           8.925
               8          -98.23           8.122
               9          -13.48           8.721
              10           21.88           8.226
              11            67.5           8.828
              12          -64.78           8.927
              13           27.12           8.499
              14            37.8           7.882
              15           47.23           9.015
              16          -98.18           8.387
              17          -23.38           7.599
              18           9.493           11.25
              19           34.98           7.457
              20            -104            8.29
              21          -34.03           7.534
              22            14.1           7.917
              23           62.34           7.585
              24          -94.01           7.888
              25           -27.9           7.741
              26           35.39           7.441
              27           60.92           8.013
              28          -76.73           7.377
              29           1.043           8.929
              30           39.56           7.403
              31           70.12           8.555
              32          -93.18           8.429
              33          -25.62           8.431
              34            21.9           8.268
              35           67.94           8.134
              36          -80.44           15.31
              37          -17.71           7.693
              38           20.07           8.345
              39            49.3           8.644
              40          -67.85           8.465
              41           3.361           7.834
              42           40.64           8.622
              43           94.35           8.963
              44          -59.85           8.885
              45           9.091           9.558
              46           35.45           7.699
              47            72.9           9.424
              48          -91.48           8.415
              49          -26.97           7.548
              50         0.06375            9.42
              51           58.45            7.31
              52          -89.92            13.3
              53           -29.8           7.543
              54           8.589            7.75
              55           54.88           7.478
              56          -80.51           7.703
              57          -22.89            8.05
              58           48.65           7.663
              59           50.28           8.108
              60          -54.18            7.32
              61          -13.22           9.932
              62           47.15           7.263
              63           86.13           9.106
              64          -91.17           8.377
              65          -29.94           9.477
              66           19.22           9.712
              67           73.35           8.623
              68          -80.83           7.743
              69          -32.22           8.694
              70           24.92           8.961
              71           53.34           8.534
              72           -71.6           8.332
              73          -8.434           8.077
              74           36.56            8.27
              75           67.63           8.817
              76          -62.65           8.313
              77           11.99           7.272
              78            39.4           7.697
              79           88.05           9.612
              80           -82.7            8.58
              81          -33.91           7.338
              82           5.569           8.535
              83           61.61           7.373
              84          -86.14           8.351
              85          -44.48            7.23
              86           23.64           7.457
              87              70           7.682
              88          -83.05           7.545
              89          -6.881           7.586
              90           41.03           7.195
              91           76.61           8.223
              92          -30.92           7.263
              93          -0.572           8.238
              94           59.71           7.164
              95           114.7           9.383
              96          -103.6           8.239
              97          -17.54           7.632
              98           20.26           9.342
              99           55.81           9.091
             100          -73.68           8.212
             101          -25.13           7.159
             102           40.96           8.484
             103            66.4           8.638
             104          -71.71           8.522
             105           6.809           9.882
             106            39.9           8.103
             107           73.34           9.123
             108          -54.97           8.033
             109           8.375           7.909
             110           47.08           8.098
             111           117.6           10.07
             112          -109.8           8.362
             113          -44.79           7.111
             114           11.48           8.082
             115           46.51           7.351
             116          -85.49           7.974
             117          -12.75            7.07
             118           24.74           7.195
             119           74.43           7.663
             120          -77.48           7.511
             121          -17.22           7.396
             122           39.25           7.151
             123           75.52           8.508
             124          -67.88           7.058
             125           -12.1           9.287
             126           72.35           7.566
             127           110.7           10.32
APV               25              11               2               1
               0           30.16           31.17
               1          -5.813           27.26
               2          -9.587           24.57
               3          -37.78           24.84
               4            -168           10.02
               5          -49.86           9.422
               6         -0.4073           12.56
               7           27.63           9.481
               8          -77.29           8.543
               9             7.1           9.576
              10            6.06           9.283
              11           41.55           9.407
              12           -33.2           9.535
              13           23.39           9.012
              14          -1.607           9.062
              15           64.31           9.597
              16          -67.98           9.173
              17          -20.93           7.784
              18           23.45           13.99
              19           46.17           7.881
              20          -84.46           8.802
              21          -1.587           7.773
              22            31.9           8.971
              23              51           7.701
              24          -55.16           8.319
              25            5.29           7.988
              26           22.57           7.951
              27           54.57           8.276
              28           -44.5            7.77
              29              17           8.968
              30           2.953           7.778
              31           58.74           9.163
              32          -91.67           9.147
              33          -35.52           8.347
              34           11.36           9.189
              35            21.9           9.256
              36          -83.55           8.804
