Module	 HV
1	-1465.5
2	-1478.19
3	-1459.71
4	-1418.71
5	-2136.87
6	-1634.89
7	-1648.41
8	-1697.51
9	-1435.03
10	-1408.18
11	-1387.35
12	-1443.8
13	-1406.22
14	-1414.07
15	-1418.25
16	-1389.76
17	-1779
18	-1547.07
19	-1913.44
20	-2500
21	-1443.11
22	-1452.94
23	-1543.88
24	-1578.94
25	-1400.82
26	-1571.62
27	-1457.89
28	-1392.77
29	-1854.18
30	-1629.43
31	-2244.81
32	-2200.5
33	-1457.14
34	-1422.95
35	-1546.62
36	-1401.26
37	-1431.46
38	-1411.16
39	-1383.12
40	-1446.32
41	-1536.31
42	-1540.13
43	-1558.47
44	-1638.43
45	-1398.59
46	-1407.36
47	-1423.6
48	-1425.39
49	-1429.55
50	-1446.62
51	-1505.18
52	-1433.6
53	-1457.71
54	-1582.22
55	-1632.97
56	-1686.24
57	-1421.87
58	-1428.16
59	-1417.61
60	-1480.72
61	-1428.11
62	-1403.07
63	-1447.94
64	-1419.61
65	-1779.48
66	-1535.42
67	-1487.03
68	-1719.17
69	-1401.05
70	-1444.12
71	-1464.09
72	-1407.18
73	-1711.66
74	-1571.77
75	-1545.86
76	-1539.08
77	-2095.38
78	-2602.11
79	-1567.63
80	-1777.63
81	-1380.52
82	-1400.18
83	-1404.28
84	-1564
85	-1387.34
86	-1403.33
87	-1432.88
88	-1390.59
89	-1550.89
90	-1483.31
91	-1454.89
92	-1599.94
93	-1396.07
94	-1424.19
95	-1428.54
96	-1558.12
97	-1438.93
98	-1387.04
99	-1462.43
100	-1391.67
101	-1684.99
102	-1558.92
103	-1858.02
104	-1754.16
105	-1377.69
106	-1379.44
107	-1422.39
108	-1414.18
109	-1576.29
110	-1441.82
111	-1403.08
112	-1391.8
113	-1442.31
114	-1469.75
115	-1534.8
116	-1579.79
117	-1351.78
118	-1461.32
119	-1399.81
120	-1413.47
121	-1399.14
122	-1425.17
123	-1426.88
124	-1432.66
125	-1354.23
126	-1516.88
127	-1527.63
128	-1454.55
129	-1372.83
130	-1349.61
131	-1482.85
132	-1497.47
133	-1447.22
134	-1376.16
135	-1427.53
136	-1477.37
137	-1609.97
138	-1625.11
139	-1614.87
140	-1670.01
141	-1408.12
142	-1406.24
143	-1406.35
144	-1425.2
145	-1578.26
146	-1538.37
147	-1502.31
148	-1552.74
149	-2449.35
150	-1961.85
151	-1841.71
152	-1722.07
153	-1390.54
154	-1436.52
155	-1453.23
156	-1432.46
157	-1440.23
158	-1417.78
159	-1466.15
160	-1409.67
161	-1538.62
162	-1926.59
163	-1459.01
164	-1637.23
165	-1415.6
166	-1413.55
167	-1433.79
168	-1461.18
169	-1512.64
170	-1412.96
171	-1421.49
172	-1453.43
173	-1662.84
174	-1440.58
175	-1647.15
176	-1659.27
177	-1417.27
178	-1620.26
179	-1403.5
180	-1403.28
181	-1403.3
182	-1458.48
183	-1384.53
184	-1428.33
185	-1594.49
186	-1657.01
187	-1471.05
188	-1561.62
189	-1460.93
190	-1450.02
191	-1429.98
192	-1393.59
193	-1446.82
194	-1437.32
195	-1436.59
196	-1430.21
197	-1906.31
198	-1475.08
199	-1802.21
200	-1996.24
201	-1385.43
202	-1450.63
203	-1396.14
204	-1570.15
205	-1448.32
206	-1482.66
207	-1391.59
208	-1488.03
209	-1562.03
210	-1432.11
211	-1413.57
212	-1762.71
213	-1370.96
214	-1407.2
215	-1377.93
216	-1460.81
217	-1399.78
218	-1538.85
219	-1375.95
220	-1425.22
221	-1420.85
222	-1653.86
223	-1501.24
224	-1484.65
225	-1343.05
226	-1412.98
227	-1398.18
228	-1436.98
229	-1414.04
230	-1358.99
231	-1418.82
232	-1429.95
233	-1705.14
234	-1565.6
235	-1601.87
236	-1983.41
237	-1415.97
238	-1394.33
239	-1417.95
240	-1430.38
241	-1500.5
242	-1424.55
243	-1781.37
244	-1452.73
245	-1739.82
246	-1385.55
247	-1751.03
248	-1788.18
249	-1387.23
250	-1424.68
251	-1417.57
252	-1428.56
253	-1499.25
254	-1414.53
255	-1349.29
256	-1364.5
257	-1530.97
258	-1297.26
259	-1376.85
260	-1531.82
261	-1391.49
262	-1379.28
263	-1383.83
264	-1355.27
265	-1527.89
266	-1376.41
267	-1371.36
268	-1375.4
269	-1541.08
270	-1290.37
271	-1690.7
272	-1729.53
273	-1357.51
274	-1369.4
275	-1411.79
276	-1366.06
277	-1431.24
278	-1485.11
279	-1435.2
280	-1437.96
281	-1555.21
282	-1416.65
283	-1674.74
284	-2081.68
285	-1410.74
286	-1410.7
287	-1413.1
288	-1443.92
